reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467937,,False,1,bf8eafc3,2024-03-26_16-45-37,1.7956218719482422,1.7956218719482422,436,Nicolass-Air.technicolor.net,127.0.0.1,1.7956218719482422,1
60.0,1711467940,,False,2,bf8eafc3,2024-03-26_16-45-40,2.8886678218841553,4.6842896938323975,436,Nicolass-Air.technicolor.net,127.0.0.1,4.6842896938323975,2
56.0,1711467943,,False,3,bf8eafc3,2024-03-26_16-45-43,2.86016583442688,7.544455528259277,436,Nicolass-Air.technicolor.net,127.0.0.1,7.544455528259277,3
57.0,1711467946,,False,4,bf8eafc3,2024-03-26_16-45-46,3.0898170471191406,10.634272575378418,436,Nicolass-Air.technicolor.net,127.0.0.1,10.634272575378418,4
56.0,1711467949,,False,5,bf8eafc3,2024-03-26_16-45-49,3.383805274963379,14.018077850341797,436,Nicolass-Air.technicolor.net,127.0.0.1,14.018077850341797,5
57.0,1711467953,,False,6,bf8eafc3,2024-03-26_16-45-53,3.8537659645080566,17.871843814849854,436,Nicolass-Air.technicolor.net,127.0.0.1,17.871843814849854,6
57.0,1711467957,,False,7,bf8eafc3,2024-03-26_16-45-57,3.5231831073760986,21.395026922225952,436,Nicolass-Air.technicolor.net,127.0.0.1,21.395026922225952,7
56.0,1711467960,,False,8,bf8eafc3,2024-03-26_16-46-00,3.6150591373443604,25.010086059570312,436,Nicolass-Air.technicolor.net,127.0.0.1,25.010086059570312,8
56.0,1711467964,,False,9,bf8eafc3,2024-03-26_16-46-04,3.6135611534118652,28.623647212982178,436,Nicolass-Air.technicolor.net,127.0.0.1,28.623647212982178,9
56.0,1711467967,,False,10,bf8eafc3,2024-03-26_16-46-07,3.3334462642669678,31.957093477249146,436,Nicolass-Air.technicolor.net,127.0.0.1,31.957093477249146,10
56.0,1711467971,,False,11,bf8eafc3,2024-03-26_16-46-11,3.355541944503784,35.31263542175293,436,Nicolass-Air.technicolor.net,127.0.0.1,35.31263542175293,11
56.0,1711467974,,False,12,bf8eafc3,2024-03-26_16-46-14,3.3835530281066895,38.69618844985962,436,Nicolass-Air.technicolor.net,127.0.0.1,38.69618844985962,12
56.0,1711467977,,False,13,bf8eafc3,2024-03-26_16-46-17,3.3356781005859375,42.03186655044556,436,Nicolass-Air.technicolor.net,127.0.0.1,42.03186655044556,13
