reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30.2,1711469137,,False,1,c4615646,2024-03-26_17-05-37,2.1296749114990234,2.1296749114990234,324,Nicolass-Air.technicolor.net,127.0.0.1,2.1296749114990234,1
42.8,1711469141,,False,2,c4615646,2024-03-26_17-05-41,3.325010061264038,5.4546849727630615,324,Nicolass-Air.technicolor.net,127.0.0.1,5.4546849727630615,2
25.8,1711469143,,False,3,c4615646,2024-03-26_17-05-43,2.2456462383270264,7.700331211090088,324,Nicolass-Air.technicolor.net,127.0.0.1,7.700331211090088,3
43.8,1711469146,,False,4,c4615646,2024-03-26_17-05-46,3.260801076889038,10.961132287979126,324,Nicolass-Air.technicolor.net,127.0.0.1,10.961132287979126,4
22.6,1711469148,,False,5,c4615646,2024-03-26_17-05-48,1.8618419170379639,12.82297420501709,324,Nicolass-Air.technicolor.net,127.0.0.1,12.82297420501709,5
22.2,1711469150,,False,6,c4615646,2024-03-26_17-05-50,1.7779958248138428,14.600970029830933,324,Nicolass-Air.technicolor.net,127.0.0.1,14.600970029830933,6
25.4,1711469152,,False,7,c4615646,2024-03-26_17-05-52,2.2686400413513184,16.86961007118225,324,Nicolass-Air.technicolor.net,127.0.0.1,16.86961007118225,7
28.6,1711469154,,False,8,c4615646,2024-03-26_17-05-54,2.2670788764953613,19.136688947677612,324,Nicolass-Air.technicolor.net,127.0.0.1,19.136688947677612,8
31.8,1711469157,,False,9,c4615646,2024-03-26_17-05-57,2.5162177085876465,21.65290665626526,324,Nicolass-Air.technicolor.net,127.0.0.1,21.65290665626526,9
35.4,1711469159,,False,10,c4615646,2024-03-26_17-05-59,2.5594069957733154,24.212313652038574,324,Nicolass-Air.technicolor.net,127.0.0.1,24.212313652038574,10
34.4,1711469162,,False,11,c4615646,2024-03-26_17-06-02,2.7605648040771484,26.972878456115723,324,Nicolass-Air.technicolor.net,127.0.0.1,26.972878456115723,11
34.4,1711469165,,False,12,c4615646,2024-03-26_17-06-05,2.5347137451171875,29.50759220123291,324,Nicolass-Air.technicolor.net,127.0.0.1,29.50759220123291,12
33.0,1711469167,,False,13,c4615646,2024-03-26_17-06-07,2.7117037773132324,32.21929597854614,324,Nicolass-Air.technicolor.net,127.0.0.1,32.21929597854614,13
31.6,1711469170,,False,14,c4615646,2024-03-26_17-06-10,2.42954421043396,34.6488401889801,324,Nicolass-Air.technicolor.net,127.0.0.1,34.6488401889801,14
30.8,1711469172,,False,15,c4615646,2024-03-26_17-06-12,2.2578349113464355,36.90667510032654,324,Nicolass-Air.technicolor.net,127.0.0.1,36.90667510032654,15
