reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711467776,,False,1,c572806b,2024-03-26_16-42-56,0.5433669090270996,0.5433669090270996,533,Nicolass-Air.technicolor.net,127.0.0.1,0.5433669090270996,1
15.0,1711467777,,False,2,c572806b,2024-03-26_16-42-57,0.5084941387176514,1.051861047744751,533,Nicolass-Air.technicolor.net,127.0.0.1,1.051861047744751,2
13.0,1711467777,,False,3,c572806b,2024-03-26_16-42-57,0.5904817581176758,1.6423428058624268,533,Nicolass-Air.technicolor.net,127.0.0.1,1.6423428058624268,3
13.0,1711467778,,False,4,c572806b,2024-03-26_16-42-58,0.5691220760345459,2.2114648818969727,533,Nicolass-Air.technicolor.net,127.0.0.1,2.2114648818969727,4
13.0,1711467778,,False,5,c572806b,2024-03-26_16-42-58,0.6163341999053955,2.827799081802368,533,Nicolass-Air.technicolor.net,127.0.0.1,2.827799081802368,5
13.0,1711467779,,False,6,c572806b,2024-03-26_16-42-59,0.6523420810699463,3.4801411628723145,533,Nicolass-Air.technicolor.net,127.0.0.1,3.4801411628723145,6
13.0,1711467780,,False,7,c572806b,2024-03-26_16-43-00,0.6182000637054443,4.098341226577759,533,Nicolass-Air.technicolor.net,127.0.0.1,4.098341226577759,7
13.0,1711467780,,False,8,c572806b,2024-03-26_16-43-00,0.6014480590820312,4.69978928565979,533,Nicolass-Air.technicolor.net,127.0.0.1,4.69978928565979,8
13.0,1711467781,,False,9,c572806b,2024-03-26_16-43-01,0.5788910388946533,5.278680324554443,533,Nicolass-Air.technicolor.net,127.0.0.1,5.278680324554443,9
13.0,1711467781,,False,10,c572806b,2024-03-26_16-43-01,0.5810792446136475,5.859759569168091,533,Nicolass-Air.technicolor.net,127.0.0.1,5.859759569168091,10
13.0,1711467782,,False,11,c572806b,2024-03-26_16-43-02,0.6880898475646973,6.547849416732788,533,Nicolass-Air.technicolor.net,127.0.0.1,6.547849416732788,11
