reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711468744,,False,1,cdae0dc9,2024-03-26_16-59-04,2.1280829906463623,2.1280829906463623,269,Nicolass-Air.technicolor.net,127.0.0.1,2.1280829906463623,1
39.0,1711468748,,False,2,cdae0dc9,2024-03-26_16-59-08,3.238942861557007,5.367025852203369,269,Nicolass-Air.technicolor.net,127.0.0.1,5.367025852203369,2
39.0,1711468751,,False,3,cdae0dc9,2024-03-26_16-59-11,2.9427762031555176,8.309802055358887,269,Nicolass-Air.technicolor.net,127.0.0.1,8.309802055358887,3
39.0,1711468754,,False,4,cdae0dc9,2024-03-26_16-59-14,3.075087785720825,11.384889841079712,269,Nicolass-Air.technicolor.net,127.0.0.1,11.384889841079712,4
39.0,1711468757,,False,5,cdae0dc9,2024-03-26_16-59-17,2.701362133026123,14.086251974105835,269,Nicolass-Air.technicolor.net,127.0.0.1,14.086251974105835,5
39.0,1711468759,,False,6,cdae0dc9,2024-03-26_16-59-19,2.688086986541748,16.774338960647583,269,Nicolass-Air.technicolor.net,127.0.0.1,16.774338960647583,6
39.0,1711468762,,False,7,cdae0dc9,2024-03-26_16-59-22,3.1075611114501953,19.88190007209778,269,Nicolass-Air.technicolor.net,127.0.0.1,19.88190007209778,7
39.0,1711468765,,False,8,cdae0dc9,2024-03-26_16-59-25,2.7970399856567383,22.678940057754517,269,Nicolass-Air.technicolor.net,127.0.0.1,22.678940057754517,8
39.0,1711468769,,False,9,cdae0dc9,2024-03-26_16-59-29,3.307950973510742,25.98689103126526,269,Nicolass-Air.technicolor.net,127.0.0.1,25.98689103126526,9
39.0,1711468771,,False,10,cdae0dc9,2024-03-26_16-59-31,2.850054979324341,28.8369460105896,269,Nicolass-Air.technicolor.net,127.0.0.1,28.8369460105896,10
39.0,1711468774,,False,11,cdae0dc9,2024-03-26_16-59-34,2.7635200023651123,31.600466012954712,269,Nicolass-Air.technicolor.net,127.0.0.1,31.600466012954712,11
39.0,1711468777,,False,12,cdae0dc9,2024-03-26_16-59-37,2.642595052719116,34.24306106567383,269,Nicolass-Air.technicolor.net,127.0.0.1,34.24306106567383,12
39.0,1711468780,,False,13,cdae0dc9,2024-03-26_16-59-40,2.8733599185943604,37.11642098426819,269,Nicolass-Air.technicolor.net,127.0.0.1,37.11642098426819,13
39.0,1711468782,,False,14,cdae0dc9,2024-03-26_16-59-42,2.6551268100738525,39.77154779434204,269,Nicolass-Air.technicolor.net,127.0.0.1,39.77154779434204,14
39.0,1711468785,,False,15,cdae0dc9,2024-03-26_16-59-45,2.8101110458374023,42.58165884017944,269,Nicolass-Air.technicolor.net,127.0.0.1,42.58165884017944,15
39.0,1711468788,,False,16,cdae0dc9,2024-03-26_16-59-48,2.574587821960449,45.15624666213989,269,Nicolass-Air.technicolor.net,127.0.0.1,45.15624666213989,16
39.0,1711468791,,False,17,cdae0dc9,2024-03-26_16-59-51,2.8873698711395264,48.04361653327942,269,Nicolass-Air.technicolor.net,127.0.0.1,48.04361653327942,17
39.0,1711468793,,False,18,cdae0dc9,2024-03-26_16-59-53,2.691887140274048,50.73550367355347,269,Nicolass-Air.technicolor.net,127.0.0.1,50.73550367355347,18
39.0,1711468796,,False,19,cdae0dc9,2024-03-26_16-59-56,2.7968180179595947,53.53232169151306,269,Nicolass-Air.technicolor.net,127.0.0.1,53.53232169151306,19
39.0,1711468799,,False,20,cdae0dc9,2024-03-26_16-59-59,2.7093260288238525,56.241647720336914,269,Nicolass-Air.technicolor.net,127.0.0.1,56.241647720336914,20
39.0,1711468802,,False,21,cdae0dc9,2024-03-26_17-00-02,2.7407541275024414,58.982401847839355,269,Nicolass-Air.technicolor.net,127.0.0.1,58.982401847839355,21
39.0,1711468804,,False,22,cdae0dc9,2024-03-26_17-00-04,2.634917974472046,61.6173198223114,269,Nicolass-Air.technicolor.net,127.0.0.1,61.6173198223114,22
39.0,1711468807,,False,23,cdae0dc9,2024-03-26_17-00-07,2.7807629108428955,64.3980827331543,269,Nicolass-Air.technicolor.net,127.0.0.1,64.3980827331543,23
39.0,1711468810,,False,24,cdae0dc9,2024-03-26_17-00-10,2.484692335128784,66.88277506828308,269,Nicolass-Air.technicolor.net,127.0.0.1,66.88277506828308,24
39.0,1711468812,,False,25,cdae0dc9,2024-03-26_17-00-12,2.636446952819824,69.5192220211029,269,Nicolass-Air.technicolor.net,127.0.0.1,69.5192220211029,25
39.0,1711468815,,False,26,cdae0dc9,2024-03-26_17-00-15,2.5426852703094482,72.06190729141235,269,Nicolass-Air.technicolor.net,127.0.0.1,72.06190729141235,26
39.0,1711468817,,False,27,cdae0dc9,2024-03-26_17-00-17,2.765430212020874,74.82733750343323,269,Nicolass-Air.technicolor.net,127.0.0.1,74.82733750343323,27
39.0,1711468820,,False,28,cdae0dc9,2024-03-26_17-00-20,2.4907619953155518,77.31809949874878,269,Nicolass-Air.technicolor.net,127.0.0.1,77.31809949874878,28
39.0,1711468823,,False,29,cdae0dc9,2024-03-26_17-00-23,2.7452170848846436,80.06331658363342,269,Nicolass-Air.technicolor.net,127.0.0.1,80.06331658363342,29
39.0,1711468826,,False,30,cdae0dc9,2024-03-26_17-00-26,2.8408889770507812,82.9042055606842,269,Nicolass-Air.technicolor.net,127.0.0.1,82.9042055606842,30
39.0,1711468828,,False,31,cdae0dc9,2024-03-26_17-00-28,2.7607617378234863,85.66496729850769,269,Nicolass-Air.technicolor.net,127.0.0.1,85.66496729850769,31
39.0,1711468831,,False,32,cdae0dc9,2024-03-26_17-00-31,2.5470499992370605,88.21201729774475,269,Nicolass-Air.technicolor.net,127.0.0.1,88.21201729774475,32
39.0,1711468834,,False,33,cdae0dc9,2024-03-26_17-00-34,2.7237560749053955,90.93577337265015,269,Nicolass-Air.technicolor.net,127.0.0.1,90.93577337265015,33
