reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.2,1711466602,,False,1,dc49a6f6,2024-03-26_16-23-22,1.948700189590454,1.948700189590454,524,Nicolass-Air.technicolor.net,127.0.0.1,1.948700189590454,1
12.0,1711466604,,False,2,dc49a6f6,2024-03-26_16-23-24,1.7991251945495605,3.7478253841400146,524,Nicolass-Air.technicolor.net,127.0.0.1,3.7478253841400146,2
15.8,1711466606,,False,3,dc49a6f6,2024-03-26_16-23-26,2.0866177082061768,5.834443092346191,524,Nicolass-Air.technicolor.net,127.0.0.1,5.834443092346191,3
10.4,1711466608,,False,4,dc49a6f6,2024-03-26_16-23-28,1.7527010440826416,7.587144136428833,524,Nicolass-Air.technicolor.net,127.0.0.1,7.587144136428833,4
10.0,1711466609,,False,5,dc49a6f6,2024-03-26_16-23-29,1.695296049118042,9.282440185546875,524,Nicolass-Air.technicolor.net,127.0.0.1,9.282440185546875,5
9.4,1711466611,,False,6,dc49a6f6,2024-03-26_16-23-31,1.5045907497406006,10.787030935287476,524,Nicolass-Air.technicolor.net,127.0.0.1,10.787030935287476,6
9.2,1711466613,,False,7,dc49a6f6,2024-03-26_16-23-33,1.5466301441192627,12.333661079406738,524,Nicolass-Air.technicolor.net,127.0.0.1,12.333661079406738,7
9.6,1711466614,,False,8,dc49a6f6,2024-03-26_16-23-34,1.6423280239105225,13.97598910331726,524,Nicolass-Air.technicolor.net,127.0.0.1,13.97598910331726,8
9.4,1711466616,,False,9,dc49a6f6,2024-03-26_16-23-36,1.6781501770019531,15.654139280319214,524,Nicolass-Air.technicolor.net,127.0.0.1,15.654139280319214,9
9.2,1711466617,,False,10,dc49a6f6,2024-03-26_16-23-37,1.5291948318481445,17.18333411216736,524,Nicolass-Air.technicolor.net,127.0.0.1,17.18333411216736,10
9.2,1711466619,,False,11,dc49a6f6,2024-03-26_16-23-39,1.575011968612671,18.75834608078003,524,Nicolass-Air.technicolor.net,127.0.0.1,18.75834608078003,11
9.4,1711466621,,False,12,dc49a6f6,2024-03-26_16-23-41,1.7119181156158447,20.470264196395874,524,Nicolass-Air.technicolor.net,127.0.0.1,20.470264196395874,12
9.2,1711466622,,False,13,dc49a6f6,2024-03-26_16-23-42,1.6067798137664795,22.077044010162354,524,Nicolass-Air.technicolor.net,127.0.0.1,22.077044010162354,13
9.2,1711466624,,False,14,dc49a6f6,2024-03-26_16-23-44,1.5625779628753662,23.63962197303772,524,Nicolass-Air.technicolor.net,127.0.0.1,23.63962197303772,14
9.2,1711466625,,False,15,dc49a6f6,2024-03-26_16-23-45,1.5966558456420898,25.23627781867981,524,Nicolass-Air.technicolor.net,127.0.0.1,25.23627781867981,15
9.2,1711466627,,False,16,dc49a6f6,2024-03-26_16-23-47,1.6704578399658203,26.90673565864563,524,Nicolass-Air.technicolor.net,127.0.0.1,26.90673565864563,16
9.0,1711466629,,False,17,dc49a6f6,2024-03-26_16-23-49,1.5598299503326416,28.46656560897827,524,Nicolass-Air.technicolor.net,127.0.0.1,28.46656560897827,17
9.0,1711466630,,False,18,dc49a6f6,2024-03-26_16-23-50,1.5901830196380615,30.056748628616333,524,Nicolass-Air.technicolor.net,127.0.0.1,30.056748628616333,18
9.0,1711466632,,False,19,dc49a6f6,2024-03-26_16-23-52,1.647264003753662,31.704012632369995,524,Nicolass-Air.technicolor.net,127.0.0.1,31.704012632369995,19
9.0,1711466634,,False,20,dc49a6f6,2024-03-26_16-23-54,1.7216298580169678,33.42564249038696,524,Nicolass-Air.technicolor.net,127.0.0.1,33.42564249038696,20
9.0,1711466635,,False,21,dc49a6f6,2024-03-26_16-23-55,1.6687989234924316,35.094441413879395,524,Nicolass-Air.technicolor.net,127.0.0.1,35.094441413879395,21
9.0,1711466637,,False,22,dc49a6f6,2024-03-26_16-23-57,1.665282964706421,36.759724378585815,524,Nicolass-Air.technicolor.net,127.0.0.1,36.759724378585815,22
9.0,1711466641,,False,23,dc49a6f6,2024-03-26_16-24-01,3.7165777683258057,40.47630214691162,524,Nicolass-Air.technicolor.net,127.0.0.1,40.47630214691162,23
9.0,1711466643,,False,24,dc49a6f6,2024-03-26_16-24-03,1.7962901592254639,42.272592306137085,524,Nicolass-Air.technicolor.net,127.0.0.1,42.272592306137085,24
9.0,1711466644,,False,25,dc49a6f6,2024-03-26_16-24-04,1.6831421852111816,43.95573449134827,524,Nicolass-Air.technicolor.net,127.0.0.1,43.95573449134827,25
9.0,1711466646,,False,26,dc49a6f6,2024-03-26_16-24-06,1.7393410205841064,45.69507551193237,524,Nicolass-Air.technicolor.net,127.0.0.1,45.69507551193237,26
9.0,1711466648,,False,27,dc49a6f6,2024-03-26_16-24-08,1.739090919494629,47.434166431427,524,Nicolass-Air.technicolor.net,127.0.0.1,47.434166431427,27
9.0,1711466649,,False,28,dc49a6f6,2024-03-26_16-24-09,1.6545500755310059,49.08871650695801,524,Nicolass-Air.technicolor.net,127.0.0.1,49.08871650695801,28
9.0,1711466651,,False,29,dc49a6f6,2024-03-26_16-24-11,1.5611159801483154,50.64983248710632,524,Nicolass-Air.technicolor.net,127.0.0.1,50.64983248710632,29
9.0,1711466653,,False,30,dc49a6f6,2024-03-26_16-24-13,1.608163833618164,52.25799632072449,524,Nicolass-Air.technicolor.net,127.0.0.1,52.25799632072449,30
9.0,1711466654,,False,31,dc49a6f6,2024-03-26_16-24-14,1.5956547260284424,53.85365104675293,524,Nicolass-Air.technicolor.net,127.0.0.1,53.85365104675293,31
9.0,1711466656,,False,32,dc49a6f6,2024-03-26_16-24-16,1.7348549365997314,55.58850598335266,524,Nicolass-Air.technicolor.net,127.0.0.1,55.58850598335266,32
9.0,1711466658,,False,33,dc49a6f6,2024-03-26_16-24-18,1.6318469047546387,57.2203528881073,524,Nicolass-Air.technicolor.net,127.0.0.1,57.2203528881073,33
9.0,1711466659,,False,34,dc49a6f6,2024-03-26_16-24-19,1.461284875869751,58.68163776397705,524,Nicolass-Air.technicolor.net,127.0.0.1,58.68163776397705,34
9.0,1711466661,,False,35,dc49a6f6,2024-03-26_16-24-21,1.6173501014709473,60.298987865448,524,Nicolass-Air.technicolor.net,127.0.0.1,60.298987865448,35
9.0,1711466662,,False,36,dc49a6f6,2024-03-26_16-24-22,1.655695915222168,61.954683780670166,524,Nicolass-Air.technicolor.net,127.0.0.1,61.954683780670166,36
9.0,1711466664,,False,37,dc49a6f6,2024-03-26_16-24-24,1.6095731258392334,63.5642569065094,524,Nicolass-Air.technicolor.net,127.0.0.1,63.5642569065094,37
