reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.875,1711468174,,False,1,df4bbf3c,2024-03-26_16-49-34,0.8804469108581543,0.8804469108581543,498,Nicolass-Air.technicolor.net,127.0.0.1,0.8804469108581543,1
13.5,1711468175,,False,2,df4bbf3c,2024-03-26_16-49-35,1.30326509475708,2.1837120056152344,498,Nicolass-Air.technicolor.net,127.0.0.1,2.1837120056152344,2
10.875,1711468176,,False,3,df4bbf3c,2024-03-26_16-49-36,0.9423339366912842,3.1260459423065186,498,Nicolass-Air.technicolor.net,127.0.0.1,3.1260459423065186,3
18.625,1711468178,,False,4,df4bbf3c,2024-03-26_16-49-38,1.1682469844818115,4.29429292678833,498,Nicolass-Air.technicolor.net,127.0.0.1,4.29429292678833,4
16.75,1711468179,,False,5,df4bbf3c,2024-03-26_16-49-39,1.229604959487915,5.523897886276245,498,Nicolass-Air.technicolor.net,127.0.0.1,5.523897886276245,5
17.25,1711468180,,False,6,df4bbf3c,2024-03-26_16-49-40,1.061169147491455,6.5850670337677,498,Nicolass-Air.technicolor.net,127.0.0.1,6.5850670337677,6
18.375,1711468181,,False,7,df4bbf3c,2024-03-26_16-49-41,1.0475749969482422,7.632642030715942,498,Nicolass-Air.technicolor.net,127.0.0.1,7.632642030715942,7
14.875,1711468182,,False,8,df4bbf3c,2024-03-26_16-49-42,0.9830217361450195,8.615663766860962,498,Nicolass-Air.technicolor.net,127.0.0.1,8.615663766860962,8
17.625,1711468184,,False,9,df4bbf3c,2024-03-26_16-49-44,0.9131031036376953,9.528766870498657,498,Nicolass-Air.technicolor.net,127.0.0.1,9.528766870498657,9
13.0,1711468185,,False,10,df4bbf3c,2024-03-26_16-49-45,0.6812400817871094,10.210006952285767,498,Nicolass-Air.technicolor.net,127.0.0.1,10.210006952285767,10
13.125,1711468186,,False,11,df4bbf3c,2024-03-26_16-49-46,0.6889042854309082,10.898911237716675,498,Nicolass-Air.technicolor.net,127.0.0.1,10.898911237716675,11
15.25,1711468187,,False,12,df4bbf3c,2024-03-26_16-49-47,0.8101181983947754,11.70902943611145,498,Nicolass-Air.technicolor.net,127.0.0.1,11.70902943611145,12
13.25,1711468187,,False,13,df4bbf3c,2024-03-26_16-49-47,0.7172448635101318,12.426274299621582,498,Nicolass-Air.technicolor.net,127.0.0.1,12.426274299621582,13
13.25,1711468188,,False,14,df4bbf3c,2024-03-26_16-49-48,0.797450065612793,13.223724365234375,498,Nicolass-Air.technicolor.net,127.0.0.1,13.223724365234375,14
11.25,1711468189,,False,15,df4bbf3c,2024-03-26_16-49-49,0.7322509288787842,13.95597529411316,498,Nicolass-Air.technicolor.net,127.0.0.1,13.95597529411316,15
11.75,1711468190,,False,16,df4bbf3c,2024-03-26_16-49-50,0.6859169006347656,14.641892194747925,498,Nicolass-Air.technicolor.net,127.0.0.1,14.641892194747925,16
11.5,1711468190,,False,17,df4bbf3c,2024-03-26_16-49-50,0.6532881259918213,15.295180320739746,498,Nicolass-Air.technicolor.net,127.0.0.1,15.295180320739746,17
11.25,1711468191,,False,18,df4bbf3c,2024-03-26_16-49-51,0.6657528877258301,15.960933208465576,498,Nicolass-Air.technicolor.net,127.0.0.1,15.960933208465576,18
11.0,1711468191,,False,19,df4bbf3c,2024-03-26_16-49-51,0.6037628650665283,16.564696073532104,498,Nicolass-Air.technicolor.net,127.0.0.1,16.564696073532104,19
11.0,1711468192,,False,20,df4bbf3c,2024-03-26_16-49-52,0.6540138721466064,17.21870994567871,498,Nicolass-Air.technicolor.net,127.0.0.1,17.21870994567871,20
11.0,1711468193,,False,21,df4bbf3c,2024-03-26_16-49-53,0.6036291122436523,17.822339057922363,498,Nicolass-Air.technicolor.net,127.0.0.1,17.822339057922363,21
11.0,1711468193,,False,22,df4bbf3c,2024-03-26_16-49-53,0.6127512454986572,18.43509030342102,498,Nicolass-Air.technicolor.net,127.0.0.1,18.43509030342102,22
11.0,1711468194,,False,23,df4bbf3c,2024-03-26_16-49-54,0.8114669322967529,19.246557235717773,498,Nicolass-Air.technicolor.net,127.0.0.1,19.246557235717773,23
11.0,1711468195,,False,24,df4bbf3c,2024-03-26_16-49-55,0.6411588191986084,19.887716054916382,498,Nicolass-Air.technicolor.net,127.0.0.1,19.887716054916382,24
11.0,1711468195,,False,25,df4bbf3c,2024-03-26_16-49-55,0.6265978813171387,20.51431393623352,498,Nicolass-Air.technicolor.net,127.0.0.1,20.51431393623352,25
11.0,1711468196,,False,26,df4bbf3c,2024-03-26_16-49-56,0.6555142402648926,21.169828176498413,498,Nicolass-Air.technicolor.net,127.0.0.1,21.169828176498413,26
11.0,1711468197,,False,27,df4bbf3c,2024-03-26_16-49-57,0.7690887451171875,21.9389169216156,498,Nicolass-Air.technicolor.net,127.0.0.1,21.9389169216156,27
11.0,1711468198,,False,28,df4bbf3c,2024-03-26_16-49-58,0.6446139812469482,22.58353090286255,498,Nicolass-Air.technicolor.net,127.0.0.1,22.58353090286255,28
11.0,1711468198,,False,29,df4bbf3c,2024-03-26_16-49-58,0.8377389907836914,23.42126989364624,498,Nicolass-Air.technicolor.net,127.0.0.1,23.42126989364624,29
11.0,1711468199,,False,30,df4bbf3c,2024-03-26_16-49-59,0.8071408271789551,24.228410720825195,498,Nicolass-Air.technicolor.net,127.0.0.1,24.228410720825195,30
11.0,1711468200,,False,31,df4bbf3c,2024-03-26_16-50-00,0.7217590808868408,24.950169801712036,498,Nicolass-Air.technicolor.net,127.0.0.1,24.950169801712036,31
11.0,1711468201,,False,32,df4bbf3c,2024-03-26_16-50-01,0.7592287063598633,25.7093985080719,498,Nicolass-Air.technicolor.net,127.0.0.1,25.7093985080719,32
11.0,1711468201,,False,33,df4bbf3c,2024-03-26_16-50-01,0.7077357769012451,26.417134284973145,498,Nicolass-Air.technicolor.net,127.0.0.1,26.417134284973145,33
11.0,1711468202,,False,34,df4bbf3c,2024-03-26_16-50-02,0.7144088745117188,27.131543159484863,498,Nicolass-Air.technicolor.net,127.0.0.1,27.131543159484863,34
11.0,1711468203,,False,35,df4bbf3c,2024-03-26_16-50-03,0.9142589569091797,28.045802116394043,498,Nicolass-Air.technicolor.net,127.0.0.1,28.045802116394043,35
11.0,1711468204,,False,36,df4bbf3c,2024-03-26_16-50-04,0.7313992977142334,28.777201414108276,498,Nicolass-Air.technicolor.net,127.0.0.1,28.777201414108276,36
11.0,1711468205,,False,37,df4bbf3c,2024-03-26_16-50-05,0.7686100006103516,29.545811414718628,498,Nicolass-Air.technicolor.net,127.0.0.1,29.545811414718628,37
11.0,1711468205,,False,38,df4bbf3c,2024-03-26_16-50-05,0.8135607242584229,30.35937213897705,498,Nicolass-Air.technicolor.net,127.0.0.1,30.35937213897705,38
11.0,1711468206,,False,39,df4bbf3c,2024-03-26_16-50-06,0.7172479629516602,31.07662010192871,498,Nicolass-Air.technicolor.net,127.0.0.1,31.07662010192871,39
11.0,1711468207,,False,40,df4bbf3c,2024-03-26_16-50-07,0.6608819961547852,31.737502098083496,498,Nicolass-Air.technicolor.net,127.0.0.1,31.737502098083496,40
