reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711466938,,False,1,dfadd5e0,2024-03-26_16-28-58,0.6354460716247559,0.6354460716247559,524,Nicolass-Air.technicolor.net,127.0.0.1,0.6354460716247559,1
43.0,1711466940,,False,2,dfadd5e0,2024-03-26_16-29-00,0.7807049751281738,1.4161510467529297,524,Nicolass-Air.technicolor.net,127.0.0.1,1.4161510467529297,2
44.0,1711466941,,False,3,dfadd5e0,2024-03-26_16-29-01,0.8402180671691895,2.256369113922119,524,Nicolass-Air.technicolor.net,127.0.0.1,2.256369113922119,3
44.0,1711466942,,False,4,dfadd5e0,2024-03-26_16-29-02,0.7664389610290527,3.022808074951172,524,Nicolass-Air.technicolor.net,127.0.0.1,3.022808074951172,4
44.0,1711466943,,False,5,dfadd5e0,2024-03-26_16-29-03,0.7919180393218994,3.8147261142730713,524,Nicolass-Air.technicolor.net,127.0.0.1,3.8147261142730713,5
44.0,1711466944,,False,6,dfadd5e0,2024-03-26_16-29-04,0.9054780006408691,4.72020411491394,524,Nicolass-Air.technicolor.net,127.0.0.1,4.72020411491394,6
44.0,1711466945,,False,7,dfadd5e0,2024-03-26_16-29-05,0.7923989295959473,5.512603044509888,524,Nicolass-Air.technicolor.net,127.0.0.1,5.512603044509888,7
44.0,1711466945,,False,8,dfadd5e0,2024-03-26_16-29-05,0.8180418014526367,6.330644845962524,524,Nicolass-Air.technicolor.net,127.0.0.1,6.330644845962524,8
44.0,1711466946,,False,9,dfadd5e0,2024-03-26_16-29-06,0.8393881320953369,7.170032978057861,524,Nicolass-Air.technicolor.net,127.0.0.1,7.170032978057861,9
44.0,1711466947,,False,10,dfadd5e0,2024-03-26_16-29-07,0.891057014465332,8.061089992523193,524,Nicolass-Air.technicolor.net,127.0.0.1,8.061089992523193,10
44.0,1711466948,,False,11,dfadd5e0,2024-03-26_16-29-08,0.9479389190673828,9.009028911590576,524,Nicolass-Air.technicolor.net,127.0.0.1,9.009028911590576,11
44.0,1711466949,,False,12,dfadd5e0,2024-03-26_16-29-09,0.9244651794433594,9.933494091033936,524,Nicolass-Air.technicolor.net,127.0.0.1,9.933494091033936,12
