reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13.8,1711467331,,False,1,e652aed7,2024-03-26_16-35-31,3.879180908203125,3.879180908203125,533,Nicolass-Air.technicolor.net,127.0.0.1,3.879180908203125,1
15.2,1711467336,,False,2,e652aed7,2024-03-26_16-35-36,5.103384971618652,8.982565879821777,533,Nicolass-Air.technicolor.net,127.0.0.1,8.982565879821777,2
14.4,1711467341,,False,3,e652aed7,2024-03-26_16-35-41,4.86809515953064,13.850661039352417,533,Nicolass-Air.technicolor.net,127.0.0.1,13.850661039352417,3
16.6,1711467347,,False,4,e652aed7,2024-03-26_16-35-47,5.279961109161377,19.130622148513794,533,Nicolass-Air.technicolor.net,127.0.0.1,19.130622148513794,4
16.8,1711467352,,False,5,e652aed7,2024-03-26_16-35-52,5.175892114639282,24.306514263153076,533,Nicolass-Air.technicolor.net,127.0.0.1,24.306514263153076,5
17.2,1711467357,,False,6,e652aed7,2024-03-26_16-35-57,5.403426170349121,29.709940433502197,533,Nicolass-Air.technicolor.net,127.0.0.1,29.709940433502197,6
17.2,1711467362,,False,7,e652aed7,2024-03-26_16-36-02,5.2082600593566895,34.91820049285889,533,Nicolass-Air.technicolor.net,127.0.0.1,34.91820049285889,7
17.2,1711467368,,False,8,e652aed7,2024-03-26_16-36-08,5.344026803970337,40.262227296829224,533,Nicolass-Air.technicolor.net,127.0.0.1,40.262227296829224,8
17.2,1711467373,,False,9,e652aed7,2024-03-26_16-36-13,5.530936241149902,45.793163537979126,533,Nicolass-Air.technicolor.net,127.0.0.1,45.793163537979126,9
17.0,1711467379,,False,10,e652aed7,2024-03-26_16-36-19,5.487368822097778,51.280532360076904,533,Nicolass-Air.technicolor.net,127.0.0.1,51.280532360076904,10
17.0,1711467384,,False,11,e652aed7,2024-03-26_16-36-24,5.344910144805908,56.62544250488281,533,Nicolass-Air.technicolor.net,127.0.0.1,56.62544250488281,11
17.0,1711467390,,False,12,e652aed7,2024-03-26_16-36-30,5.451191186904907,62.07663369178772,533,Nicolass-Air.technicolor.net,127.0.0.1,62.07663369178772,12
17.0,1711467395,,False,13,e652aed7,2024-03-26_16-36-35,5.438714981079102,67.51534867286682,533,Nicolass-Air.technicolor.net,127.0.0.1,67.51534867286682,13
17.0,1711467400,,False,14,e652aed7,2024-03-26_16-36-40,5.2089149951934814,72.7242636680603,533,Nicolass-Air.technicolor.net,127.0.0.1,72.7242636680603,14
17.0,1711467406,,False,15,e652aed7,2024-03-26_16-36-46,5.454384088516235,78.17864775657654,533,Nicolass-Air.technicolor.net,127.0.0.1,78.17864775657654,15
17.0,1711467411,,False,16,e652aed7,2024-03-26_16-36-51,5.3767008781433105,83.55534863471985,533,Nicolass-Air.technicolor.net,127.0.0.1,83.55534863471985,16
17.0,1711467416,,False,17,e652aed7,2024-03-26_16-36-56,5.211059093475342,88.76640772819519,533,Nicolass-Air.technicolor.net,127.0.0.1,88.76640772819519,17
17.0,1711467422,,False,18,e652aed7,2024-03-26_16-37-02,5.258417129516602,94.02482485771179,533,Nicolass-Air.technicolor.net,127.0.0.1,94.02482485771179,18
17.0,1711467427,,False,19,e652aed7,2024-03-26_16-37-07,5.274721145629883,99.29954600334167,533,Nicolass-Air.technicolor.net,127.0.0.1,99.29954600334167,19
17.0,1711467432,,False,20,e652aed7,2024-03-26_16-37-12,5.177441835403442,104.47698783874512,533,Nicolass-Air.technicolor.net,127.0.0.1,104.47698783874512,20
17.0,1711467437,,False,21,e652aed7,2024-03-26_16-37-17,5.290085792541504,109.76707363128662,533,Nicolass-Air.technicolor.net,127.0.0.1,109.76707363128662,21
17.0,1711467442,,False,22,e652aed7,2024-03-26_16-37-22,5.193887948989868,114.96096158027649,533,Nicolass-Air.technicolor.net,127.0.0.1,114.96096158027649,22
17.0,1711467448,,False,23,e652aed7,2024-03-26_16-37-28,5.3875322341918945,120.34849381446838,533,Nicolass-Air.technicolor.net,127.0.0.1,120.34849381446838,23
17.0,1711467453,,False,24,e652aed7,2024-03-26_16-37-33,5.248647212982178,125.59714102745056,533,Nicolass-Air.technicolor.net,127.0.0.1,125.59714102745056,24
17.0,1711467458,,False,25,e652aed7,2024-03-26_16-37-38,5.3426759243011475,130.9398169517517,533,Nicolass-Air.technicolor.net,127.0.0.1,130.9398169517517,25
17.0,1711467464,,False,26,e652aed7,2024-03-26_16-37-44,5.158571004867554,136.09838795661926,533,Nicolass-Air.technicolor.net,127.0.0.1,136.09838795661926,26
17.0,1711467469,,False,27,e652aed7,2024-03-26_16-37-49,5.542397975921631,141.6407859325409,533,Nicolass-Air.technicolor.net,127.0.0.1,141.6407859325409,27
17.0,1711467475,,False,28,e652aed7,2024-03-26_16-37-55,5.464693069458008,147.1054790019989,533,Nicolass-Air.technicolor.net,127.0.0.1,147.1054790019989,28
17.0,1711467480,,False,29,e652aed7,2024-03-26_16-38-00,5.345945119857788,152.4514241218567,533,Nicolass-Air.technicolor.net,127.0.0.1,152.4514241218567,29
17.0,1711467485,,False,30,e652aed7,2024-03-26_16-38-05,5.437574148178101,157.8889982700348,533,Nicolass-Air.technicolor.net,127.0.0.1,157.8889982700348,30
17.0,1711467491,,False,31,e652aed7,2024-03-26_16-38-11,5.241878986358643,163.13087725639343,533,Nicolass-Air.technicolor.net,127.0.0.1,163.13087725639343,31
17.0,1711467496,,False,32,e652aed7,2024-03-26_16-38-16,5.592126131057739,168.72300338745117,533,Nicolass-Air.technicolor.net,127.0.0.1,168.72300338745117,32
17.0,1711467502,,False,33,e652aed7,2024-03-26_16-38-22,5.248416900634766,173.97142028808594,533,Nicolass-Air.technicolor.net,127.0.0.1,173.97142028808594,33
17.0,1711467507,,False,34,e652aed7,2024-03-26_16-38-27,5.258515119552612,179.22993540763855,533,Nicolass-Air.technicolor.net,127.0.0.1,179.22993540763855,34
17.0,1711467512,,False,35,e652aed7,2024-03-26_16-38-32,5.079306125640869,184.30924153327942,533,Nicolass-Air.technicolor.net,127.0.0.1,184.30924153327942,35
17.0,1711467517,,False,36,e652aed7,2024-03-26_16-38-37,5.145241022109985,189.4544825553894,533,Nicolass-Air.technicolor.net,127.0.0.1,189.4544825553894,36
17.0,1711467521,,False,37,e652aed7,2024-03-26_16-38-41,3.874706745147705,193.3291893005371,533,Nicolass-Air.technicolor.net,127.0.0.1,193.3291893005371,37
17.0,1711467526,,False,38,e652aed7,2024-03-26_16-38-46,5.1571221351623535,198.48631143569946,533,Nicolass-Air.technicolor.net,127.0.0.1,198.48631143569946,38
17.0,1711467531,,False,39,e652aed7,2024-03-26_16-38-51,5.048090934753418,203.53440237045288,533,Nicolass-Air.technicolor.net,127.0.0.1,203.53440237045288,39
17.0,1711467536,,False,40,e652aed7,2024-03-26_16-38-56,5.223996162414551,208.75839853286743,533,Nicolass-Air.technicolor.net,127.0.0.1,208.75839853286743,40
