reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711468350,,False,1,ee53b62f,2024-03-26_16-52-30,2.1195430755615234,2.1195430755615234,533,Nicolass-Air.technicolor.net,127.0.0.1,2.1195430755615234,1
42.0,1711468352,,False,2,ee53b62f,2024-03-26_16-52-32,2.2743477821350098,4.393890857696533,533,Nicolass-Air.technicolor.net,127.0.0.1,4.393890857696533,2
45.0,1711468355,,False,3,ee53b62f,2024-03-26_16-52-35,2.4071710109710693,6.8010618686676025,533,Nicolass-Air.technicolor.net,127.0.0.1,6.8010618686676025,3
42.0,1711468357,,False,4,ee53b62f,2024-03-26_16-52-37,2.352841377258301,9.153903245925903,533,Nicolass-Air.technicolor.net,127.0.0.1,9.153903245925903,4
43.0,1711468360,,False,5,ee53b62f,2024-03-26_16-52-40,2.5611929893493652,11.715096235275269,533,Nicolass-Air.technicolor.net,127.0.0.1,11.715096235275269,5
42.0,1711468362,,False,6,ee53b62f,2024-03-26_16-52-42,2.4464938640594482,14.161590099334717,533,Nicolass-Air.technicolor.net,127.0.0.1,14.161590099334717,6
44.0,1711468364,,False,7,ee53b62f,2024-03-26_16-52-44,2.4357218742370605,16.597311973571777,533,Nicolass-Air.technicolor.net,127.0.0.1,16.597311973571777,7
45.0,1711468367,,False,8,ee53b62f,2024-03-26_16-52-47,2.7798120975494385,19.377124071121216,533,Nicolass-Air.technicolor.net,127.0.0.1,19.377124071121216,8
45.0,1711468370,,False,9,ee53b62f,2024-03-26_16-52-50,2.635460138320923,22.01258420944214,533,Nicolass-Air.technicolor.net,127.0.0.1,22.01258420944214,9
46.0,1711468373,,False,10,ee53b62f,2024-03-26_16-52-53,2.7532060146331787,24.765790224075317,533,Nicolass-Air.technicolor.net,127.0.0.1,24.765790224075317,10
48.0,1711468375,,False,11,ee53b62f,2024-03-26_16-52-55,2.675502061843872,27.44129228591919,533,Nicolass-Air.technicolor.net,127.0.0.1,27.44129228591919,11
50.0,1711468378,,False,12,ee53b62f,2024-03-26_16-52-58,2.8065319061279297,30.24782419204712,533,Nicolass-Air.technicolor.net,127.0.0.1,30.24782419204712,12
50.0,1711468381,,False,13,ee53b62f,2024-03-26_16-53-01,2.742794990539551,32.99061918258667,533,Nicolass-Air.technicolor.net,127.0.0.1,32.99061918258667,13
50.0,1711468384,,False,14,ee53b62f,2024-03-26_16-53-04,2.8698551654815674,35.86047434806824,533,Nicolass-Air.technicolor.net,127.0.0.1,35.86047434806824,14
50.0,1711468387,,False,15,ee53b62f,2024-03-26_16-53-07,2.778455972671509,38.638930320739746,533,Nicolass-Air.technicolor.net,127.0.0.1,38.638930320739746,15
50.0,1711468389,,False,16,ee53b62f,2024-03-26_16-53-09,2.7669897079467773,41.40592002868652,533,Nicolass-Air.technicolor.net,127.0.0.1,41.40592002868652,16
50.0,1711468392,,False,17,ee53b62f,2024-03-26_16-53-12,2.8894031047821045,44.29532313346863,533,Nicolass-Air.technicolor.net,127.0.0.1,44.29532313346863,17
