reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711467519,,False,1,f3ec6f04,2024-03-26_16-38-39,0.6676170825958252,0.6676170825958252,498,Nicolass-Air.technicolor.net,127.0.0.1,0.6676170825958252,1
37.0,1711467521,,False,2,f3ec6f04,2024-03-26_16-38-41,0.7496659755706787,1.417283058166504,498,Nicolass-Air.technicolor.net,127.0.0.1,1.417283058166504,2
33.0,1711467522,,False,3,f3ec6f04,2024-03-26_16-38-42,0.8116230964660645,2.2289061546325684,498,Nicolass-Air.technicolor.net,127.0.0.1,2.2289061546325684,3
38.0,1711467523,,False,4,f3ec6f04,2024-03-26_16-38-43,0.8349289894104004,3.0638351440429688,498,Nicolass-Air.technicolor.net,127.0.0.1,3.0638351440429688,4
39.0,1711467524,,False,5,f3ec6f04,2024-03-26_16-38-44,0.887333869934082,3.951169013977051,498,Nicolass-Air.technicolor.net,127.0.0.1,3.951169013977051,5
39.0,1711467525,,False,6,f3ec6f04,2024-03-26_16-38-45,0.8484532833099365,4.799622297286987,498,Nicolass-Air.technicolor.net,127.0.0.1,4.799622297286987,6
39.0,1711467526,,False,7,f3ec6f04,2024-03-26_16-38-46,0.7943999767303467,5.594022274017334,498,Nicolass-Air.technicolor.net,127.0.0.1,5.594022274017334,7
39.0,1711467527,,False,8,f3ec6f04,2024-03-26_16-38-47,0.8695330619812012,6.463555335998535,498,Nicolass-Air.technicolor.net,127.0.0.1,6.463555335998535,8
39.0,1711467527,,False,9,f3ec6f04,2024-03-26_16-38-47,0.9247071743011475,7.388262510299683,498,Nicolass-Air.technicolor.net,127.0.0.1,7.388262510299683,9
35.0,1711467528,,False,10,f3ec6f04,2024-03-26_16-38-48,0.8615858554840088,8.249848365783691,498,Nicolass-Air.technicolor.net,127.0.0.1,8.249848365783691,10
35.0,1711467529,,False,11,f3ec6f04,2024-03-26_16-38-49,0.8356130123138428,9.085461378097534,498,Nicolass-Air.technicolor.net,127.0.0.1,9.085461378097534,11
35.0,1711467530,,False,12,f3ec6f04,2024-03-26_16-38-50,0.7737851142883301,9.859246492385864,498,Nicolass-Air.technicolor.net,127.0.0.1,9.859246492385864,12
35.0,1711467531,,False,13,f3ec6f04,2024-03-26_16-38-51,0.7699799537658691,10.629226446151733,498,Nicolass-Air.technicolor.net,127.0.0.1,10.629226446151733,13
35.0,1711467532,,False,14,f3ec6f04,2024-03-26_16-38-52,0.8038198947906494,11.433046340942383,498,Nicolass-Air.technicolor.net,127.0.0.1,11.433046340942383,14
35.0,1711467533,,False,15,f3ec6f04,2024-03-26_16-38-53,1.0130691528320312,12.446115493774414,498,Nicolass-Air.technicolor.net,127.0.0.1,12.446115493774414,15
35.0,1711467533,,False,16,f3ec6f04,2024-03-26_16-38-53,0.8215031623840332,13.267618656158447,498,Nicolass-Air.technicolor.net,127.0.0.1,13.267618656158447,16
35.0,1711467534,,False,17,f3ec6f04,2024-03-26_16-38-54,0.8184177875518799,14.086036443710327,498,Nicolass-Air.technicolor.net,127.0.0.1,14.086036443710327,17
35.0,1711467535,,False,18,f3ec6f04,2024-03-26_16-38-55,0.8597629070281982,14.945799350738525,498,Nicolass-Air.technicolor.net,127.0.0.1,14.945799350738525,18
35.0,1711467536,,False,19,f3ec6f04,2024-03-26_16-38-56,0.8387219905853271,15.784521341323853,498,Nicolass-Air.technicolor.net,127.0.0.1,15.784521341323853,19
35.0,1711467537,,False,20,f3ec6f04,2024-03-26_16-38-57,0.8702907562255859,16.65481209754944,498,Nicolass-Air.technicolor.net,127.0.0.1,16.65481209754944,20
35.0,1711467538,,False,21,f3ec6f04,2024-03-26_16-38-58,0.9246289730072021,17.57944107055664,498,Nicolass-Air.technicolor.net,127.0.0.1,17.57944107055664,21
35.0,1711467539,,False,22,f3ec6f04,2024-03-26_16-38-59,0.9095549583435059,18.488996028900146,498,Nicolass-Air.technicolor.net,127.0.0.1,18.488996028900146,22
35.0,1711467539,,False,23,f3ec6f04,2024-03-26_16-38-59,0.7967658042907715,19.285761833190918,498,Nicolass-Air.technicolor.net,127.0.0.1,19.285761833190918,23
35.0,1711467540,,False,24,f3ec6f04,2024-03-26_16-39-00,0.8166408538818359,20.102402687072754,498,Nicolass-Air.technicolor.net,127.0.0.1,20.102402687072754,24
35.0,1711467541,,False,25,f3ec6f04,2024-03-26_16-39-01,0.8622908592224121,20.964693546295166,498,Nicolass-Air.technicolor.net,127.0.0.1,20.964693546295166,25
