reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
35.0,1711467350,,False,1,f4e14c73,2024-03-26_16-35-50,0.4774048328399658,0.4774048328399658,436,Nicolass-Air.technicolor.net,127.0.0.1,0.4774048328399658,1
51.0,1711467351,,False,2,f4e14c73,2024-03-26_16-35-51,0.6212458610534668,1.0986506938934326,436,Nicolass-Air.technicolor.net,127.0.0.1,1.0986506938934326,2
52.0,1711467351,,False,3,f4e14c73,2024-03-26_16-35-51,0.6769449710845947,1.7755956649780273,436,Nicolass-Air.technicolor.net,127.0.0.1,1.7755956649780273,3
53.0,1711467352,,False,4,f4e14c73,2024-03-26_16-35-52,0.6818549633026123,2.4574506282806396,436,Nicolass-Air.technicolor.net,127.0.0.1,2.4574506282806396,4
46.0,1711467353,,False,5,f4e14c73,2024-03-26_16-35-53,0.6426272392272949,3.1000778675079346,436,Nicolass-Air.technicolor.net,127.0.0.1,3.1000778675079346,5
46.0,1711467354,,False,6,f4e14c73,2024-03-26_16-35-54,0.7067470550537109,3.8068249225616455,436,Nicolass-Air.technicolor.net,127.0.0.1,3.8068249225616455,6
46.0,1711467354,,False,7,f4e14c73,2024-03-26_16-35-54,0.6695559024810791,4.476380825042725,436,Nicolass-Air.technicolor.net,127.0.0.1,4.476380825042725,7
46.0,1711467355,,False,8,f4e14c73,2024-03-26_16-35-55,0.6659300327301025,5.142310857772827,436,Nicolass-Air.technicolor.net,127.0.0.1,5.142310857772827,8
46.0,1711467356,,False,9,f4e14c73,2024-03-26_16-35-56,0.663153886795044,5.805464744567871,436,Nicolass-Air.technicolor.net,127.0.0.1,5.805464744567871,9
46.0,1711467356,,False,10,f4e14c73,2024-03-26_16-35-56,0.6670479774475098,6.472512722015381,436,Nicolass-Air.technicolor.net,127.0.0.1,6.472512722015381,10
46.0,1711467357,,False,11,f4e14c73,2024-03-26_16-35-57,0.7872488498687744,7.259761571884155,436,Nicolass-Air.technicolor.net,127.0.0.1,7.259761571884155,11
46.0,1711467358,,False,12,f4e14c73,2024-03-26_16-35-58,0.6964130401611328,7.956174612045288,436,Nicolass-Air.technicolor.net,127.0.0.1,7.956174612045288,12
46.0,1711467358,,False,13,f4e14c73,2024-03-26_16-35-58,0.6828131675720215,8.63898777961731,436,Nicolass-Air.technicolor.net,127.0.0.1,8.63898777961731,13
