reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.5,1711466418,,False,1,f8a9880f,2024-03-26_16-20-18,3.0960278511047363,3.0960278511047363,498,Nicolass-Air.technicolor.net,127.0.0.1,3.0960278511047363,1
15.0,1711466421,,False,2,f8a9880f,2024-03-26_16-20-21,3.304841995239258,6.400869846343994,498,Nicolass-Air.technicolor.net,127.0.0.1,6.400869846343994,2
13.0,1711466424,,False,3,f8a9880f,2024-03-26_16-20-24,2.9916741847991943,9.392544031143188,498,Nicolass-Air.technicolor.net,127.0.0.1,9.392544031143188,3
16.0,1711466427,,False,4,f8a9880f,2024-03-26_16-20-27,3.105175256729126,12.497719287872314,498,Nicolass-Air.technicolor.net,127.0.0.1,12.497719287872314,4
13.5,1711466430,,False,5,f8a9880f,2024-03-26_16-20-30,2.9682188034057617,15.465938091278076,498,Nicolass-Air.technicolor.net,127.0.0.1,15.465938091278076,5
12.0,1711466433,,False,6,f8a9880f,2024-03-26_16-20-33,3.0560078620910645,18.52194595336914,498,Nicolass-Air.technicolor.net,127.0.0.1,18.52194595336914,6
12.0,1711466436,,False,7,f8a9880f,2024-03-26_16-20-36,2.7589919567108154,21.280937910079956,498,Nicolass-Air.technicolor.net,127.0.0.1,21.280937910079956,7
8.5,1711466439,,False,8,f8a9880f,2024-03-26_16-20-39,2.5250203609466553,23.80595827102661,498,Nicolass-Air.technicolor.net,127.0.0.1,23.80595827102661,8
10.5,1711466442,,False,9,f8a9880f,2024-03-26_16-20-42,2.825326919555664,26.631285190582275,498,Nicolass-Air.technicolor.net,127.0.0.1,26.631285190582275,9
9.0,1711466444,,False,10,f8a9880f,2024-03-26_16-20-44,2.860156774520874,29.49144196510315,498,Nicolass-Air.technicolor.net,127.0.0.1,29.49144196510315,10
13.0,1711466447,,False,11,f8a9880f,2024-03-26_16-20-47,2.7279438972473145,32.219385862350464,498,Nicolass-Air.technicolor.net,127.0.0.1,32.219385862350464,11
10.5,1711466450,,False,12,f8a9880f,2024-03-26_16-20-50,2.44356107711792,34.662946939468384,498,Nicolass-Air.technicolor.net,127.0.0.1,34.662946939468384,12
14.5,1711466453,,False,13,f8a9880f,2024-03-26_16-20-53,3.039278984069824,37.70222592353821,498,Nicolass-Air.technicolor.net,127.0.0.1,37.70222592353821,13
12.5,1711466455,,False,14,f8a9880f,2024-03-26_16-20-55,2.82620906829834,40.52843499183655,498,Nicolass-Air.technicolor.net,127.0.0.1,40.52843499183655,14
23.0,1711466459,,False,15,f8a9880f,2024-03-26_16-20-59,3.5804479122161865,44.108882904052734,498,Nicolass-Air.technicolor.net,127.0.0.1,44.108882904052734,15
25.5,1711466463,,False,16,f8a9880f,2024-03-26_16-21-03,3.8736701011657715,47.982553005218506,498,Nicolass-Air.technicolor.net,127.0.0.1,47.982553005218506,16
25.0,1711466467,,False,17,f8a9880f,2024-03-26_16-21-07,3.8907017707824707,51.87325477600098,498,Nicolass-Air.technicolor.net,127.0.0.1,51.87325477600098,17
25.5,1711466471,,False,18,f8a9880f,2024-03-26_16-21-11,3.892631769180298,55.765886545181274,498,Nicolass-Air.technicolor.net,127.0.0.1,55.765886545181274,18
26.0,1711466475,,False,19,f8a9880f,2024-03-26_16-21-15,3.934760093688965,59.70064663887024,498,Nicolass-Air.technicolor.net,127.0.0.1,59.70064663887024,19
26.0,1711466479,,False,20,f8a9880f,2024-03-26_16-21-19,4.040464878082275,63.741111516952515,498,Nicolass-Air.technicolor.net,127.0.0.1,63.741111516952515,20
26.0,1711466482,,False,21,f8a9880f,2024-03-26_16-21-22,3.662377119064331,67.40348863601685,498,Nicolass-Air.technicolor.net,127.0.0.1,67.40348863601685,21
25.5,1711466486,,False,22,f8a9880f,2024-03-26_16-21-26,4.0268027782440186,71.43029141426086,498,Nicolass-Air.technicolor.net,127.0.0.1,71.43029141426086,22
25.5,1711466490,,False,23,f8a9880f,2024-03-26_16-21-30,3.7519760131835938,75.18226742744446,498,Nicolass-Air.technicolor.net,127.0.0.1,75.18226742744446,23
26.0,1711466494,,False,24,f8a9880f,2024-03-26_16-21-34,3.868147134780884,79.05041456222534,498,Nicolass-Air.technicolor.net,127.0.0.1,79.05041456222534,24
26.0,1711466498,,False,25,f8a9880f,2024-03-26_16-21-38,3.7206618785858154,82.77107644081116,498,Nicolass-Air.technicolor.net,127.0.0.1,82.77107644081116,25
