reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
25.6,1711474469,,False,1,044696e5,2024-03-26_18-34-29,0.9575738906860352,0.9575738906860352,5319,Nicolass-Air.technicolor.net,127.0.0.1,0.9575738906860352,1
20.6,1711474470,,False,2,044696e5,2024-03-26_18-34-30,1.0157279968261719,1.973301887512207,5319,Nicolass-Air.technicolor.net,127.0.0.1,1.973301887512207,2
15.8,1711474471,,False,3,044696e5,2024-03-26_18-34-31,0.955348014831543,2.92864990234375,5319,Nicolass-Air.technicolor.net,127.0.0.1,2.92864990234375,3
11.4,1711474472,,False,4,044696e5,2024-03-26_18-34-32,0.7196199893951416,3.6482698917388916,5319,Nicolass-Air.technicolor.net,127.0.0.1,3.6482698917388916,4
13.4,1711474473,,False,5,044696e5,2024-03-26_18-34-33,0.7730438709259033,4.421313762664795,5319,Nicolass-Air.technicolor.net,127.0.0.1,4.421313762664795,5
13.6,1711474474,,False,6,044696e5,2024-03-26_18-34-34,0.7826428413391113,5.203956604003906,5319,Nicolass-Air.technicolor.net,127.0.0.1,5.203956604003906,6
15.2,1711474474,,False,7,044696e5,2024-03-26_18-34-34,0.7895097732543945,5.993466377258301,5319,Nicolass-Air.technicolor.net,127.0.0.1,5.993466377258301,7
15.8,1711474475,,False,8,044696e5,2024-03-26_18-34-35,0.7565839290618896,6.75005030632019,5319,Nicolass-Air.technicolor.net,127.0.0.1,6.75005030632019,8
15.4,1711474476,,False,9,044696e5,2024-03-26_18-34-36,0.8216109275817871,7.5716612339019775,5319,Nicolass-Air.technicolor.net,127.0.0.1,7.5716612339019775,9
13.2,1711474477,,False,10,044696e5,2024-03-26_18-34-37,0.8670120239257812,8.438673257827759,5319,Nicolass-Air.technicolor.net,127.0.0.1,8.438673257827759,10
14.6,1711474478,,False,11,044696e5,2024-03-26_18-34-38,0.8181648254394531,9.256838083267212,5319,Nicolass-Air.technicolor.net,127.0.0.1,9.256838083267212,11
