reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711474683,,False,1,1081efdc,2024-03-26_18-38-03,0.324660062789917,0.324660062789917,5327,Nicolass-Air.technicolor.net,127.0.0.1,0.324660062789917,1
12.0,1711474684,,False,2,1081efdc,2024-03-26_18-38-04,0.3006138801574707,0.6252739429473877,5327,Nicolass-Air.technicolor.net,127.0.0.1,0.6252739429473877,2
12.0,1711474684,,False,3,1081efdc,2024-03-26_18-38-04,0.3190300464630127,0.9443039894104004,5327,Nicolass-Air.technicolor.net,127.0.0.1,0.9443039894104004,3
12.0,1711474684,,False,4,1081efdc,2024-03-26_18-38-04,0.2824869155883789,1.2267909049987793,5327,Nicolass-Air.technicolor.net,127.0.0.1,1.2267909049987793,4
12.0,1711474685,,False,5,1081efdc,2024-03-26_18-38-05,0.3179309368133545,1.5447218418121338,5327,Nicolass-Air.technicolor.net,127.0.0.1,1.5447218418121338,5
12.0,1711474685,,False,6,1081efdc,2024-03-26_18-38-05,0.3390519618988037,1.8837738037109375,5327,Nicolass-Air.technicolor.net,127.0.0.1,1.8837738037109375,6
12.0,1711474685,,False,7,1081efdc,2024-03-26_18-38-05,0.3041563034057617,2.187930107116699,5327,Nicolass-Air.technicolor.net,127.0.0.1,2.187930107116699,7
12.0,1711474686,,False,8,1081efdc,2024-03-26_18-38-06,0.3035929203033447,2.491523027420044,5327,Nicolass-Air.technicolor.net,127.0.0.1,2.491523027420044,8
12.0,1711474686,,False,9,1081efdc,2024-03-26_18-38-06,0.34019994735717773,2.8317229747772217,5327,Nicolass-Air.technicolor.net,127.0.0.1,2.8317229747772217,9
12.0,1711474686,,False,10,1081efdc,2024-03-26_18-38-06,0.30332112312316895,3.1350440979003906,5327,Nicolass-Air.technicolor.net,127.0.0.1,3.1350440979003906,10
12.0,1711474687,,False,11,1081efdc,2024-03-26_18-38-07,0.30866193771362305,3.4437060356140137,5327,Nicolass-Air.technicolor.net,127.0.0.1,3.4437060356140137,11
12.0,1711474687,,False,12,1081efdc,2024-03-26_18-38-07,0.28534483909606934,3.729050874710083,5327,Nicolass-Air.technicolor.net,127.0.0.1,3.729050874710083,12
12.0,1711474687,,False,13,1081efdc,2024-03-26_18-38-07,0.3625679016113281,4.091618776321411,5327,Nicolass-Air.technicolor.net,127.0.0.1,4.091618776321411,13
12.0,1711474688,,False,14,1081efdc,2024-03-26_18-38-08,0.3620150089263916,4.453633785247803,5327,Nicolass-Air.technicolor.net,127.0.0.1,4.453633785247803,14
12.0,1711474688,,False,15,1081efdc,2024-03-26_18-38-08,0.36107301712036133,4.814706802368164,5327,Nicolass-Air.technicolor.net,127.0.0.1,4.814706802368164,15
12.0,1711474688,,False,16,1081efdc,2024-03-26_18-38-08,0.29882311820983887,5.113529920578003,5327,Nicolass-Air.technicolor.net,127.0.0.1,5.113529920578003,16
12.0,1711474689,,False,17,1081efdc,2024-03-26_18-38-09,0.3341057300567627,5.447635650634766,5327,Nicolass-Air.technicolor.net,127.0.0.1,5.447635650634766,17
12.0,1711474689,,False,18,1081efdc,2024-03-26_18-38-09,0.3055250644683838,5.753160715103149,5327,Nicolass-Air.technicolor.net,127.0.0.1,5.753160715103149,18
12.0,1711474689,,False,19,1081efdc,2024-03-26_18-38-09,0.31978702545166016,6.07294774055481,5327,Nicolass-Air.technicolor.net,127.0.0.1,6.07294774055481,19
12.0,1711474690,,False,20,1081efdc,2024-03-26_18-38-10,0.4623439311981201,6.53529167175293,5327,Nicolass-Air.technicolor.net,127.0.0.1,6.53529167175293,20
12.0,1711474690,,False,21,1081efdc,2024-03-26_18-38-10,0.2854588031768799,6.82075047492981,5327,Nicolass-Air.technicolor.net,127.0.0.1,6.82075047492981,21
12.0,1711474690,,False,22,1081efdc,2024-03-26_18-38-10,0.3090968132019043,7.129847288131714,5327,Nicolass-Air.technicolor.net,127.0.0.1,7.129847288131714,22
12.0,1711474691,,False,23,1081efdc,2024-03-26_18-38-11,0.3176891803741455,7.447536468505859,5327,Nicolass-Air.technicolor.net,127.0.0.1,7.447536468505859,23
12.0,1711474691,,False,24,1081efdc,2024-03-26_18-38-11,0.34844207763671875,7.795978546142578,5327,Nicolass-Air.technicolor.net,127.0.0.1,7.795978546142578,24
12.0,1711474691,,False,25,1081efdc,2024-03-26_18-38-11,0.3259470462799072,8.121925592422485,5327,Nicolass-Air.technicolor.net,127.0.0.1,8.121925592422485,25
12.0,1711474692,,False,26,1081efdc,2024-03-26_18-38-12,0.28760814666748047,8.409533739089966,5327,Nicolass-Air.technicolor.net,127.0.0.1,8.409533739089966,26
