reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.2,1711474956,,False,1,2e70040c,2024-03-26_18-42-36,3.688544988632202,3.688544988632202,5272,Nicolass-Air.technicolor.net,127.0.0.1,3.688544988632202,1
21.0,1711474960,,False,2,2e70040c,2024-03-26_18-42-40,3.624431848526001,7.312976837158203,5272,Nicolass-Air.technicolor.net,127.0.0.1,7.312976837158203,2
25.8,1711474964,,False,3,2e70040c,2024-03-26_18-42-44,3.574573040008545,10.887549877166748,5272,Nicolass-Air.technicolor.net,127.0.0.1,10.887549877166748,3
23.4,1711474967,,False,4,2e70040c,2024-03-26_18-42-47,3.5762131214141846,14.463762998580933,5272,Nicolass-Air.technicolor.net,127.0.0.1,14.463762998580933,4
21.8,1711474970,,False,5,2e70040c,2024-03-26_18-42-50,3.1969470977783203,17.660710096359253,5272,Nicolass-Air.technicolor.net,127.0.0.1,17.660710096359253,5
16.6,1711474973,,False,6,2e70040c,2024-03-26_18-42-53,2.5883922576904297,20.249102354049683,5272,Nicolass-Air.technicolor.net,127.0.0.1,20.249102354049683,6
16.4,1711474976,,False,7,2e70040c,2024-03-26_18-42-56,2.510935068130493,22.760037422180176,5272,Nicolass-Air.technicolor.net,127.0.0.1,22.760037422180176,7
24.0,1711474979,,False,8,2e70040c,2024-03-26_18-42-59,3.2928922176361084,26.052929639816284,5272,Nicolass-Air.technicolor.net,127.0.0.1,26.052929639816284,8
14.2,1711474981,,False,9,2e70040c,2024-03-26_18-43-01,2.225497007369995,28.27842664718628,5272,Nicolass-Air.technicolor.net,127.0.0.1,28.27842664718628,9
15.6,1711474984,,False,10,2e70040c,2024-03-26_18-43-04,3.0823090076446533,31.360735654830933,5272,Nicolass-Air.technicolor.net,127.0.0.1,31.360735654830933,10
15.6,1711474987,,False,11,2e70040c,2024-03-26_18-43-07,2.658547878265381,34.01928353309631,5272,Nicolass-Air.technicolor.net,127.0.0.1,34.01928353309631,11
