reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711475447,,False,1,374ad88e,2024-03-26_18-50-47,0.5320019721984863,0.5320019721984863,5311,Nicolass-Air.technicolor.net,127.0.0.1,0.5320019721984863,1
61.0,1711475448,,False,2,374ad88e,2024-03-26_18-50-48,1.1451900005340576,1.677191972732544,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.677191972732544,2
45.0,1711475448,,False,3,374ad88e,2024-03-26_18-50-48,0.7192230224609375,2.3964149951934814,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.3964149951934814,3
52.0,1711475449,,False,4,374ad88e,2024-03-26_18-50-49,0.6361751556396484,3.03259015083313,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.03259015083313,4
53.0,1711475450,,False,5,374ad88e,2024-03-26_18-50-50,0.669605016708374,3.702195167541504,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.702195167541504,5
51.0,1711475450,,False,6,374ad88e,2024-03-26_18-50-50,0.7377169132232666,4.4399120807647705,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.4399120807647705,6
51.0,1711475451,,False,7,374ad88e,2024-03-26_18-50-51,0.5962750911712646,5.036187171936035,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.036187171936035,7
51.0,1711475452,,False,8,374ad88e,2024-03-26_18-50-52,0.8388102054595947,5.87499737739563,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.87499737739563,8
53.0,1711475453,,False,9,374ad88e,2024-03-26_18-50-53,0.7879917621612549,6.662989139556885,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.662989139556885,9
56.0,1711475453,,False,10,374ad88e,2024-03-26_18-50-53,0.7685408592224121,7.431529998779297,5311,Nicolass-Air.technicolor.net,127.0.0.1,7.431529998779297,10
46.0,1711475454,,False,11,374ad88e,2024-03-26_18-50-54,0.636509895324707,8.068039894104004,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.068039894104004,11
46.0,1711475455,,False,12,374ad88e,2024-03-26_18-50-55,0.7704908847808838,8.838530778884888,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.838530778884888,12
45.0,1711475455,,False,13,374ad88e,2024-03-26_18-50-55,0.5782878398895264,9.416818618774414,5311,Nicolass-Air.technicolor.net,127.0.0.1,9.416818618774414,13
48.0,1711475456,,False,14,374ad88e,2024-03-26_18-50-56,0.6133487224578857,10.0301673412323,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.0301673412323,14
46.0,1711475457,,False,15,374ad88e,2024-03-26_18-50-57,0.5357568264007568,10.565924167633057,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.565924167633057,15
46.0,1711475457,,False,16,374ad88e,2024-03-26_18-50-57,0.5938911437988281,11.159815311431885,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.159815311431885,16
