reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
15.2,1711474230,,False,1,39c73bbc,2024-03-26_18-30-30,0.5744211673736572,0.5744211673736572,5311,Nicolass-Air.technicolor.net,127.0.0.1,0.5744211673736572,1
16.8,1711474231,,False,2,39c73bbc,2024-03-26_18-30-31,0.6734170913696289,1.2478382587432861,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.2478382587432861,2
15.2,1711474232,,False,3,39c73bbc,2024-03-26_18-30-32,0.6493980884552002,1.8972363471984863,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.8972363471984863,3
17.2,1711474233,,False,4,39c73bbc,2024-03-26_18-30-33,0.8305881023406982,2.7278244495391846,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.7278244495391846,4
27.4,1711474234,,False,5,39c73bbc,2024-03-26_18-30-34,1.182600736618042,3.9104251861572266,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.9104251861572266,5
16.6,1711474235,,False,6,39c73bbc,2024-03-26_18-30-35,0.6956369876861572,4.606062173843384,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.606062173843384,6
18.4,1711474235,,False,7,39c73bbc,2024-03-26_18-30-35,0.7021629810333252,5.308225154876709,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.308225154876709,7
18.4,1711474236,,False,8,39c73bbc,2024-03-26_18-30-36,0.7160141468048096,6.0242393016815186,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.0242393016815186,8
17.2,1711474237,,False,9,39c73bbc,2024-03-26_18-30-37,0.6356730461120605,6.659912347793579,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.659912347793579,9
18.0,1711474237,,False,10,39c73bbc,2024-03-26_18-30-37,0.74027419090271,7.400186538696289,5311,Nicolass-Air.technicolor.net,127.0.0.1,7.400186538696289,10
20.0,1711474238,,False,11,39c73bbc,2024-03-26_18-30-38,0.9014730453491211,8.30165958404541,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.30165958404541,11
17.0,1711474239,,False,12,39c73bbc,2024-03-26_18-30-39,0.6428039073944092,8.94446349143982,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.94446349143982,12
17.0,1711474240,,False,13,39c73bbc,2024-03-26_18-30-40,0.7482249736785889,9.692688465118408,5311,Nicolass-Air.technicolor.net,127.0.0.1,9.692688465118408,13
16.6,1711474240,,False,14,39c73bbc,2024-03-26_18-30-40,0.667003870010376,10.359692335128784,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.359692335128784,14
16.0,1711474241,,False,15,39c73bbc,2024-03-26_18-30-41,0.6544408798217773,11.014133214950562,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.014133214950562,15
16.0,1711474242,,False,16,39c73bbc,2024-03-26_18-30-42,0.6566488742828369,11.670782089233398,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.670782089233398,16
16.0,1711474242,,False,17,39c73bbc,2024-03-26_18-30-42,0.5961720943450928,12.266954183578491,5311,Nicolass-Air.technicolor.net,127.0.0.1,12.266954183578491,17
16.0,1711474243,,False,18,39c73bbc,2024-03-26_18-30-43,0.7222967147827148,12.989250898361206,5311,Nicolass-Air.technicolor.net,127.0.0.1,12.989250898361206,18
16.0,1711474244,,False,19,39c73bbc,2024-03-26_18-30-44,0.7833600044250488,13.772610902786255,5311,Nicolass-Air.technicolor.net,127.0.0.1,13.772610902786255,19
16.0,1711474244,,False,20,39c73bbc,2024-03-26_18-30-44,0.6804780960083008,14.453088998794556,5311,Nicolass-Air.technicolor.net,127.0.0.1,14.453088998794556,20
16.0,1711474245,,False,21,39c73bbc,2024-03-26_18-30-45,0.6132140159606934,15.066303014755249,5311,Nicolass-Air.technicolor.net,127.0.0.1,15.066303014755249,21
16.0,1711474246,,False,22,39c73bbc,2024-03-26_18-30-46,0.6532621383666992,15.719565153121948,5311,Nicolass-Air.technicolor.net,127.0.0.1,15.719565153121948,22
16.0,1711474246,,False,23,39c73bbc,2024-03-26_18-30-46,0.5861091613769531,16.3056743144989,5311,Nicolass-Air.technicolor.net,127.0.0.1,16.3056743144989,23
16.0,1711474247,,False,24,39c73bbc,2024-03-26_18-30-47,0.6607391834259033,16.966413497924805,5311,Nicolass-Air.technicolor.net,127.0.0.1,16.966413497924805,24
16.0,1711474248,,False,25,39c73bbc,2024-03-26_18-30-48,0.6004111766815186,17.566824674606323,5311,Nicolass-Air.technicolor.net,127.0.0.1,17.566824674606323,25
16.0,1711474248,,False,26,39c73bbc,2024-03-26_18-30-48,0.5955677032470703,18.162392377853394,5311,Nicolass-Air.technicolor.net,127.0.0.1,18.162392377853394,26
16.0,1711474249,,False,27,39c73bbc,2024-03-26_18-30-49,0.6917548179626465,18.85414719581604,5311,Nicolass-Air.technicolor.net,127.0.0.1,18.85414719581604,27
16.0,1711474250,,False,28,39c73bbc,2024-03-26_18-30-50,0.6354150772094727,19.489562273025513,5311,Nicolass-Air.technicolor.net,127.0.0.1,19.489562273025513,28
16.0,1711474250,,False,29,39c73bbc,2024-03-26_18-30-50,0.6563780307769775,20.14594030380249,5311,Nicolass-Air.technicolor.net,127.0.0.1,20.14594030380249,29
16.0,1711474251,,False,30,39c73bbc,2024-03-26_18-30-51,0.5863091945648193,20.73224949836731,5311,Nicolass-Air.technicolor.net,127.0.0.1,20.73224949836731,30
16.0,1711474251,,False,31,39c73bbc,2024-03-26_18-30-51,0.601503849029541,21.33375334739685,5311,Nicolass-Air.technicolor.net,127.0.0.1,21.33375334739685,31
16.0,1711474252,,False,32,39c73bbc,2024-03-26_18-30-52,0.5996770858764648,21.933430433273315,5311,Nicolass-Air.technicolor.net,127.0.0.1,21.933430433273315,32
