reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
15.2,1711471769,,False,1,51d7ab2c,2024-03-26_17-49-29,2.835960865020752,2.835960865020752,5319,Nicolass-Air.technicolor.net,127.0.0.1,2.835960865020752,1
16.6,1711471771,,False,2,51d7ab2c,2024-03-26_17-49-31,2.137028932571411,4.972989797592163,5319,Nicolass-Air.technicolor.net,127.0.0.1,4.972989797592163,2
15.2,1711471772,,False,3,51d7ab2c,2024-03-26_17-49-32,1.5841169357299805,6.5571067333221436,5319,Nicolass-Air.technicolor.net,127.0.0.1,6.5571067333221436,3
17.4,1711471774,,False,4,51d7ab2c,2024-03-26_17-49-34,1.8946771621704102,8.451783895492554,5319,Nicolass-Air.technicolor.net,127.0.0.1,8.451783895492554,4
16.8,1711471776,,False,5,51d7ab2c,2024-03-26_17-49-36,1.8527100086212158,10.30449390411377,5319,Nicolass-Air.technicolor.net,127.0.0.1,10.30449390411377,5
16.8,1711471778,,False,6,51d7ab2c,2024-03-26_17-49-38,1.764312982559204,12.068806886672974,5319,Nicolass-Air.technicolor.net,127.0.0.1,12.068806886672974,6
16.2,1711471780,,False,7,51d7ab2c,2024-03-26_17-49-40,2.1989457607269287,14.267752647399902,5319,Nicolass-Air.technicolor.net,127.0.0.1,14.267752647399902,7
16.2,1711471783,,False,8,51d7ab2c,2024-03-26_17-49-43,2.9120676517486572,17.17982029914856,5319,Nicolass-Air.technicolor.net,127.0.0.1,17.17982029914856,8
15.6,1711471785,,False,9,51d7ab2c,2024-03-26_17-49-45,2.0799272060394287,19.25974750518799,5319,Nicolass-Air.technicolor.net,127.0.0.1,19.25974750518799,9
14.6,1711471787,,False,10,51d7ab2c,2024-03-26_17-49-47,1.8733770847320557,21.133124589920044,5319,Nicolass-Air.technicolor.net,127.0.0.1,21.133124589920044,10
14.2,1711471789,,False,11,51d7ab2c,2024-03-26_17-49-49,2.193924903869629,23.327049493789673,5319,Nicolass-Air.technicolor.net,127.0.0.1,23.327049493789673,11
13.8,1711471792,,False,12,51d7ab2c,2024-03-26_17-49-52,2.668226957321167,25.99527645111084,5319,Nicolass-Air.technicolor.net,127.0.0.1,25.99527645111084,12
14.2,1711471794,,False,13,51d7ab2c,2024-03-26_17-49-54,2.2997307777404785,28.29500722885132,5319,Nicolass-Air.technicolor.net,127.0.0.1,28.29500722885132,13
13.8,1711471796,,False,14,51d7ab2c,2024-03-26_17-49-56,2.1500637531280518,30.44507098197937,5319,Nicolass-Air.technicolor.net,127.0.0.1,30.44507098197937,14
14.6,1711471799,,False,15,51d7ab2c,2024-03-26_17-49-59,2.279895782470703,32.72496676445007,5319,Nicolass-Air.technicolor.net,127.0.0.1,32.72496676445007,15
14.6,1711471801,,False,16,51d7ab2c,2024-03-26_17-50-01,2.108759880065918,34.83372664451599,5319,Nicolass-Air.technicolor.net,127.0.0.1,34.83372664451599,16
15.0,1711471803,,False,17,51d7ab2c,2024-03-26_17-50-03,2.5229029655456543,37.356629610061646,5319,Nicolass-Air.technicolor.net,127.0.0.1,37.356629610061646,17
15.0,1711471805,,False,18,51d7ab2c,2024-03-26_17-50-05,2.096640110015869,39.453269720077515,5319,Nicolass-Air.technicolor.net,127.0.0.1,39.453269720077515,18
15.0,1711471808,,False,19,51d7ab2c,2024-03-26_17-50-08,2.2878100872039795,41.741079807281494,5319,Nicolass-Air.technicolor.net,127.0.0.1,41.741079807281494,19
15.0,1711471810,,False,20,51d7ab2c,2024-03-26_17-50-10,2.473344087600708,44.2144238948822,5319,Nicolass-Air.technicolor.net,127.0.0.1,44.2144238948822,20
15.0,1711471813,,False,21,51d7ab2c,2024-03-26_17-50-13,2.3856959342956543,46.600119829177856,5319,Nicolass-Air.technicolor.net,127.0.0.1,46.600119829177856,21
15.0,1711471815,,False,22,51d7ab2c,2024-03-26_17-50-15,2.167983055114746,48.7681028842926,5319,Nicolass-Air.technicolor.net,127.0.0.1,48.7681028842926,22
15.0,1711471817,,False,23,51d7ab2c,2024-03-26_17-50-17,2.20784068107605,50.97594356536865,5319,Nicolass-Air.technicolor.net,127.0.0.1,50.97594356536865,23
15.0,1711471819,,False,24,51d7ab2c,2024-03-26_17-50-19,1.9833638668060303,52.95930743217468,5319,Nicolass-Air.technicolor.net,127.0.0.1,52.95930743217468,24
