reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30.2,1711473776,,False,1,5c9acfb8,2024-03-26_18-22-56,5.661684036254883,5.661684036254883,5371,Nicolass-Air.technicolor.net,127.0.0.1,5.661684036254883,1
37.4,1711473783,,False,2,5c9acfb8,2024-03-26_18-23-03,7.581841707229614,13.243525743484497,5371,Nicolass-Air.technicolor.net,127.0.0.1,13.243525743484497,2
28.4,1711473790,,False,3,5c9acfb8,2024-03-26_18-23-10,6.080129146575928,19.323654890060425,5371,Nicolass-Air.technicolor.net,127.0.0.1,19.323654890060425,3
28.4,1711473796,,False,4,5c9acfb8,2024-03-26_18-23-16,6.318096160888672,25.641751050949097,5371,Nicolass-Air.technicolor.net,127.0.0.1,25.641751050949097,4
32.8,1711473802,,False,5,5c9acfb8,2024-03-26_18-23-22,6.483591079711914,32.12534213066101,5371,Nicolass-Air.technicolor.net,127.0.0.1,32.12534213066101,5
34.2,1711473808,,False,6,5c9acfb8,2024-03-26_18-23-28,5.833422899246216,37.95876502990723,5371,Nicolass-Air.technicolor.net,127.0.0.1,37.95876502990723,6
23.2,1711473813,,False,7,5c9acfb8,2024-03-26_18-23-33,4.747722864151001,42.70648789405823,5371,Nicolass-Air.technicolor.net,127.0.0.1,42.70648789405823,7
22.0,1711473818,,False,8,5c9acfb8,2024-03-26_18-23-38,4.730938911437988,47.437426805496216,5371,Nicolass-Air.technicolor.net,127.0.0.1,47.437426805496216,8
24.2,1711473823,,False,9,5c9acfb8,2024-03-26_18-23-43,5.1087939739227295,52.546220779418945,5371,Nicolass-Air.technicolor.net,127.0.0.1,52.546220779418945,9
20.6,1711473827,,False,10,5c9acfb8,2024-03-26_18-23-47,4.22212290763855,56.768343687057495,5371,Nicolass-Air.technicolor.net,127.0.0.1,56.768343687057495,10
19.8,1711473831,,False,11,5c9acfb8,2024-03-26_18-23-51,4.102662086486816,60.87100577354431,5371,Nicolass-Air.technicolor.net,127.0.0.1,60.87100577354431,11
34.6,1711473837,,False,12,5c9acfb8,2024-03-26_18-23-57,5.498471260070801,66.36947703361511,5371,Nicolass-Air.technicolor.net,127.0.0.1,66.36947703361511,12
28.0,1711473841,,False,13,5c9acfb8,2024-03-26_18-24-01,4.867441177368164,71.23691821098328,5371,Nicolass-Air.technicolor.net,127.0.0.1,71.23691821098328,13
21.8,1711473846,,False,14,5c9acfb8,2024-03-26_18-24-06,4.4146506786346436,75.65156888961792,5371,Nicolass-Air.technicolor.net,127.0.0.1,75.65156888961792,14
19.2,1711473850,,False,15,5c9acfb8,2024-03-26_18-24-10,4.002095937728882,79.6536648273468,5371,Nicolass-Air.technicolor.net,127.0.0.1,79.6536648273468,15
19.0,1711473854,,False,16,5c9acfb8,2024-03-26_18-24-14,3.968752145767212,83.62241697311401,5371,Nicolass-Air.technicolor.net,127.0.0.1,83.62241697311401,16
16.2,1711473857,,False,17,5c9acfb8,2024-03-26_18-24-17,3.570521116256714,87.19293808937073,5371,Nicolass-Air.technicolor.net,127.0.0.1,87.19293808937073,17
12.0,1711473861,,False,18,5c9acfb8,2024-03-26_18-24-21,3.215034008026123,90.40797209739685,5371,Nicolass-Air.technicolor.net,127.0.0.1,90.40797209739685,18
12.0,1711473864,,False,19,5c9acfb8,2024-03-26_18-24-24,3.3162660598754883,93.72423815727234,5371,Nicolass-Air.technicolor.net,127.0.0.1,93.72423815727234,19
12.2,1711473867,,False,20,5c9acfb8,2024-03-26_18-24-27,3.2288081645965576,96.9530463218689,5371,Nicolass-Air.technicolor.net,127.0.0.1,96.9530463218689,20
11.2,1711473871,,False,21,5c9acfb8,2024-03-26_18-24-31,3.542487859725952,100.49553418159485,5371,Nicolass-Air.technicolor.net,127.0.0.1,100.49553418159485,21
11.0,1711473875,,False,22,5c9acfb8,2024-03-26_18-24-35,2.9982450008392334,103.49377918243408,5371,Nicolass-Air.technicolor.net,127.0.0.1,103.49377918243408,22
11.0,1711473879,,False,23,5c9acfb8,2024-03-26_18-24-39,3.274841785430908,106.76862096786499,5371,Nicolass-Air.technicolor.net,127.0.0.1,106.76862096786499,23
0.0,1711473880,,False,24,5c9acfb8,2024-03-26_18-24-40,1.7500381469726562,108.51865911483765,5371,Nicolass-Air.technicolor.net,127.0.0.1,108.51865911483765,24
