reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711475252,,False,1,5d889abf,2024-03-26_18-47-32,0.38971805572509766,0.38971805572509766,5348,Nicolass-Air.technicolor.net,127.0.0.1,0.38971805572509766,1
12.0,1711475253,,False,2,5d889abf,2024-03-26_18-47-33,0.42186903953552246,0.8115870952606201,5348,Nicolass-Air.technicolor.net,127.0.0.1,0.8115870952606201,2
12.0,1711475253,,False,3,5d889abf,2024-03-26_18-47-33,0.36196208000183105,1.1735491752624512,5348,Nicolass-Air.technicolor.net,127.0.0.1,1.1735491752624512,3
12.0,1711475253,,False,4,5d889abf,2024-03-26_18-47-33,0.4323699474334717,1.6059191226959229,5348,Nicolass-Air.technicolor.net,127.0.0.1,1.6059191226959229,4
12.0,1711475254,,False,5,5d889abf,2024-03-26_18-47-34,0.8294389247894287,2.4353580474853516,5348,Nicolass-Air.technicolor.net,127.0.0.1,2.4353580474853516,5
12.0,1711475255,,False,6,5d889abf,2024-03-26_18-47-35,0.44824981689453125,2.883607864379883,5348,Nicolass-Air.technicolor.net,127.0.0.1,2.883607864379883,6
12.0,1711475255,,False,7,5d889abf,2024-03-26_18-47-35,0.3617818355560303,3.245389699935913,5348,Nicolass-Air.technicolor.net,127.0.0.1,3.245389699935913,7
12.0,1711475256,,False,8,5d889abf,2024-03-26_18-47-36,0.6206710338592529,3.866060733795166,5348,Nicolass-Air.technicolor.net,127.0.0.1,3.866060733795166,8
12.0,1711475256,,False,9,5d889abf,2024-03-26_18-47-36,0.8457491397857666,4.711809873580933,5348,Nicolass-Air.technicolor.net,127.0.0.1,4.711809873580933,9
12.0,1711475257,,False,10,5d889abf,2024-03-26_18-47-37,0.6001441478729248,5.311954021453857,5348,Nicolass-Air.technicolor.net,127.0.0.1,5.311954021453857,10
12.0,1711475258,,False,11,5d889abf,2024-03-26_18-47-38,0.49391698837280273,5.80587100982666,5348,Nicolass-Air.technicolor.net,127.0.0.1,5.80587100982666,11
12.0,1711475258,,False,12,5d889abf,2024-03-26_18-47-38,0.48108577728271484,6.286956787109375,5348,Nicolass-Air.technicolor.net,127.0.0.1,6.286956787109375,12
12.0,1711475259,,False,13,5d889abf,2024-03-26_18-47-39,0.6019430160522461,6.888899803161621,5348,Nicolass-Air.technicolor.net,127.0.0.1,6.888899803161621,13
12.0,1711475259,,False,14,5d889abf,2024-03-26_18-47-39,0.32495594024658203,7.213855743408203,5348,Nicolass-Air.technicolor.net,127.0.0.1,7.213855743408203,14
12.0,1711475259,,False,15,5d889abf,2024-03-26_18-47-39,0.4124791622161865,7.62633490562439,5348,Nicolass-Air.technicolor.net,127.0.0.1,7.62633490562439,15
12.0,1711475260,,False,16,5d889abf,2024-03-26_18-47-40,0.427415132522583,8.053750038146973,5348,Nicolass-Air.technicolor.net,127.0.0.1,8.053750038146973,16
12.0,1711475260,,False,17,5d889abf,2024-03-26_18-47-40,0.4034922122955322,8.457242250442505,5348,Nicolass-Air.technicolor.net,127.0.0.1,8.457242250442505,17
12.0,1711475261,,False,18,5d889abf,2024-03-26_18-47-41,0.41120409965515137,8.868446350097656,5348,Nicolass-Air.technicolor.net,127.0.0.1,8.868446350097656,18
12.0,1711475261,,False,19,5d889abf,2024-03-26_18-47-41,0.36356115341186523,9.232007503509521,5348,Nicolass-Air.technicolor.net,127.0.0.1,9.232007503509521,19
12.0,1711475261,,False,20,5d889abf,2024-03-26_18-47-41,0.3533608913421631,9.585368394851685,5348,Nicolass-Air.technicolor.net,127.0.0.1,9.585368394851685,20
12.0,1711475262,,False,21,5d889abf,2024-03-26_18-47-42,0.375438928604126,9.96080732345581,5348,Nicolass-Air.technicolor.net,127.0.0.1,9.96080732345581,21
12.0,1711475262,,False,22,5d889abf,2024-03-26_18-47-42,0.5503520965576172,10.511159420013428,5348,Nicolass-Air.technicolor.net,127.0.0.1,10.511159420013428,22
12.0,1711475263,,False,23,5d889abf,2024-03-26_18-47-43,0.43430495262145996,10.945464372634888,5348,Nicolass-Air.technicolor.net,127.0.0.1,10.945464372634888,23
12.0,1711475263,,False,24,5d889abf,2024-03-26_18-47-43,0.4308199882507324,11.37628436088562,5348,Nicolass-Air.technicolor.net,127.0.0.1,11.37628436088562,24
12.0,1711475264,,False,25,5d889abf,2024-03-26_18-47-44,0.35897397994995117,11.735258340835571,5348,Nicolass-Air.technicolor.net,127.0.0.1,11.735258340835571,25
12.0,1711475264,,False,26,5d889abf,2024-03-26_18-47-44,0.45568108558654785,12.19093942642212,5348,Nicolass-Air.technicolor.net,127.0.0.1,12.19093942642212,26
