reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711474328,,False,1,6680691f,2024-03-26_18-32-08,0.45644211769104004,0.45644211769104004,5319,Nicolass-Air.technicolor.net,127.0.0.1,0.45644211769104004,1
38.0,1711474331,,False,2,6680691f,2024-03-26_18-32-11,0.4618210792541504,0.9182631969451904,5319,Nicolass-Air.technicolor.net,127.0.0.1,0.9182631969451904,2
40.0,1711474332,,False,3,6680691f,2024-03-26_18-32-12,0.5089209079742432,1.4271841049194336,5319,Nicolass-Air.technicolor.net,127.0.0.1,1.4271841049194336,3
40.0,1711474332,,False,4,6680691f,2024-03-26_18-32-12,0.5225679874420166,1.9497520923614502,5319,Nicolass-Air.technicolor.net,127.0.0.1,1.9497520923614502,4
40.0,1711474333,,False,5,6680691f,2024-03-26_18-32-13,0.6407301425933838,2.590482234954834,5319,Nicolass-Air.technicolor.net,127.0.0.1,2.590482234954834,5
40.0,1711474334,,False,6,6680691f,2024-03-26_18-32-14,0.6981639862060547,3.2886462211608887,5319,Nicolass-Air.technicolor.net,127.0.0.1,3.2886462211608887,6
40.0,1711474334,,False,7,6680691f,2024-03-26_18-32-14,0.6766488552093506,3.9652950763702393,5319,Nicolass-Air.technicolor.net,127.0.0.1,3.9652950763702393,7
40.0,1711474335,,False,8,6680691f,2024-03-26_18-32-15,0.5299158096313477,4.495210886001587,5319,Nicolass-Air.technicolor.net,127.0.0.1,4.495210886001587,8
40.0,1711474335,,False,9,6680691f,2024-03-26_18-32-15,0.4761841297149658,4.971395015716553,5319,Nicolass-Air.technicolor.net,127.0.0.1,4.971395015716553,9
40.0,1711474336,,False,10,6680691f,2024-03-26_18-32-16,0.48407793045043945,5.455472946166992,5319,Nicolass-Air.technicolor.net,127.0.0.1,5.455472946166992,10
40.0,1711474336,,False,11,6680691f,2024-03-26_18-32-16,0.41172194480895996,5.867194890975952,5319,Nicolass-Air.technicolor.net,127.0.0.1,5.867194890975952,11
40.0,1711474337,,False,12,6680691f,2024-03-26_18-32-17,0.4287710189819336,6.295965909957886,5319,Nicolass-Air.technicolor.net,127.0.0.1,6.295965909957886,12
40.0,1711474337,,False,13,6680691f,2024-03-26_18-32-17,0.43564915657043457,6.73161506652832,5319,Nicolass-Air.technicolor.net,127.0.0.1,6.73161506652832,13
40.0,1711474338,,False,14,6680691f,2024-03-26_18-32-18,0.46328306198120117,7.1948981285095215,5319,Nicolass-Air.technicolor.net,127.0.0.1,7.1948981285095215,14
40.0,1711474338,,False,15,6680691f,2024-03-26_18-32-18,0.4991590976715088,7.69405722618103,5319,Nicolass-Air.technicolor.net,127.0.0.1,7.69405722618103,15
40.0,1711474339,,False,16,6680691f,2024-03-26_18-32-19,0.6299171447753906,8.323974370956421,5319,Nicolass-Air.technicolor.net,127.0.0.1,8.323974370956421,16
40.0,1711474339,,False,17,6680691f,2024-03-26_18-32-19,0.6202428340911865,8.944217205047607,5319,Nicolass-Air.technicolor.net,127.0.0.1,8.944217205047607,17
40.0,1711474340,,False,18,6680691f,2024-03-26_18-32-20,0.46576619148254395,9.409983396530151,5319,Nicolass-Air.technicolor.net,127.0.0.1,9.409983396530151,18
40.0,1711474340,,False,19,6680691f,2024-03-26_18-32-20,0.5701889991760254,9.980172395706177,5319,Nicolass-Air.technicolor.net,127.0.0.1,9.980172395706177,19
40.0,1711474341,,False,20,6680691f,2024-03-26_18-32-21,0.5672779083251953,10.547450304031372,5319,Nicolass-Air.technicolor.net,127.0.0.1,10.547450304031372,20
40.0,1711474342,,False,21,6680691f,2024-03-26_18-32-22,0.6347219944000244,11.182172298431396,5319,Nicolass-Air.technicolor.net,127.0.0.1,11.182172298431396,21
40.0,1711474342,,False,22,6680691f,2024-03-26_18-32-22,0.7494640350341797,11.931636333465576,5319,Nicolass-Air.technicolor.net,127.0.0.1,11.931636333465576,22
40.0,1711474343,,False,23,6680691f,2024-03-26_18-32-23,0.5136299133300781,12.445266246795654,5319,Nicolass-Air.technicolor.net,127.0.0.1,12.445266246795654,23
40.0,1711474343,,False,24,6680691f,2024-03-26_18-32-23,0.4883999824523926,12.933666229248047,5319,Nicolass-Air.technicolor.net,127.0.0.1,12.933666229248047,24
40.0,1711474344,,False,25,6680691f,2024-03-26_18-32-24,0.848301887512207,13.781968116760254,5319,Nicolass-Air.technicolor.net,127.0.0.1,13.781968116760254,25
40.0,1711474345,,False,26,6680691f,2024-03-26_18-32-25,0.6043860912322998,14.386354207992554,5319,Nicolass-Air.technicolor.net,127.0.0.1,14.386354207992554,26
40.0,1711474346,,False,27,6680691f,2024-03-26_18-32-26,0.6064448356628418,14.992799043655396,5319,Nicolass-Air.technicolor.net,127.0.0.1,14.992799043655396,27
40.0,1711474346,,False,28,6680691f,2024-03-26_18-32-26,0.5162529945373535,15.509052038192749,5319,Nicolass-Air.technicolor.net,127.0.0.1,15.509052038192749,28
40.0,1711474347,,False,29,6680691f,2024-03-26_18-32-27,0.5799636840820312,16.08901572227478,5319,Nicolass-Air.technicolor.net,127.0.0.1,16.08901572227478,29
40.0,1711474347,,False,30,6680691f,2024-03-26_18-32-27,0.7183618545532227,16.807377576828003,5319,Nicolass-Air.technicolor.net,127.0.0.1,16.807377576828003,30
40.0,1711474348,,False,31,6680691f,2024-03-26_18-32-28,0.8135957717895508,17.620973348617554,5319,Nicolass-Air.technicolor.net,127.0.0.1,17.620973348617554,31
40.0,1711474349,,False,32,6680691f,2024-03-26_18-32-29,0.5078651905059814,18.128838539123535,5319,Nicolass-Air.technicolor.net,127.0.0.1,18.128838539123535,32
40.0,1711474349,,False,33,6680691f,2024-03-26_18-32-29,0.5516529083251953,18.68049144744873,5319,Nicolass-Air.technicolor.net,127.0.0.1,18.68049144744873,33
40.0,1711474350,,False,34,6680691f,2024-03-26_18-32-30,0.6343581676483154,19.314849615097046,5319,Nicolass-Air.technicolor.net,127.0.0.1,19.314849615097046,34
40.0,1711474350,,False,35,6680691f,2024-03-26_18-32-30,0.5231788158416748,19.83802843093872,5319,Nicolass-Air.technicolor.net,127.0.0.1,19.83802843093872,35
40.0,1711474351,,False,36,6680691f,2024-03-26_18-32-31,0.5480630397796631,20.386091470718384,5319,Nicolass-Air.technicolor.net,127.0.0.1,20.386091470718384,36
40.0,1711474352,,False,37,6680691f,2024-03-26_18-32-32,0.5620427131652832,20.948134183883667,5319,Nicolass-Air.technicolor.net,127.0.0.1,20.948134183883667,37
40.0,1711474352,,False,38,6680691f,2024-03-26_18-32-32,0.47338390350341797,21.421518087387085,5319,Nicolass-Air.technicolor.net,127.0.0.1,21.421518087387085,38
40.0,1711474353,,False,39,6680691f,2024-03-26_18-32-33,0.5181529521942139,21.9396710395813,5319,Nicolass-Air.technicolor.net,127.0.0.1,21.9396710395813,39
40.0,1711474353,,False,40,6680691f,2024-03-26_18-32-33,0.7294647693634033,22.669135808944702,5319,Nicolass-Air.technicolor.net,127.0.0.1,22.669135808944702,40
40.0,1711474354,,False,41,6680691f,2024-03-26_18-32-34,0.5645630359649658,23.233698844909668,5319,Nicolass-Air.technicolor.net,127.0.0.1,23.233698844909668,41
40.0,1711474354,,False,42,6680691f,2024-03-26_18-32-34,0.55076003074646,23.784458875656128,5319,Nicolass-Air.technicolor.net,127.0.0.1,23.784458875656128,42
40.0,1711474355,,False,43,6680691f,2024-03-26_18-32-35,0.5603570938110352,24.344815969467163,5319,Nicolass-Air.technicolor.net,127.0.0.1,24.344815969467163,43
40.0,1711474356,,False,44,6680691f,2024-03-26_18-32-36,0.6253888607025146,24.970204830169678,5319,Nicolass-Air.technicolor.net,127.0.0.1,24.970204830169678,44
40.0,1711474356,,False,45,6680691f,2024-03-26_18-32-36,0.5909159183502197,25.561120748519897,5319,Nicolass-Air.technicolor.net,127.0.0.1,25.561120748519897,45
40.0,1711474357,,False,46,6680691f,2024-03-26_18-32-37,0.6439330577850342,26.20505380630493,5319,Nicolass-Air.technicolor.net,127.0.0.1,26.20505380630493,46
40.0,1711474358,,False,47,6680691f,2024-03-26_18-32-38,0.6585488319396973,26.86360263824463,5319,Nicolass-Air.technicolor.net,127.0.0.1,26.86360263824463,47
40.0,1711474358,,False,48,6680691f,2024-03-26_18-32-38,0.5794680118560791,27.443070650100708,5319,Nicolass-Air.technicolor.net,127.0.0.1,27.443070650100708,48
40.0,1711474359,,False,49,6680691f,2024-03-26_18-32-39,0.5657682418823242,28.008838891983032,5319,Nicolass-Air.technicolor.net,127.0.0.1,28.008838891983032,49
40.0,1711474359,,False,50,6680691f,2024-03-26_18-32-39,0.549196720123291,28.558035612106323,5319,Nicolass-Air.technicolor.net,127.0.0.1,28.558035612106323,50
40.0,1711474360,,False,51,6680691f,2024-03-26_18-32-40,0.5312368869781494,29.089272499084473,5319,Nicolass-Air.technicolor.net,127.0.0.1,29.089272499084473,51
40.0,1711474360,,False,52,6680691f,2024-03-26_18-32-40,0.5548782348632812,29.644150733947754,5319,Nicolass-Air.technicolor.net,127.0.0.1,29.644150733947754,52
40.0,1711474361,,False,53,6680691f,2024-03-26_18-32-41,0.5629909038543701,30.207141637802124,5319,Nicolass-Air.technicolor.net,127.0.0.1,30.207141637802124,53
40.0,1711474361,,False,54,6680691f,2024-03-26_18-32-41,0.5346622467041016,30.741803884506226,5319,Nicolass-Air.technicolor.net,127.0.0.1,30.741803884506226,54
40.0,1711474362,,False,55,6680691f,2024-03-26_18-32-42,0.6301360130310059,31.37193989753723,5319,Nicolass-Air.technicolor.net,127.0.0.1,31.37193989753723,55
40.0,1711474363,,False,56,6680691f,2024-03-26_18-32-43,0.593641996383667,31.9655818939209,5319,Nicolass-Air.technicolor.net,127.0.0.1,31.9655818939209,56
40.0,1711474363,,False,57,6680691f,2024-03-26_18-32-43,0.5599863529205322,32.52556824684143,5319,Nicolass-Air.technicolor.net,127.0.0.1,32.52556824684143,57
40.0,1711474364,,False,58,6680691f,2024-03-26_18-32-44,0.5452029705047607,33.07077121734619,5319,Nicolass-Air.technicolor.net,127.0.0.1,33.07077121734619,58
40.0,1711474364,,False,59,6680691f,2024-03-26_18-32-44,0.5686008930206299,33.63937211036682,5319,Nicolass-Air.technicolor.net,127.0.0.1,33.63937211036682,59
