reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711475823,,False,1,7fb97ed7,2024-03-26_18-57-03,1.8811399936676025,1.8811399936676025,5297,Nicolass-Air.technicolor.net,127.0.0.1,1.8811399936676025,1
19.0,1711475824,,False,2,7fb97ed7,2024-03-26_18-57-04,1.652169942855835,3.5333099365234375,5297,Nicolass-Air.technicolor.net,127.0.0.1,3.5333099365234375,2
19.0,1711475826,,False,3,7fb97ed7,2024-03-26_18-57-06,1.7844429016113281,5.317752838134766,5297,Nicolass-Air.technicolor.net,127.0.0.1,5.317752838134766,3
19.0,1711475828,,False,4,7fb97ed7,2024-03-26_18-57-08,1.5234951972961426,6.841248035430908,5297,Nicolass-Air.technicolor.net,127.0.0.1,6.841248035430908,4
19.0,1711475830,,False,5,7fb97ed7,2024-03-26_18-57-10,1.895648717880249,8.736896753311157,5297,Nicolass-Air.technicolor.net,127.0.0.1,8.736896753311157,5
19.0,1711475831,,False,6,7fb97ed7,2024-03-26_18-57-11,1.7804780006408691,10.517374753952026,5297,Nicolass-Air.technicolor.net,127.0.0.1,10.517374753952026,6
19.0,1711475833,,False,7,7fb97ed7,2024-03-26_18-57-13,1.7614037990570068,12.278778553009033,5297,Nicolass-Air.technicolor.net,127.0.0.1,12.278778553009033,7
19.0,1711475835,,False,8,7fb97ed7,2024-03-26_18-57-15,1.5435020923614502,13.822280645370483,5297,Nicolass-Air.technicolor.net,127.0.0.1,13.822280645370483,8
19.0,1711475836,,False,9,7fb97ed7,2024-03-26_18-57-16,1.5178248882293701,15.340105533599854,5297,Nicolass-Air.technicolor.net,127.0.0.1,15.340105533599854,9
19.0,1711475838,,False,10,7fb97ed7,2024-03-26_18-57-18,1.4318509101867676,16.77195644378662,5297,Nicolass-Air.technicolor.net,127.0.0.1,16.77195644378662,10
19.0,1711475839,,False,11,7fb97ed7,2024-03-26_18-57-19,1.3802449703216553,18.152201414108276,5297,Nicolass-Air.technicolor.net,127.0.0.1,18.152201414108276,11
19.0,1711475840,,False,12,7fb97ed7,2024-03-26_18-57-20,1.3262081146240234,19.4784095287323,5297,Nicolass-Air.technicolor.net,127.0.0.1,19.4784095287323,12
19.0,1711475842,,False,13,7fb97ed7,2024-03-26_18-57-22,1.311042070388794,20.789451599121094,5297,Nicolass-Air.technicolor.net,127.0.0.1,20.789451599121094,13
19.0,1711475843,,False,14,7fb97ed7,2024-03-26_18-57-23,1.3587589263916016,22.148210525512695,5297,Nicolass-Air.technicolor.net,127.0.0.1,22.148210525512695,14
19.0,1711475844,,False,15,7fb97ed7,2024-03-26_18-57-24,1.415140151977539,23.563350677490234,5297,Nicolass-Air.technicolor.net,127.0.0.1,23.563350677490234,15
19.0,1711475846,,False,16,7fb97ed7,2024-03-26_18-57-26,1.3134901523590088,24.876840829849243,5297,Nicolass-Air.technicolor.net,127.0.0.1,24.876840829849243,16
19.0,1711475847,,False,17,7fb97ed7,2024-03-26_18-57-27,1.3322980403900146,26.209138870239258,5297,Nicolass-Air.technicolor.net,127.0.0.1,26.209138870239258,17
19.0,1711475848,,False,18,7fb97ed7,2024-03-26_18-57-28,1.3477861881256104,27.556925058364868,5297,Nicolass-Air.technicolor.net,127.0.0.1,27.556925058364868,18
19.0,1711475850,,False,19,7fb97ed7,2024-03-26_18-57-30,1.3338291645050049,28.890754222869873,5297,Nicolass-Air.technicolor.net,127.0.0.1,28.890754222869873,19
0.0,1711475851,,False,20,7fb97ed7,2024-03-26_18-57-31,1.1825199127197266,30.0732741355896,5297,Nicolass-Air.technicolor.net,127.0.0.1,30.0732741355896,20
