reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711475649,,False,1,85b3ca95,2024-03-26_18-54-09,0.35082316398620605,0.35082316398620605,5371,Nicolass-Air.technicolor.net,127.0.0.1,0.35082316398620605,1
9.0,1711475650,,False,2,85b3ca95,2024-03-26_18-54-10,0.4919400215148926,0.8427631855010986,5371,Nicolass-Air.technicolor.net,127.0.0.1,0.8427631855010986,2
9.0,1711475650,,False,3,85b3ca95,2024-03-26_18-54-10,0.26311326026916504,1.1058764457702637,5371,Nicolass-Air.technicolor.net,127.0.0.1,1.1058764457702637,3
9.0,1711475650,,False,4,85b3ca95,2024-03-26_18-54-10,0.2710120677947998,1.3768885135650635,5371,Nicolass-Air.technicolor.net,127.0.0.1,1.3768885135650635,4
9.0,1711475651,,False,5,85b3ca95,2024-03-26_18-54-11,0.3277139663696289,1.7046024799346924,5371,Nicolass-Air.technicolor.net,127.0.0.1,1.7046024799346924,5
9.0,1711475651,,False,6,85b3ca95,2024-03-26_18-54-11,0.2986588478088379,2.0032613277435303,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.0032613277435303,6
9.0,1711475651,,False,7,85b3ca95,2024-03-26_18-54-11,0.29950499534606934,2.3027663230895996,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.3027663230895996,7
9.0,1711475651,,False,8,85b3ca95,2024-03-26_18-54-11,0.3018779754638672,2.604644298553467,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.604644298553467,8
9.0,1711475652,,False,9,85b3ca95,2024-03-26_18-54-12,0.2739601135253906,2.8786044120788574,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.8786044120788574,9
9.0,1711475652,,False,10,85b3ca95,2024-03-26_18-54-12,0.276979923248291,3.1555843353271484,5371,Nicolass-Air.technicolor.net,127.0.0.1,3.1555843353271484,10
9.0,1711475652,,False,11,85b3ca95,2024-03-26_18-54-12,0.3065221309661865,3.462106466293335,5371,Nicolass-Air.technicolor.net,127.0.0.1,3.462106466293335,11
9.0,1711475653,,False,12,85b3ca95,2024-03-26_18-54-13,0.33032798767089844,3.7924344539642334,5371,Nicolass-Air.technicolor.net,127.0.0.1,3.7924344539642334,12
9.0,1711475653,,False,13,85b3ca95,2024-03-26_18-54-13,0.30199718475341797,4.094431638717651,5371,Nicolass-Air.technicolor.net,127.0.0.1,4.094431638717651,13
9.0,1711475653,,False,14,85b3ca95,2024-03-26_18-54-13,0.2907681465148926,4.385199785232544,5371,Nicolass-Air.technicolor.net,127.0.0.1,4.385199785232544,14
9.0,1711475654,,False,15,85b3ca95,2024-03-26_18-54-14,0.3060309886932373,4.691230773925781,5371,Nicolass-Air.technicolor.net,127.0.0.1,4.691230773925781,15
