reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711474745,,False,1,88fa4088,2024-03-26_18-39-05,0.3208656311035156,0.3208656311035156,5311,Nicolass-Air.technicolor.net,127.0.0.1,0.3208656311035156,1
12.0,1711474745,,False,2,88fa4088,2024-03-26_18-39-05,0.4036581516265869,0.7245237827301025,5311,Nicolass-Air.technicolor.net,127.0.0.1,0.7245237827301025,2
14.0,1711474745,,False,3,88fa4088,2024-03-26_18-39-05,0.3352241516113281,1.0597479343414307,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.0597479343414307,3
14.0,1711474746,,False,4,88fa4088,2024-03-26_18-39-06,0.3351740837097168,1.3949220180511475,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.3949220180511475,4
21.0,1711474746,,False,5,88fa4088,2024-03-26_18-39-06,0.36137819290161133,1.7563002109527588,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.7563002109527588,5
22.0,1711474747,,False,6,88fa4088,2024-03-26_18-39-07,0.3712170124053955,2.1275172233581543,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.1275172233581543,6
21.0,1711474747,,False,7,88fa4088,2024-03-26_18-39-07,0.42121005058288574,2.54872727394104,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.54872727394104,7
22.0,1711474747,,False,8,88fa4088,2024-03-26_18-39-07,0.4179420471191406,2.9666693210601807,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.9666693210601807,8
23.0,1711474748,,False,9,88fa4088,2024-03-26_18-39-08,0.3664848804473877,3.3331542015075684,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.3331542015075684,9
23.0,1711474748,,False,10,88fa4088,2024-03-26_18-39-08,0.394362211227417,3.7275164127349854,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.7275164127349854,10
23.0,1711474749,,False,11,88fa4088,2024-03-26_18-39-09,0.40641307830810547,4.133929491043091,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.133929491043091,11
23.0,1711474749,,False,12,88fa4088,2024-03-26_18-39-09,0.42139410972595215,4.555323600769043,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.555323600769043,12
23.0,1711474749,,False,13,88fa4088,2024-03-26_18-39-09,0.45755696296691895,5.012880563735962,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.012880563735962,13
23.0,1711474750,,False,14,88fa4088,2024-03-26_18-39-10,0.4026350975036621,5.415515661239624,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.415515661239624,14
23.0,1711474750,,False,15,88fa4088,2024-03-26_18-39-10,0.44912099838256836,5.864636659622192,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.864636659622192,15
23.0,1711474751,,False,16,88fa4088,2024-03-26_18-39-11,0.49721384048461914,6.3618505001068115,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.3618505001068115,16
23.0,1711474751,,False,17,88fa4088,2024-03-26_18-39-11,0.42957019805908203,6.7914206981658936,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.7914206981658936,17
23.0,1711474752,,False,18,88fa4088,2024-03-26_18-39-12,0.35305023193359375,7.144470930099487,5311,Nicolass-Air.technicolor.net,127.0.0.1,7.144470930099487,18
23.0,1711474752,,False,19,88fa4088,2024-03-26_18-39-12,0.39785194396972656,7.542322874069214,5311,Nicolass-Air.technicolor.net,127.0.0.1,7.542322874069214,19
