reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13.8,1711473241,,False,1,90b105f7,2024-03-26_18-14-01,3.618273973464966,3.618273973464966,5371,Nicolass-Air.technicolor.net,127.0.0.1,3.618273973464966,1
15.0,1711473245,,False,2,90b105f7,2024-03-26_18-14-05,3.787318706512451,7.405592679977417,5371,Nicolass-Air.technicolor.net,127.0.0.1,7.405592679977417,2
13.6,1711473249,,False,3,90b105f7,2024-03-26_18-14-09,3.357614040374756,10.763206720352173,5371,Nicolass-Air.technicolor.net,127.0.0.1,10.763206720352173,3
13.2,1711473252,,False,4,90b105f7,2024-03-26_18-14-12,3.1037702560424805,13.866976976394653,5371,Nicolass-Air.technicolor.net,127.0.0.1,13.866976976394653,4
12.0,1711473255,,False,5,90b105f7,2024-03-26_18-14-15,2.9831020832061768,16.85007905960083,5371,Nicolass-Air.technicolor.net,127.0.0.1,16.85007905960083,5
13.6,1711473258,,False,6,90b105f7,2024-03-26_18-14-18,3.3019001483917236,20.151979207992554,5371,Nicolass-Air.technicolor.net,127.0.0.1,20.151979207992554,6
12.8,1711473261,,False,7,90b105f7,2024-03-26_18-14-21,2.9741952419281006,23.126174449920654,5371,Nicolass-Air.technicolor.net,127.0.0.1,23.126174449920654,7
13.2,1711473264,,False,8,90b105f7,2024-03-26_18-14-24,3.10443115234375,26.230605602264404,5371,Nicolass-Air.technicolor.net,127.0.0.1,26.230605602264404,8
14.0,1711473267,,False,9,90b105f7,2024-03-26_18-14-27,3.2594408988952637,29.490046501159668,5371,Nicolass-Air.technicolor.net,127.0.0.1,29.490046501159668,9
14.0,1711473270,,False,10,90b105f7,2024-03-26_18-14-30,3.0848541259765625,32.57490062713623,5371,Nicolass-Air.technicolor.net,127.0.0.1,32.57490062713623,10
15.4,1711473274,,False,11,90b105f7,2024-03-26_18-14-34,3.4939329624176025,36.06883358955383,5371,Nicolass-Air.technicolor.net,127.0.0.1,36.06883358955383,11
14.6,1711473277,,False,12,90b105f7,2024-03-26_18-14-37,3.4665520191192627,39.535385608673096,5371,Nicolass-Air.technicolor.net,127.0.0.1,39.535385608673096,12
15.8,1711473281,,False,13,90b105f7,2024-03-26_18-14-41,3.201537847518921,42.73692345619202,5371,Nicolass-Air.technicolor.net,127.0.0.1,42.73692345619202,13
15.4,1711473284,,False,14,90b105f7,2024-03-26_18-14-44,3.465610980987549,46.202534437179565,5371,Nicolass-Air.technicolor.net,127.0.0.1,46.202534437179565,14
15.0,1711473287,,False,15,90b105f7,2024-03-26_18-14-47,3.115445852279663,49.31798028945923,5371,Nicolass-Air.technicolor.net,127.0.0.1,49.31798028945923,15
14.6,1711473291,,False,16,90b105f7,2024-03-26_18-14-51,3.334160804748535,52.652141094207764,5371,Nicolass-Air.technicolor.net,127.0.0.1,52.652141094207764,16
16.0,1711473294,,False,17,90b105f7,2024-03-26_18-14-54,2.9793131351470947,55.63145422935486,5371,Nicolass-Air.technicolor.net,127.0.0.1,55.63145422935486,17
16.0,1711473297,,False,18,90b105f7,2024-03-26_18-14-57,3.3789610862731934,59.01041531562805,5371,Nicolass-Air.technicolor.net,127.0.0.1,59.01041531562805,18
14.2,1711473300,,False,19,90b105f7,2024-03-26_18-15-00,3.020601272583008,62.03101658821106,5371,Nicolass-Air.technicolor.net,127.0.0.1,62.03101658821106,19
12.8,1711473303,,False,20,90b105f7,2024-03-26_18-15-03,2.902249336242676,64.93326592445374,5371,Nicolass-Air.technicolor.net,127.0.0.1,64.93326592445374,20
10.4,1711473306,,False,21,90b105f7,2024-03-26_18-15-06,2.6550610065460205,67.58832693099976,5371,Nicolass-Air.technicolor.net,127.0.0.1,67.58832693099976,21
10.6,1711473308,,False,22,90b105f7,2024-03-26_18-15-08,2.481879711151123,70.07020664215088,5371,Nicolass-Air.technicolor.net,127.0.0.1,70.07020664215088,22
12.4,1711473311,,False,23,90b105f7,2024-03-26_18-15-11,3.1024818420410156,73.1726884841919,5371,Nicolass-Air.technicolor.net,127.0.0.1,73.1726884841919,23
13.2,1711473314,,False,24,90b105f7,2024-03-26_18-15-14,3.042041301727295,76.21472978591919,5371,Nicolass-Air.technicolor.net,127.0.0.1,76.21472978591919,24
15.4,1711473318,,False,25,90b105f7,2024-03-26_18-15-18,3.9642839431762695,80.17901372909546,5371,Nicolass-Air.technicolor.net,127.0.0.1,80.17901372909546,25
9.6,1711473321,,False,26,90b105f7,2024-03-26_18-15-21,2.936619997024536,83.11563372612,5371,Nicolass-Air.technicolor.net,127.0.0.1,83.11563372612,26
10.0,1711473324,,False,27,90b105f7,2024-03-26_18-15-24,2.4626119136810303,85.57824563980103,5371,Nicolass-Air.technicolor.net,127.0.0.1,85.57824563980103,27
13.8,1711473327,,False,28,90b105f7,2024-03-26_18-15-27,3.4885201454162598,89.06676578521729,5371,Nicolass-Air.technicolor.net,127.0.0.1,89.06676578521729,28
9.4,1711473330,,False,29,90b105f7,2024-03-26_18-15-30,2.669840097427368,91.73660588264465,5371,Nicolass-Air.technicolor.net,127.0.0.1,91.73660588264465,29
11.6,1711473333,,False,30,90b105f7,2024-03-26_18-15-33,3.1008987426757812,94.83750462532043,5371,Nicolass-Air.technicolor.net,127.0.0.1,94.83750462532043,30
11.8,1711473336,,False,31,90b105f7,2024-03-26_18-15-36,3.052631139755249,97.89013576507568,5371,Nicolass-Air.technicolor.net,127.0.0.1,97.89013576507568,31
11.8,1711473340,,False,32,90b105f7,2024-03-26_18-15-40,3.7620861530303955,101.65222191810608,5371,Nicolass-Air.technicolor.net,127.0.0.1,101.65222191810608,32
12.0,1711473344,,False,33,90b105f7,2024-03-26_18-15-44,4.0780580043792725,105.73027992248535,5371,Nicolass-Air.technicolor.net,127.0.0.1,105.73027992248535,33
