reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.2,1711474927,,False,1,914d1d59,2024-03-26_18-42-07,2.851789951324463,2.851789951324463,5348,Nicolass-Air.technicolor.net,127.0.0.1,2.851789951324463,1
13.4,1711474929,,False,2,914d1d59,2024-03-26_18-42-09,2.430428981781006,5.282218933105469,5348,Nicolass-Air.technicolor.net,127.0.0.1,5.282218933105469,2
12.2,1711474932,,False,3,914d1d59,2024-03-26_18-42-12,2.762946844100952,8.045165777206421,5348,Nicolass-Air.technicolor.net,127.0.0.1,8.045165777206421,3
11.0,1711474934,,False,4,914d1d59,2024-03-26_18-42-14,2.1543869972229004,10.199552774429321,5348,Nicolass-Air.technicolor.net,127.0.0.1,10.199552774429321,4
11.4,1711474937,,False,5,914d1d59,2024-03-26_18-42-17,2.3394830226898193,12.53903579711914,5348,Nicolass-Air.technicolor.net,127.0.0.1,12.53903579711914,5
10.6,1711474939,,False,6,914d1d59,2024-03-26_18-42-19,2.2591679096221924,14.798203706741333,5348,Nicolass-Air.technicolor.net,127.0.0.1,14.798203706741333,6
12.6,1711474941,,False,7,914d1d59,2024-03-26_18-42-21,2.1923129558563232,16.990516662597656,5348,Nicolass-Air.technicolor.net,127.0.0.1,16.990516662597656,7
10.2,1711474943,,False,8,914d1d59,2024-03-26_18-42-23,2.0292892456054688,19.019805908203125,5348,Nicolass-Air.technicolor.net,127.0.0.1,19.019805908203125,8
14.4,1711474945,,False,9,914d1d59,2024-03-26_18-42-25,2.2539279460906982,21.273733854293823,5348,Nicolass-Air.technicolor.net,127.0.0.1,21.273733854293823,9
14.4,1711474948,,False,10,914d1d59,2024-03-26_18-42-28,2.874952793121338,24.14868664741516,5348,Nicolass-Air.technicolor.net,127.0.0.1,24.14868664741516,10
12.6,1711474951,,False,11,914d1d59,2024-03-26_18-42-31,2.54522705078125,26.69391369819641,5348,Nicolass-Air.technicolor.net,127.0.0.1,26.69391369819641,11
10.8,1711474953,,False,12,914d1d59,2024-03-26_18-42-33,2.091524839401245,28.785438537597656,5348,Nicolass-Air.technicolor.net,127.0.0.1,28.785438537597656,12
12.8,1711474955,,False,13,914d1d59,2024-03-26_18-42-35,2.5596022605895996,31.345040798187256,5348,Nicolass-Air.technicolor.net,127.0.0.1,31.345040798187256,13
9.8,1711474958,,False,14,914d1d59,2024-03-26_18-42-38,2.0492031574249268,33.39424395561218,5348,Nicolass-Air.technicolor.net,127.0.0.1,33.39424395561218,14
11.2,1711474960,,False,15,914d1d59,2024-03-26_18-42-40,2.158292055130005,35.55253601074219,5348,Nicolass-Air.technicolor.net,127.0.0.1,35.55253601074219,15
10.8,1711474961,,False,16,914d1d59,2024-03-26_18-42-41,1.7796730995178223,37.33220911026001,5348,Nicolass-Air.technicolor.net,127.0.0.1,37.33220911026001,16
10.6,1711474963,,False,17,914d1d59,2024-03-26_18-42-43,1.8262310028076172,39.15844011306763,5348,Nicolass-Air.technicolor.net,127.0.0.1,39.15844011306763,17
11.0,1711474966,,False,18,914d1d59,2024-03-26_18-42-46,2.1812331676483154,41.33967328071594,5348,Nicolass-Air.technicolor.net,127.0.0.1,41.33967328071594,18
10.8,1711474967,,False,19,914d1d59,2024-03-26_18-42-47,1.7535579204559326,43.093231201171875,5348,Nicolass-Air.technicolor.net,127.0.0.1,43.093231201171875,19
10.0,1711474969,,False,20,914d1d59,2024-03-26_18-42-49,1.7844512462615967,44.87768244743347,5348,Nicolass-Air.technicolor.net,127.0.0.1,44.87768244743347,20
11.0,1711474971,,False,21,914d1d59,2024-03-26_18-42-51,1.8860538005828857,46.76373624801636,5348,Nicolass-Air.technicolor.net,127.0.0.1,46.76373624801636,21
10.4,1711474973,,False,22,914d1d59,2024-03-26_18-42-53,1.832031011581421,48.59576725959778,5348,Nicolass-Air.technicolor.net,127.0.0.1,48.59576725959778,22
11.2,1711474975,,False,23,914d1d59,2024-03-26_18-42-55,1.728895902633667,50.324663162231445,5348,Nicolass-Air.technicolor.net,127.0.0.1,50.324663162231445,23
11.4,1711474976,,False,24,914d1d59,2024-03-26_18-42-56,1.8485498428344727,52.17321300506592,5348,Nicolass-Air.technicolor.net,127.0.0.1,52.17321300506592,24
10.2,1711474978,,False,25,914d1d59,2024-03-26_18-42-58,1.851789951324463,54.02500295639038,5348,Nicolass-Air.technicolor.net,127.0.0.1,54.02500295639038,25
11.0,1711474980,,False,26,914d1d59,2024-03-26_18-43-00,1.918647050857544,55.943650007247925,5348,Nicolass-Air.technicolor.net,127.0.0.1,55.943650007247925,26
12.2,1711474983,,False,27,914d1d59,2024-03-26_18-43-03,2.343449115753174,58.2870991230011,5348,Nicolass-Air.technicolor.net,127.0.0.1,58.2870991230011,27
12.6,1711474985,,False,28,914d1d59,2024-03-26_18-43-05,2.4657552242279053,60.752854347229004,5348,Nicolass-Air.technicolor.net,127.0.0.1,60.752854347229004,28
13.4,1711474987,,False,29,914d1d59,2024-03-26_18-43-07,2.2659740447998047,63.01882839202881,5348,Nicolass-Air.technicolor.net,127.0.0.1,63.01882839202881,29
13.0,1711474990,,False,30,914d1d59,2024-03-26_18-43-10,2.4528892040252686,65.47171759605408,5348,Nicolass-Air.technicolor.net,127.0.0.1,65.47171759605408,30
14.2,1711474992,,False,31,914d1d59,2024-03-26_18-43-12,2.525758981704712,67.99747657775879,5348,Nicolass-Air.technicolor.net,127.0.0.1,67.99747657775879,31
15.4,1711474995,,False,32,914d1d59,2024-03-26_18-43-15,2.6946189403533936,70.69209551811218,5348,Nicolass-Air.technicolor.net,127.0.0.1,70.69209551811218,32
14.6,1711474997,,False,33,914d1d59,2024-03-26_18-43-17,2.3181962966918945,73.01029181480408,5348,Nicolass-Air.technicolor.net,127.0.0.1,73.01029181480408,33
13.8,1711475000,,False,34,914d1d59,2024-03-26_18-43-20,2.251012086868286,75.26130390167236,5348,Nicolass-Air.technicolor.net,127.0.0.1,75.26130390167236,34
12.2,1711475002,,False,35,914d1d59,2024-03-26_18-43-22,2.3921048641204834,77.65340876579285,5348,Nicolass-Air.technicolor.net,127.0.0.1,77.65340876579285,35
11.2,1711475004,,False,36,914d1d59,2024-03-26_18-43-24,2.101583957672119,79.75499272346497,5348,Nicolass-Air.technicolor.net,127.0.0.1,79.75499272346497,36
10.2,1711475006,,False,37,914d1d59,2024-03-26_18-43-26,1.959684133529663,81.71467685699463,5348,Nicolass-Air.technicolor.net,127.0.0.1,81.71467685699463,37
9.8,1711475008,,False,38,914d1d59,2024-03-26_18-43-28,2.2508139610290527,83.96549081802368,5348,Nicolass-Air.technicolor.net,127.0.0.1,83.96549081802368,38
10.2,1711475010,,False,39,914d1d59,2024-03-26_18-43-30,2.2062830924987793,86.17177391052246,5348,Nicolass-Air.technicolor.net,127.0.0.1,86.17177391052246,39
10.0,1711475013,,False,40,914d1d59,2024-03-26_18-43-33,2.3485209941864014,88.52029490470886,5348,Nicolass-Air.technicolor.net,127.0.0.1,88.52029490470886,40
10.6,1711475015,,False,41,914d1d59,2024-03-26_18-43-35,2.3114171028137207,90.83171200752258,5348,Nicolass-Air.technicolor.net,127.0.0.1,90.83171200752258,41
9.8,1711475018,,False,42,914d1d59,2024-03-26_18-43-38,2.3991940021514893,93.23090600967407,5348,Nicolass-Air.technicolor.net,127.0.0.1,93.23090600967407,42
10.4,1711475020,,False,43,914d1d59,2024-03-26_18-43-40,2.397495985031128,95.6284019947052,5348,Nicolass-Air.technicolor.net,127.0.0.1,95.6284019947052,43
9.6,1711475022,,False,44,914d1d59,2024-03-26_18-43-42,2.3310070037841797,97.95940899848938,5348,Nicolass-Air.technicolor.net,127.0.0.1,97.95940899848938,44
9.2,1711475024,,False,45,914d1d59,2024-03-26_18-43-44,1.9432907104492188,99.9026997089386,5348,Nicolass-Air.technicolor.net,127.0.0.1,99.9026997089386,45
9.8,1711475027,,False,46,914d1d59,2024-03-26_18-43-47,2.293593168258667,102.19629287719727,5348,Nicolass-Air.technicolor.net,127.0.0.1,102.19629287719727,46
9.8,1711475029,,False,47,914d1d59,2024-03-26_18-43-49,2.246872901916504,104.44316577911377,5348,Nicolass-Air.technicolor.net,127.0.0.1,104.44316577911377,47
9.0,1711475031,,False,48,914d1d59,2024-03-26_18-43-51,1.9642932415008545,106.40745902061462,5348,Nicolass-Air.technicolor.net,127.0.0.1,106.40745902061462,48
9.0,1711475033,,False,49,914d1d59,2024-03-26_18-43-53,1.8181838989257812,108.2256429195404,5348,Nicolass-Air.technicolor.net,127.0.0.1,108.2256429195404,49
9.0,1711475034,,False,50,914d1d59,2024-03-26_18-43-54,1.7576570510864258,109.98329997062683,5348,Nicolass-Air.technicolor.net,127.0.0.1,109.98329997062683,50
9.0,1711475036,,False,51,914d1d59,2024-03-26_18-43-56,1.6190178394317627,111.6023178100586,5348,Nicolass-Air.technicolor.net,127.0.0.1,111.6023178100586,51
9.0,1711475038,,False,52,914d1d59,2024-03-26_18-43-58,1.9863250255584717,113.58864283561707,5348,Nicolass-Air.technicolor.net,127.0.0.1,113.58864283561707,52
9.0,1711475040,,False,53,914d1d59,2024-03-26_18-44-00,1.9956097602844238,115.58425259590149,5348,Nicolass-Air.technicolor.net,127.0.0.1,115.58425259590149,53
9.0,1711475042,,False,54,914d1d59,2024-03-26_18-44-02,2.0997910499572754,117.68404364585876,5348,Nicolass-Air.technicolor.net,127.0.0.1,117.68404364585876,54
9.0,1711475044,,False,55,914d1d59,2024-03-26_18-44-04,2.3144938945770264,119.99853754043579,5348,Nicolass-Air.technicolor.net,127.0.0.1,119.99853754043579,55
9.0,1711475046,,False,56,914d1d59,2024-03-26_18-44-06,1.9770300388336182,121.97556757926941,5348,Nicolass-Air.technicolor.net,127.0.0.1,121.97556757926941,56
9.0,1711475049,,False,57,914d1d59,2024-03-26_18-44-09,2.212175130844116,124.18774271011353,5348,Nicolass-Air.technicolor.net,127.0.0.1,124.18774271011353,57
9.0,1711475051,,False,58,914d1d59,2024-03-26_18-44-11,1.9406888484954834,126.12843155860901,5348,Nicolass-Air.technicolor.net,127.0.0.1,126.12843155860901,58
9.0,1711475053,,False,59,914d1d59,2024-03-26_18-44-13,2.393242835998535,128.52167439460754,5348,Nicolass-Air.technicolor.net,127.0.0.1,128.52167439460754,59
