reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711474638,,False,1,93bce139,2024-03-26_18-37-18,0.2688908576965332,0.2688908576965332,5311,Nicolass-Air.technicolor.net,127.0.0.1,0.2688908576965332,1
41.0,1711474638,,False,2,93bce139,2024-03-26_18-37-18,0.37663888931274414,0.6455297470092773,5311,Nicolass-Air.technicolor.net,127.0.0.1,0.6455297470092773,2
27.0,1711474638,,False,3,93bce139,2024-03-26_18-37-18,0.40022969245910645,1.0457594394683838,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.0457594394683838,3
18.0,1711474639,,False,4,93bce139,2024-03-26_18-37-19,0.3657970428466797,1.4115564823150635,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.4115564823150635,4
16.0,1711474639,,False,5,93bce139,2024-03-26_18-37-19,0.32779502868652344,1.739351511001587,5311,Nicolass-Air.technicolor.net,127.0.0.1,1.739351511001587,5
18.0,1711474640,,False,6,93bce139,2024-03-26_18-37-20,0.37474775314331055,2.1140992641448975,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.1140992641448975,6
11.0,1711474640,,False,7,93bce139,2024-03-26_18-37-20,0.4040200710296631,2.5181193351745605,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.5181193351745605,7
11.0,1711474640,,False,8,93bce139,2024-03-26_18-37-20,0.342055082321167,2.8601744174957275,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.8601744174957275,8
21.0,1711474641,,False,9,93bce139,2024-03-26_18-37-21,0.335921049118042,3.1960954666137695,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.1960954666137695,9
21.0,1711474641,,False,10,93bce139,2024-03-26_18-37-21,0.31904172897338867,3.515137195587158,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.515137195587158,10
22.0,1711474641,,False,11,93bce139,2024-03-26_18-37-21,0.3601400852203369,3.875277280807495,5311,Nicolass-Air.technicolor.net,127.0.0.1,3.875277280807495,11
24.0,1711474642,,False,12,93bce139,2024-03-26_18-37-22,0.3406698703765869,4.215947151184082,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.215947151184082,12
28.0,1711474642,,False,13,93bce139,2024-03-26_18-37-22,0.36275601387023926,4.578703165054321,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.578703165054321,13
30.0,1711474642,,False,14,93bce139,2024-03-26_18-37-22,0.3559591770172119,4.934662342071533,5311,Nicolass-Air.technicolor.net,127.0.0.1,4.934662342071533,14
31.0,1711474643,,False,15,93bce139,2024-03-26_18-37-23,0.3801238536834717,5.314786195755005,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.314786195755005,15
31.0,1711474643,,False,16,93bce139,2024-03-26_18-37-23,0.3531157970428467,5.667901992797852,5311,Nicolass-Air.technicolor.net,127.0.0.1,5.667901992797852,16
30.0,1711474643,,False,17,93bce139,2024-03-26_18-37-23,0.3570742607116699,6.0249762535095215,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.0249762535095215,17
33.0,1711474644,,False,18,93bce139,2024-03-26_18-37-24,0.358212947845459,6.3831892013549805,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.3831892013549805,18
33.0,1711474644,,False,19,93bce139,2024-03-26_18-37-24,0.39777493476867676,6.780964136123657,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.780964136123657,19
61.0,1711474645,,False,20,93bce139,2024-03-26_18-37-25,0.49959397315979004,7.280558109283447,5311,Nicolass-Air.technicolor.net,127.0.0.1,7.280558109283447,20
47.0,1711474645,,False,21,93bce139,2024-03-26_18-37-25,0.39618420600891113,7.676742315292358,5311,Nicolass-Air.technicolor.net,127.0.0.1,7.676742315292358,21
42.0,1711474646,,False,22,93bce139,2024-03-26_18-37-26,0.3844599723815918,8.06120228767395,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.06120228767395,22
35.0,1711474646,,False,23,93bce139,2024-03-26_18-37-26,0.3815879821777344,8.442790269851685,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.442790269851685,23
36.0,1711474646,,False,24,93bce139,2024-03-26_18-37-26,0.39632296562194824,8.839113235473633,5311,Nicolass-Air.technicolor.net,127.0.0.1,8.839113235473633,24
16.0,1711474647,,False,25,93bce139,2024-03-26_18-37-27,0.3083939552307129,9.147507190704346,5311,Nicolass-Air.technicolor.net,127.0.0.1,9.147507190704346,25
9.0,1711474647,,False,26,93bce139,2024-03-26_18-37-27,0.27233195304870605,9.419839143753052,5311,Nicolass-Air.technicolor.net,127.0.0.1,9.419839143753052,26
14.0,1711474647,,False,27,93bce139,2024-03-26_18-37-27,0.30236387252807617,9.722203016281128,5311,Nicolass-Air.technicolor.net,127.0.0.1,9.722203016281128,27
9.0,1711474647,,False,28,93bce139,2024-03-26_18-37-27,0.24240899085998535,9.964612007141113,5311,Nicolass-Air.technicolor.net,127.0.0.1,9.964612007141113,28
10.0,1711474648,,False,29,93bce139,2024-03-26_18-37-28,0.276425838470459,10.241037845611572,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.241037845611572,29
9.0,1711474648,,False,30,93bce139,2024-03-26_18-37-28,0.28374791145324707,10.52478575706482,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.52478575706482,30
10.0,1711474648,,False,31,93bce139,2024-03-26_18-37-28,0.2779390811920166,10.802724838256836,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.802724838256836,31
10.0,1711474649,,False,32,93bce139,2024-03-26_18-37-29,0.2782628536224365,11.080987691879272,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.080987691879272,32
9.0,1711474649,,False,33,93bce139,2024-03-26_18-37-29,0.2790842056274414,11.360071897506714,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.360071897506714,33
9.0,1711474649,,False,34,93bce139,2024-03-26_18-37-29,0.3052079677581787,11.665279865264893,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.665279865264893,34
9.0,1711474649,,False,35,93bce139,2024-03-26_18-37-29,0.24883818626403809,11.91411805152893,5311,Nicolass-Air.technicolor.net,127.0.0.1,11.91411805152893,35
9.0,1711474650,,False,36,93bce139,2024-03-26_18-37-30,0.2563903331756592,12.17050838470459,5311,Nicolass-Air.technicolor.net,127.0.0.1,12.17050838470459,36
