reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.5,1711475278,,False,1,a2c08090,2024-03-26_18-47-58,0.40366530418395996,0.40366530418395996,5371,Nicolass-Air.technicolor.net,127.0.0.1,0.40366530418395996,1
13.5,1711475279,,False,2,a2c08090,2024-03-26_18-47-59,0.49680209159851074,0.9004673957824707,5371,Nicolass-Air.technicolor.net,127.0.0.1,0.9004673957824707,2
13.5,1711475279,,False,3,a2c08090,2024-03-26_18-47-59,0.5496969223022461,1.4501643180847168,5371,Nicolass-Air.technicolor.net,127.0.0.1,1.4501643180847168,3
16.5,1711475280,,False,4,a2c08090,2024-03-26_18-48-00,0.6049830913543701,2.055147409439087,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.055147409439087,4
27.5,1711475280,,False,5,a2c08090,2024-03-26_18-48-00,0.6670637130737305,2.7222111225128174,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.7222111225128174,5
32.0,1711475281,,False,6,a2c08090,2024-03-26_18-48-01,0.8270189762115479,3.5492300987243652,5371,Nicolass-Air.technicolor.net,127.0.0.1,3.5492300987243652,6
32.0,1711475282,,False,7,a2c08090,2024-03-26_18-48-02,0.8910200595855713,4.4402501583099365,5371,Nicolass-Air.technicolor.net,127.0.0.1,4.4402501583099365,7
32.0,1711475283,,False,8,a2c08090,2024-03-26_18-48-03,0.7333910465240479,5.173641204833984,5371,Nicolass-Air.technicolor.net,127.0.0.1,5.173641204833984,8
31.5,1711475284,,False,9,a2c08090,2024-03-26_18-48-04,0.7144918441772461,5.8881330490112305,5371,Nicolass-Air.technicolor.net,127.0.0.1,5.8881330490112305,9
33.0,1711475284,,False,10,a2c08090,2024-03-26_18-48-04,0.7279517650604248,6.616084814071655,5371,Nicolass-Air.technicolor.net,127.0.0.1,6.616084814071655,10
16.0,1711475285,,False,11,a2c08090,2024-03-26_18-48-05,0.4694042205810547,7.08548903465271,5371,Nicolass-Air.technicolor.net,127.0.0.1,7.08548903465271,11
11.5,1711475285,,False,12,a2c08090,2024-03-26_18-48-05,0.42429399490356445,7.509783029556274,5371,Nicolass-Air.technicolor.net,127.0.0.1,7.509783029556274,12
11.0,1711475286,,False,13,a2c08090,2024-03-26_18-48-06,0.4167799949645996,7.926563024520874,5371,Nicolass-Air.technicolor.net,127.0.0.1,7.926563024520874,13
11.5,1711475286,,False,14,a2c08090,2024-03-26_18-48-06,0.43558382987976074,8.362146854400635,5371,Nicolass-Air.technicolor.net,127.0.0.1,8.362146854400635,14
10.5,1711475287,,False,15,a2c08090,2024-03-26_18-48-07,0.9052679538726807,9.267414808273315,5371,Nicolass-Air.technicolor.net,127.0.0.1,9.267414808273315,15
10.5,1711475287,,False,16,a2c08090,2024-03-26_18-48-07,0.43665480613708496,9.7040696144104,5371,Nicolass-Air.technicolor.net,127.0.0.1,9.7040696144104,16
10.0,1711475288,,False,17,a2c08090,2024-03-26_18-48-08,0.4483470916748047,10.152416706085205,5371,Nicolass-Air.technicolor.net,127.0.0.1,10.152416706085205,17
11.0,1711475288,,False,18,a2c08090,2024-03-26_18-48-08,0.4556727409362793,10.608089447021484,5371,Nicolass-Air.technicolor.net,127.0.0.1,10.608089447021484,18
10.0,1711475289,,False,19,a2c08090,2024-03-26_18-48-09,0.4460868835449219,11.054176330566406,5371,Nicolass-Air.technicolor.net,127.0.0.1,11.054176330566406,19
10.0,1711475289,,False,20,a2c08090,2024-03-26_18-48-09,0.41841721534729004,11.472593545913696,5371,Nicolass-Air.technicolor.net,127.0.0.1,11.472593545913696,20
13.0,1711475290,,False,21,a2c08090,2024-03-26_18-48-10,0.4791228771209717,11.951716423034668,5371,Nicolass-Air.technicolor.net,127.0.0.1,11.951716423034668,21
13.5,1711475290,,False,22,a2c08090,2024-03-26_18-48-10,0.4661140441894531,12.417830467224121,5371,Nicolass-Air.technicolor.net,127.0.0.1,12.417830467224121,22
12.0,1711475291,,False,23,a2c08090,2024-03-26_18-48-11,0.4001657962799072,12.817996263504028,5371,Nicolass-Air.technicolor.net,127.0.0.1,12.817996263504028,23
11.0,1711475291,,False,24,a2c08090,2024-03-26_18-48-11,0.42554688453674316,13.243543148040771,5371,Nicolass-Air.technicolor.net,127.0.0.1,13.243543148040771,24
11.0,1711475291,,False,25,a2c08090,2024-03-26_18-48-11,0.43087100982666016,13.674414157867432,5371,Nicolass-Air.technicolor.net,127.0.0.1,13.674414157867432,25
11.0,1711475292,,False,26,a2c08090,2024-03-26_18-48-12,0.42585182189941406,14.100265979766846,5371,Nicolass-Air.technicolor.net,127.0.0.1,14.100265979766846,26
11.5,1711475292,,False,27,a2c08090,2024-03-26_18-48-12,0.528188943862915,14.62845492362976,5371,Nicolass-Air.technicolor.net,127.0.0.1,14.62845492362976,27
12.0,1711475293,,False,28,a2c08090,2024-03-26_18-48-13,0.46851611137390137,15.096971035003662,5371,Nicolass-Air.technicolor.net,127.0.0.1,15.096971035003662,28
12.0,1711475293,,False,29,a2c08090,2024-03-26_18-48-13,0.4740440845489502,15.571015119552612,5371,Nicolass-Air.technicolor.net,127.0.0.1,15.571015119552612,29
11.0,1711475294,,False,30,a2c08090,2024-03-26_18-48-14,0.4284510612487793,15.999466180801392,5371,Nicolass-Air.technicolor.net,127.0.0.1,15.999466180801392,30
11.5,1711475294,,False,31,a2c08090,2024-03-26_18-48-14,0.4943051338195801,16.49377131462097,5371,Nicolass-Air.technicolor.net,127.0.0.1,16.49377131462097,31
11.0,1711475295,,False,32,a2c08090,2024-03-26_18-48-15,0.43192410469055176,16.925695419311523,5371,Nicolass-Air.technicolor.net,127.0.0.1,16.925695419311523,32
