reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711475319,,False,1,a68b0172,2024-03-26_18-48-39,1.7436089515686035,1.7436089515686035,5348,Nicolass-Air.technicolor.net,127.0.0.1,1.7436089515686035,1
20.0,1711475321,,False,2,a68b0172,2024-03-26_18-48-41,2.0218000411987305,3.765408992767334,5348,Nicolass-Air.technicolor.net,127.0.0.1,3.765408992767334,2
72.0,1711475325,,False,3,a68b0172,2024-03-26_18-48-45,4.411181688308716,8.17659068107605,5348,Nicolass-Air.technicolor.net,127.0.0.1,8.17659068107605,3
121.0,1711475330,,False,4,a68b0172,2024-03-26_18-48-50,5.087731838226318,13.264322519302368,5348,Nicolass-Air.technicolor.net,127.0.0.1,13.264322519302368,4
117.0,1711475335,,False,5,a68b0172,2024-03-26_18-48-55,5.222972393035889,18.487294912338257,5348,Nicolass-Air.technicolor.net,127.0.0.1,18.487294912338257,5
72.0,1711475339,,False,6,a68b0172,2024-03-26_18-48-59,3.6560120582580566,22.143306970596313,5348,Nicolass-Air.technicolor.net,127.0.0.1,22.143306970596313,6
72.0,1711475346,,False,7,a68b0172,2024-03-26_18-49-06,6.936139106750488,29.0794460773468,5348,Nicolass-Air.technicolor.net,127.0.0.1,29.0794460773468,7
72.0,1711475350,,False,8,a68b0172,2024-03-26_18-49-10,4.104639768600464,33.184085845947266,5348,Nicolass-Air.technicolor.net,127.0.0.1,33.184085845947266,8
72.0,1711475354,,False,9,a68b0172,2024-03-26_18-49-14,3.7685182094573975,36.95260405540466,5348,Nicolass-Air.technicolor.net,127.0.0.1,36.95260405540466,9
72.0,1711475358,,False,10,a68b0172,2024-03-26_18-49-18,4.232891798019409,41.18549585342407,5348,Nicolass-Air.technicolor.net,127.0.0.1,41.18549585342407,10
72.0,1711475362,,False,11,a68b0172,2024-03-26_18-49-22,3.7848987579345703,44.97039461135864,5348,Nicolass-Air.technicolor.net,127.0.0.1,44.97039461135864,11
72.0,1711475365,,False,12,a68b0172,2024-03-26_18-49-25,3.3687520027160645,48.33914661407471,5348,Nicolass-Air.technicolor.net,127.0.0.1,48.33914661407471,12
72.0,1711475369,,False,13,a68b0172,2024-03-26_18-49-29,3.470592737197876,51.80973935127258,5348,Nicolass-Air.technicolor.net,127.0.0.1,51.80973935127258,13
72.0,1711475372,,False,14,a68b0172,2024-03-26_18-49-32,3.5120911598205566,55.32183051109314,5348,Nicolass-Air.technicolor.net,127.0.0.1,55.32183051109314,14
72.0,1711475376,,False,15,a68b0172,2024-03-26_18-49-36,3.517148017883301,58.83897852897644,5348,Nicolass-Air.technicolor.net,127.0.0.1,58.83897852897644,15
72.0,1711475379,,False,16,a68b0172,2024-03-26_18-49-39,3.5225367546081543,62.361515283584595,5348,Nicolass-Air.technicolor.net,127.0.0.1,62.361515283584595,16
72.0,1711475383,,False,17,a68b0172,2024-03-26_18-49-43,3.295931816101074,65.65744709968567,5348,Nicolass-Air.technicolor.net,127.0.0.1,65.65744709968567,17
72.0,1711475386,,False,18,a68b0172,2024-03-26_18-49-46,3.492321014404297,69.14976811408997,5348,Nicolass-Air.technicolor.net,127.0.0.1,69.14976811408997,18
72.0,1711475390,,False,19,a68b0172,2024-03-26_18-49-50,3.625913143157959,72.77568125724792,5348,Nicolass-Air.technicolor.net,127.0.0.1,72.77568125724792,19
72.0,1711475394,,False,20,a68b0172,2024-03-26_18-49-54,3.864525079727173,76.6402063369751,5348,Nicolass-Air.technicolor.net,127.0.0.1,76.6402063369751,20
72.0,1711475397,,False,21,a68b0172,2024-03-26_18-49-57,3.6913511753082275,80.33155751228333,5348,Nicolass-Air.technicolor.net,127.0.0.1,80.33155751228333,21
72.0,1711475401,,False,22,a68b0172,2024-03-26_18-50-01,3.674344062805176,84.0059015750885,5348,Nicolass-Air.technicolor.net,127.0.0.1,84.0059015750885,22
72.0,1711475405,,False,23,a68b0172,2024-03-26_18-50-05,3.795928955078125,87.80183053016663,5348,Nicolass-Air.technicolor.net,127.0.0.1,87.80183053016663,23
72.0,1711475409,,False,24,a68b0172,2024-03-26_18-50-09,3.726818084716797,91.52864861488342,5348,Nicolass-Air.technicolor.net,127.0.0.1,91.52864861488342,24
72.0,1711475412,,False,25,a68b0172,2024-03-26_18-50-12,3.2276358604431152,94.75628447532654,5348,Nicolass-Air.technicolor.net,127.0.0.1,94.75628447532654,25
72.0,1711475415,,False,26,a68b0172,2024-03-26_18-50-15,3.2387919425964355,97.99507641792297,5348,Nicolass-Air.technicolor.net,127.0.0.1,97.99507641792297,26
72.0,1711475419,,False,27,a68b0172,2024-03-26_18-50-19,3.562318801879883,101.55739521980286,5348,Nicolass-Air.technicolor.net,127.0.0.1,101.55739521980286,27
72.0,1711475422,,False,28,a68b0172,2024-03-26_18-50-22,3.286947250366211,104.84434247016907,5348,Nicolass-Air.technicolor.net,127.0.0.1,104.84434247016907,28
72.0,1711475425,,False,29,a68b0172,2024-03-26_18-50-25,3.426021099090576,108.27036356925964,5348,Nicolass-Air.technicolor.net,127.0.0.1,108.27036356925964,29
72.0,1711475428,,False,30,a68b0172,2024-03-26_18-50-28,3.0616300106048584,111.3319935798645,5348,Nicolass-Air.technicolor.net,127.0.0.1,111.3319935798645,30
72.0,1711475432,,False,31,a68b0172,2024-03-26_18-50-32,4.121222019195557,115.45321559906006,5348,Nicolass-Air.technicolor.net,127.0.0.1,115.45321559906006,31
72.0,1711475437,,False,32,a68b0172,2024-03-26_18-50-37,4.27940821647644,119.7326238155365,5348,Nicolass-Air.technicolor.net,127.0.0.1,119.7326238155365,32
72.0,1711475441,,False,33,a68b0172,2024-03-26_18-50-41,4.059250831604004,123.7918746471405,5348,Nicolass-Air.technicolor.net,127.0.0.1,123.7918746471405,33
72.0,1711475444,,False,34,a68b0172,2024-03-26_18-50-44,3.383535861968994,127.1754105091095,5348,Nicolass-Air.technicolor.net,127.0.0.1,127.1754105091095,34
72.0,1711475448,,False,35,a68b0172,2024-03-26_18-50-48,4.17848014831543,131.35389065742493,5348,Nicolass-Air.technicolor.net,127.0.0.1,131.35389065742493,35
72.0,1711475452,,False,36,a68b0172,2024-03-26_18-50-52,3.6929337978363037,135.04682445526123,5348,Nicolass-Air.technicolor.net,127.0.0.1,135.04682445526123,36
72.0,1711475456,,False,37,a68b0172,2024-03-26_18-50-56,3.754112958908081,138.8009374141693,5348,Nicolass-Air.technicolor.net,127.0.0.1,138.8009374141693,37
72.0,1711475460,,False,38,a68b0172,2024-03-26_18-51-00,3.765120029449463,142.56605744361877,5348,Nicolass-Air.technicolor.net,127.0.0.1,142.56605744361877,38
72.0,1711475462,,False,39,a68b0172,2024-03-26_18-51-02,2.5689799785614014,145.13503742218018,5348,Nicolass-Air.technicolor.net,127.0.0.1,145.13503742218018,39
72.0,1711475466,,False,40,a68b0172,2024-03-26_18-51-06,2.8516979217529297,147.9867353439331,5348,Nicolass-Air.technicolor.net,127.0.0.1,147.9867353439331,40
72.0,1711475470,,False,41,a68b0172,2024-03-26_18-51-10,3.3824310302734375,151.36916637420654,5348,Nicolass-Air.technicolor.net,127.0.0.1,151.36916637420654,41
72.0,1711475473,,False,42,a68b0172,2024-03-26_18-51-13,3.398947238922119,154.76811361312866,5348,Nicolass-Air.technicolor.net,127.0.0.1,154.76811361312866,42
72.0,1711475477,,False,43,a68b0172,2024-03-26_18-51-17,3.340873956680298,158.10898756980896,5348,Nicolass-Air.technicolor.net,127.0.0.1,158.10898756980896,43
72.0,1711475480,,False,44,a68b0172,2024-03-26_18-51-20,2.925868034362793,161.03485560417175,5348,Nicolass-Air.technicolor.net,127.0.0.1,161.03485560417175,44
72.0,1711475482,,False,45,a68b0172,2024-03-26_18-51-22,2.8789467811584473,163.9138023853302,5348,Nicolass-Air.technicolor.net,127.0.0.1,163.9138023853302,45
72.0,1711475485,,False,46,a68b0172,2024-03-26_18-51-25,2.896289110183716,166.81009149551392,5348,Nicolass-Air.technicolor.net,127.0.0.1,166.81009149551392,46
72.0,1711475488,,False,47,a68b0172,2024-03-26_18-51-28,2.9802749156951904,169.7903664112091,5348,Nicolass-Air.technicolor.net,127.0.0.1,169.7903664112091,47
72.0,1711475491,,False,48,a68b0172,2024-03-26_18-51-31,2.953796148300171,172.74416255950928,5348,Nicolass-Air.technicolor.net,127.0.0.1,172.74416255950928,48
72.0,1711475495,,False,49,a68b0172,2024-03-26_18-51-35,3.2809479236602783,176.02511048316956,5348,Nicolass-Air.technicolor.net,127.0.0.1,176.02511048316956,49
72.0,1711475498,,False,50,a68b0172,2024-03-26_18-51-38,3.09617280960083,179.12128329277039,5348,Nicolass-Air.technicolor.net,127.0.0.1,179.12128329277039,50
72.0,1711475501,,False,51,a68b0172,2024-03-26_18-51-41,3.0379908084869385,182.15927410125732,5348,Nicolass-Air.technicolor.net,127.0.0.1,182.15927410125732,51
72.0,1711475504,,False,52,a68b0172,2024-03-26_18-51-44,3.433555841445923,185.59282994270325,5348,Nicolass-Air.technicolor.net,127.0.0.1,185.59282994270325,52
72.0,1711475508,,False,53,a68b0172,2024-03-26_18-51-48,4.171844720840454,189.7646746635437,5348,Nicolass-Air.technicolor.net,127.0.0.1,189.7646746635437,53
72.0,1711475512,,False,54,a68b0172,2024-03-26_18-51-52,3.4584081172943115,193.223082780838,5348,Nicolass-Air.technicolor.net,127.0.0.1,193.223082780838,54
72.0,1711475515,,False,55,a68b0172,2024-03-26_18-51-55,3.5587379932403564,196.78182077407837,5348,Nicolass-Air.technicolor.net,127.0.0.1,196.78182077407837,55
72.0,1711475519,,False,56,a68b0172,2024-03-26_18-51-59,3.18609881401062,199.967919588089,5348,Nicolass-Air.technicolor.net,127.0.0.1,199.967919588089,56
72.0,1711475522,,False,57,a68b0172,2024-03-26_18-52-02,3.0932302474975586,203.06114983558655,5348,Nicolass-Air.technicolor.net,127.0.0.1,203.06114983558655,57
72.0,1711475525,,False,58,a68b0172,2024-03-26_18-52-05,3.381108045578003,206.44225788116455,5348,Nicolass-Air.technicolor.net,127.0.0.1,206.44225788116455,58
72.0,1711475529,,False,59,a68b0172,2024-03-26_18-52-09,3.511627197265625,209.95388507843018,5348,Nicolass-Air.technicolor.net,127.0.0.1,209.95388507843018,59
72.0,1711475532,,False,60,a68b0172,2024-03-26_18-52-12,3.0110490322113037,212.96493411064148,5348,Nicolass-Air.technicolor.net,127.0.0.1,212.96493411064148,60
72.0,1711475535,,False,61,a68b0172,2024-03-26_18-52-15,3.1828408241271973,216.14777493476868,5348,Nicolass-Air.technicolor.net,127.0.0.1,216.14777493476868,61
72.0,1711475538,,False,62,a68b0172,2024-03-26_18-52-18,2.880293846130371,219.02806878089905,5348,Nicolass-Air.technicolor.net,127.0.0.1,219.02806878089905,62
72.0,1711475541,,False,63,a68b0172,2024-03-26_18-52-21,3.5114822387695312,222.53955101966858,5348,Nicolass-Air.technicolor.net,127.0.0.1,222.53955101966858,63
72.0,1711475544,,False,64,a68b0172,2024-03-26_18-52-24,2.8741209506988525,225.41367197036743,5348,Nicolass-Air.technicolor.net,127.0.0.1,225.41367197036743,64
72.0,1711475547,,False,65,a68b0172,2024-03-26_18-52-27,2.9218339920043945,228.33550596237183,5348,Nicolass-Air.technicolor.net,127.0.0.1,228.33550596237183,65
72.0,1711475550,,False,66,a68b0172,2024-03-26_18-52-30,3.1393420696258545,231.47484803199768,5348,Nicolass-Air.technicolor.net,127.0.0.1,231.47484803199768,66
72.0,1711475553,,False,67,a68b0172,2024-03-26_18-52-33,3.0422511100769043,234.51709914207458,5348,Nicolass-Air.technicolor.net,127.0.0.1,234.51709914207458,67
72.0,1711475556,,False,68,a68b0172,2024-03-26_18-52-36,3.116611957550049,237.63371109962463,5348,Nicolass-Air.technicolor.net,127.0.0.1,237.63371109962463,68
72.0,1711475559,,False,69,a68b0172,2024-03-26_18-52-39,3.091587781906128,240.72529888153076,5348,Nicolass-Air.technicolor.net,127.0.0.1,240.72529888153076,69
72.0,1711475562,,False,70,a68b0172,2024-03-26_18-52-42,3.061882972717285,243.78718185424805,5348,Nicolass-Air.technicolor.net,127.0.0.1,243.78718185424805,70
