reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711475686,,False,1,b0f5253e,2024-03-26_18-54-46,1.2716243267059326,1.2716243267059326,5319,Nicolass-Air.technicolor.net,127.0.0.1,1.2716243267059326,1
13.0,1711475687,,False,2,b0f5253e,2024-03-26_18-54-47,1.3150289058685303,2.586653232574463,5319,Nicolass-Air.technicolor.net,127.0.0.1,2.586653232574463,2
11.0,1711475688,,False,3,b0f5253e,2024-03-26_18-54-48,1.4407970905303955,4.027450323104858,5319,Nicolass-Air.technicolor.net,127.0.0.1,4.027450323104858,3
13.0,1711475690,,False,4,b0f5253e,2024-03-26_18-54-50,1.3551290035247803,5.382579326629639,5319,Nicolass-Air.technicolor.net,127.0.0.1,5.382579326629639,4
10.0,1711475691,,False,5,b0f5253e,2024-03-26_18-54-51,1.1581649780273438,6.540744304656982,5319,Nicolass-Air.technicolor.net,127.0.0.1,6.540744304656982,5
11.0,1711475692,,False,6,b0f5253e,2024-03-26_18-54-52,1.1110820770263672,7.65182638168335,5319,Nicolass-Air.technicolor.net,127.0.0.1,7.65182638168335,6
10.0,1711475693,,False,7,b0f5253e,2024-03-26_18-54-53,1.2882459163665771,8.940072298049927,5319,Nicolass-Air.technicolor.net,127.0.0.1,8.940072298049927,7
10.0,1711475694,,False,8,b0f5253e,2024-03-26_18-54-54,1.2366249561309814,10.176697254180908,5319,Nicolass-Air.technicolor.net,127.0.0.1,10.176697254180908,8
10.0,1711475696,,False,9,b0f5253e,2024-03-26_18-54-56,1.210231065750122,11.38692831993103,5319,Nicolass-Air.technicolor.net,127.0.0.1,11.38692831993103,9
10.0,1711475697,,False,10,b0f5253e,2024-03-26_18-54-57,1.085716962814331,12.472645282745361,5319,Nicolass-Air.technicolor.net,127.0.0.1,12.472645282745361,10
10.0,1711475698,,False,11,b0f5253e,2024-03-26_18-54-58,1.1139891147613525,13.586634397506714,5319,Nicolass-Air.technicolor.net,127.0.0.1,13.586634397506714,11
10.0,1711475699,,False,12,b0f5253e,2024-03-26_18-54-59,1.3944571018218994,14.981091499328613,5319,Nicolass-Air.technicolor.net,127.0.0.1,14.981091499328613,12
0.0,1711475700,,False,13,b0f5253e,2024-03-26_18-55-00,0.9059789180755615,15.887070417404175,5319,Nicolass-Air.technicolor.net,127.0.0.1,15.887070417404175,13
