reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
23.0,1711472963,,False,1,b3de5dde,2024-03-26_18-09-23,1.0968248844146729,1.0968248844146729,5371,Nicolass-Air.technicolor.net,127.0.0.1,1.0968248844146729,1
13.0,1711472964,,False,2,b3de5dde,2024-03-26_18-09-24,1.193857192993164,2.290682077407837,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.290682077407837,2
14.0,1711472965,,False,3,b3de5dde,2024-03-26_18-09-25,1.0347509384155273,3.3254330158233643,5371,Nicolass-Air.technicolor.net,127.0.0.1,3.3254330158233643,3
13.0,1711472966,,False,4,b3de5dde,2024-03-26_18-09-26,0.9862120151519775,4.311645030975342,5371,Nicolass-Air.technicolor.net,127.0.0.1,4.311645030975342,4
20.0,1711472967,,False,5,b3de5dde,2024-03-26_18-09-27,1.1132071018218994,5.424852132797241,5371,Nicolass-Air.technicolor.net,127.0.0.1,5.424852132797241,5
20.0,1711472968,,False,6,b3de5dde,2024-03-26_18-09-28,1.031893014907837,6.456745147705078,5371,Nicolass-Air.technicolor.net,127.0.0.1,6.456745147705078,6
20.0,1711472969,,False,7,b3de5dde,2024-03-26_18-09-29,1.1520509719848633,7.608796119689941,5371,Nicolass-Air.technicolor.net,127.0.0.1,7.608796119689941,7
20.0,1711472971,,False,8,b3de5dde,2024-03-26_18-09-31,1.0905520915985107,8.699348211288452,5371,Nicolass-Air.technicolor.net,127.0.0.1,8.699348211288452,8
20.0,1711472972,,False,9,b3de5dde,2024-03-26_18-09-32,1.213698148727417,9.91304636001587,5371,Nicolass-Air.technicolor.net,127.0.0.1,9.91304636001587,9
20.0,1711472973,,False,10,b3de5dde,2024-03-26_18-09-33,1.1466162204742432,11.059662580490112,5371,Nicolass-Air.technicolor.net,127.0.0.1,11.059662580490112,10
20.0,1711472974,,False,11,b3de5dde,2024-03-26_18-09-34,1.130317211151123,12.189979791641235,5371,Nicolass-Air.technicolor.net,127.0.0.1,12.189979791641235,11
20.0,1711472975,,False,12,b3de5dde,2024-03-26_18-09-35,1.138970136642456,13.328949928283691,5371,Nicolass-Air.technicolor.net,127.0.0.1,13.328949928283691,12
20.0,1711472976,,False,13,b3de5dde,2024-03-26_18-09-36,1.1071791648864746,14.436129093170166,5371,Nicolass-Air.technicolor.net,127.0.0.1,14.436129093170166,13
20.0,1711472977,,False,14,b3de5dde,2024-03-26_18-09-37,1.1524569988250732,15.58858609199524,5371,Nicolass-Air.technicolor.net,127.0.0.1,15.58858609199524,14
20.0,1711472979,,False,15,b3de5dde,2024-03-26_18-09-39,1.1475489139556885,16.736135005950928,5371,Nicolass-Air.technicolor.net,127.0.0.1,16.736135005950928,15
20.0,1711472980,,False,16,b3de5dde,2024-03-26_18-09-40,1.154021978378296,17.890156984329224,5371,Nicolass-Air.technicolor.net,127.0.0.1,17.890156984329224,16
20.0,1711472981,,False,17,b3de5dde,2024-03-26_18-09-41,1.143496036529541,19.033653020858765,5371,Nicolass-Air.technicolor.net,127.0.0.1,19.033653020858765,17
20.0,1711472982,,False,18,b3de5dde,2024-03-26_18-09-42,1.137401819229126,20.17105484008789,5371,Nicolass-Air.technicolor.net,127.0.0.1,20.17105484008789,18
20.0,1711472983,,False,19,b3de5dde,2024-03-26_18-09-43,1.0120000839233398,21.18305492401123,5371,Nicolass-Air.technicolor.net,127.0.0.1,21.18305492401123,19
20.0,1711472984,,False,20,b3de5dde,2024-03-26_18-09-44,1.042701244354248,22.22575616836548,5371,Nicolass-Air.technicolor.net,127.0.0.1,22.22575616836548,20
20.0,1711472985,,False,21,b3de5dde,2024-03-26_18-09-45,1.1014587879180908,23.32721495628357,5371,Nicolass-Air.technicolor.net,127.0.0.1,23.32721495628357,21
20.0,1711472986,,False,22,b3de5dde,2024-03-26_18-09-46,1.121412992477417,24.448627948760986,5371,Nicolass-Air.technicolor.net,127.0.0.1,24.448627948760986,22
20.0,1711472987,,False,23,b3de5dde,2024-03-26_18-09-47,1.1356208324432373,25.584248781204224,5371,Nicolass-Air.technicolor.net,127.0.0.1,25.584248781204224,23
20.0,1711472989,,False,24,b3de5dde,2024-03-26_18-09-49,1.1500861644744873,26.73433494567871,5371,Nicolass-Air.technicolor.net,127.0.0.1,26.73433494567871,24
20.0,1711472990,,False,25,b3de5dde,2024-03-26_18-09-50,1.123810052871704,27.858144998550415,5371,Nicolass-Air.technicolor.net,127.0.0.1,27.858144998550415,25
20.0,1711472991,,False,26,b3de5dde,2024-03-26_18-09-51,1.1118218898773193,28.969966888427734,5371,Nicolass-Air.technicolor.net,127.0.0.1,28.969966888427734,26
20.0,1711472992,,False,27,b3de5dde,2024-03-26_18-09-52,1.0976459980010986,30.067612886428833,5371,Nicolass-Air.technicolor.net,127.0.0.1,30.067612886428833,27
20.0,1711472993,,False,28,b3de5dde,2024-03-26_18-09-53,1.4245760440826416,31.492188930511475,5371,Nicolass-Air.technicolor.net,127.0.0.1,31.492188930511475,28
20.0,1711472995,,False,29,b3de5dde,2024-03-26_18-09-55,1.7250120639801025,33.21720099449158,5371,Nicolass-Air.technicolor.net,127.0.0.1,33.21720099449158,29
