reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
15.2,1711472557,,False,1,b489b1c8,2024-03-26_18-02-37,0.9684581756591797,0.9684581756591797,5297,Nicolass-Air.technicolor.net,127.0.0.1,0.9684581756591797,1
13.2,1711472558,,False,2,b489b1c8,2024-03-26_18-02-38,0.9947540760040283,1.963212251663208,5297,Nicolass-Air.technicolor.net,127.0.0.1,1.963212251663208,2
15.2,1711472559,,False,3,b489b1c8,2024-03-26_18-02-39,1.1788032054901123,3.1420154571533203,5297,Nicolass-Air.technicolor.net,127.0.0.1,3.1420154571533203,3
16.6,1711472560,,False,4,b489b1c8,2024-03-26_18-02-40,1.1210570335388184,4.263072490692139,5297,Nicolass-Air.technicolor.net,127.0.0.1,4.263072490692139,4
22.8,1711472561,,False,5,b489b1c8,2024-03-26_18-02-41,1.43206787109375,5.695140361785889,5297,Nicolass-Air.technicolor.net,127.0.0.1,5.695140361785889,5
24.2,1711472563,,False,6,b489b1c8,2024-03-26_18-02-43,1.4562098979949951,7.151350259780884,5297,Nicolass-Air.technicolor.net,127.0.0.1,7.151350259780884,6
26.4,1711472564,,False,7,b489b1c8,2024-03-26_18-02-44,1.6333022117614746,8.784652471542358,5297,Nicolass-Air.technicolor.net,127.0.0.1,8.784652471542358,7
26.4,1711472566,,False,8,b489b1c8,2024-03-26_18-02-46,1.5947587490081787,10.379411220550537,5297,Nicolass-Air.technicolor.net,127.0.0.1,10.379411220550537,8
24.2,1711472568,,False,9,b489b1c8,2024-03-26_18-02-48,1.7076749801635742,12.087086200714111,5297,Nicolass-Air.technicolor.net,127.0.0.1,12.087086200714111,9
26.2,1711472569,,False,10,b489b1c8,2024-03-26_18-02-49,1.7537589073181152,13.840845108032227,5297,Nicolass-Air.technicolor.net,127.0.0.1,13.840845108032227,10
22.8,1711472571,,False,11,b489b1c8,2024-03-26_18-02-51,1.4719901084899902,15.312835216522217,5297,Nicolass-Air.technicolor.net,127.0.0.1,15.312835216522217,11
20.8,1711472572,,False,12,b489b1c8,2024-03-26_18-02-52,1.3628768920898438,16.67571210861206,5297,Nicolass-Air.technicolor.net,127.0.0.1,16.67571210861206,12
20.2,1711472574,,False,13,b489b1c8,2024-03-26_18-02-54,1.361279010772705,18.036991119384766,5297,Nicolass-Air.technicolor.net,127.0.0.1,18.036991119384766,13
22.2,1711472575,,False,14,b489b1c8,2024-03-26_18-02-55,1.4181780815124512,19.455169200897217,5297,Nicolass-Air.technicolor.net,127.0.0.1,19.455169200897217,14
23.8,1711472577,,False,15,b489b1c8,2024-03-26_18-02-57,1.51900315284729,20.974172353744507,5297,Nicolass-Air.technicolor.net,127.0.0.1,20.974172353744507,15
26.0,1711472578,,False,16,b489b1c8,2024-03-26_18-02-58,1.6709837913513184,22.645156145095825,5297,Nicolass-Air.technicolor.net,127.0.0.1,22.645156145095825,16
29.8,1711472580,,False,17,b489b1c8,2024-03-26_18-03-00,1.8621327877044678,24.507288932800293,5297,Nicolass-Air.technicolor.net,127.0.0.1,24.507288932800293,17
29.4,1711472582,,False,18,b489b1c8,2024-03-26_18-03-02,1.8783438205718994,26.385632753372192,5297,Nicolass-Air.technicolor.net,127.0.0.1,26.385632753372192,18
28.0,1711472584,,False,19,b489b1c8,2024-03-26_18-03-04,1.7293498516082764,28.11498260498047,5297,Nicolass-Air.technicolor.net,127.0.0.1,28.11498260498047,19
23.0,1711472585,,False,20,b489b1c8,2024-03-26_18-03-05,1.6309850215911865,29.745967626571655,5297,Nicolass-Air.technicolor.net,127.0.0.1,29.745967626571655,20
23.8,1711472587,,False,21,b489b1c8,2024-03-26_18-03-07,1.551867961883545,31.2978355884552,5297,Nicolass-Air.technicolor.net,127.0.0.1,31.2978355884552,21
26.4,1711472589,,False,22,b489b1c8,2024-03-26_18-03-09,1.5960791110992432,32.89391469955444,5297,Nicolass-Air.technicolor.net,127.0.0.1,32.89391469955444,22
25.0,1711472590,,False,23,b489b1c8,2024-03-26_18-03-10,1.5869989395141602,34.4809136390686,5297,Nicolass-Air.technicolor.net,127.0.0.1,34.4809136390686,23
