reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711474727,,False,1,b4a10178,2024-03-26_18-38-47,0.41489195823669434,0.41489195823669434,5335,Nicolass-Air.technicolor.net,127.0.0.1,0.41489195823669434,1
36.0,1711474727,,False,2,b4a10178,2024-03-26_18-38-47,0.46526384353637695,0.8801558017730713,5335,Nicolass-Air.technicolor.net,127.0.0.1,0.8801558017730713,2
21.0,1711474728,,False,3,b4a10178,2024-03-26_18-38-48,0.35146188735961914,1.2316176891326904,5335,Nicolass-Air.technicolor.net,127.0.0.1,1.2316176891326904,3
14.0,1711474728,,False,4,b4a10178,2024-03-26_18-38-48,0.2874939441680908,1.5191116333007812,5335,Nicolass-Air.technicolor.net,127.0.0.1,1.5191116333007812,4
13.0,1711474728,,False,5,b4a10178,2024-03-26_18-38-48,0.3610091209411621,1.8801207542419434,5335,Nicolass-Air.technicolor.net,127.0.0.1,1.8801207542419434,5
15.0,1711474729,,False,6,b4a10178,2024-03-26_18-38-49,0.3750619888305664,2.2551827430725098,5335,Nicolass-Air.technicolor.net,127.0.0.1,2.2551827430725098,6
14.0,1711474729,,False,7,b4a10178,2024-03-26_18-38-49,0.44765806198120117,2.702840805053711,5335,Nicolass-Air.technicolor.net,127.0.0.1,2.702840805053711,7
70.0,1711474730,,False,8,b4a10178,2024-03-26_18-38-50,0.6323127746582031,3.335153579711914,5335,Nicolass-Air.technicolor.net,127.0.0.1,3.335153579711914,8
78.0,1711474730,,False,9,b4a10178,2024-03-26_18-38-50,0.7731990814208984,4.1083526611328125,5335,Nicolass-Air.technicolor.net,127.0.0.1,4.1083526611328125,9
55.0,1711474731,,False,10,b4a10178,2024-03-26_18-38-51,0.6187360286712646,4.727088689804077,5335,Nicolass-Air.technicolor.net,127.0.0.1,4.727088689804077,10
60.0,1711474732,,False,11,b4a10178,2024-03-26_18-38-52,0.6094319820404053,5.336520671844482,5335,Nicolass-Air.technicolor.net,127.0.0.1,5.336520671844482,11
83.0,1711474732,,False,12,b4a10178,2024-03-26_18-38-52,0.7613980770111084,6.097918748855591,5335,Nicolass-Air.technicolor.net,127.0.0.1,6.097918748855591,12
33.0,1711474733,,False,13,b4a10178,2024-03-26_18-38-53,0.42974114418029785,6.527659893035889,5335,Nicolass-Air.technicolor.net,127.0.0.1,6.527659893035889,13
11.0,1711474733,,False,14,b4a10178,2024-03-26_18-38-53,0.33994126319885254,6.867601156234741,5335,Nicolass-Air.technicolor.net,127.0.0.1,6.867601156234741,14
10.0,1711474734,,False,15,b4a10178,2024-03-26_18-38-54,0.3026597499847412,7.170260906219482,5335,Nicolass-Air.technicolor.net,127.0.0.1,7.170260906219482,15
10.0,1711474734,,False,16,b4a10178,2024-03-26_18-38-54,0.38729190826416016,7.557552814483643,5335,Nicolass-Air.technicolor.net,127.0.0.1,7.557552814483643,16
10.0,1711474734,,False,17,b4a10178,2024-03-26_18-38-54,0.3170328140258789,7.8745856285095215,5335,Nicolass-Air.technicolor.net,127.0.0.1,7.8745856285095215,17
10.0,1711474735,,False,18,b4a10178,2024-03-26_18-38-55,0.34856295585632324,8.223148584365845,5335,Nicolass-Air.technicolor.net,127.0.0.1,8.223148584365845,18
10.0,1711474735,,False,19,b4a10178,2024-03-26_18-38-55,0.28604793548583984,8.509196519851685,5335,Nicolass-Air.technicolor.net,127.0.0.1,8.509196519851685,19
10.0,1711474735,,False,20,b4a10178,2024-03-26_18-38-55,0.29146718978881836,8.800663709640503,5335,Nicolass-Air.technicolor.net,127.0.0.1,8.800663709640503,20
10.0,1711474736,,False,21,b4a10178,2024-03-26_18-38-56,0.3019862174987793,9.102649927139282,5335,Nicolass-Air.technicolor.net,127.0.0.1,9.102649927139282,21
10.0,1711474736,,False,22,b4a10178,2024-03-26_18-38-56,0.2736499309539795,9.376299858093262,5335,Nicolass-Air.technicolor.net,127.0.0.1,9.376299858093262,22
10.0,1711474736,,False,23,b4a10178,2024-03-26_18-38-56,0.2753129005432129,9.651612758636475,5335,Nicolass-Air.technicolor.net,127.0.0.1,9.651612758636475,23
