reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711475631,,False,1,b702b7a4,2024-03-26_18-53-51,0.6437990665435791,0.6437990665435791,5327,Nicolass-Air.technicolor.net,127.0.0.1,0.6437990665435791,1
53.0,1711475632,,False,2,b702b7a4,2024-03-26_18-53-52,1.1562559604644775,1.8000550270080566,5327,Nicolass-Air.technicolor.net,127.0.0.1,1.8000550270080566,2
54.0,1711475633,,False,3,b702b7a4,2024-03-26_18-53-53,1.3599507808685303,3.160005807876587,5327,Nicolass-Air.technicolor.net,127.0.0.1,3.160005807876587,3
51.0,1711475634,,False,4,b702b7a4,2024-03-26_18-53-54,0.9213969707489014,4.081402778625488,5327,Nicolass-Air.technicolor.net,127.0.0.1,4.081402778625488,4
51.0,1711475636,,False,5,b702b7a4,2024-03-26_18-53-56,0.9892399311065674,5.070642709732056,5327,Nicolass-Air.technicolor.net,127.0.0.1,5.070642709732056,5
51.0,1711475638,,False,6,b702b7a4,2024-03-26_18-53-58,1.2545239925384521,6.325166702270508,5327,Nicolass-Air.technicolor.net,127.0.0.1,6.325166702270508,6
50.0,1711475639,,False,7,b702b7a4,2024-03-26_18-53-59,1.163153886795044,7.488320589065552,5327,Nicolass-Air.technicolor.net,127.0.0.1,7.488320589065552,7
50.0,1711475640,,False,8,b702b7a4,2024-03-26_18-54-00,1.0838229656219482,8.5721435546875,5327,Nicolass-Air.technicolor.net,127.0.0.1,8.5721435546875,8
50.0,1711475641,,False,9,b702b7a4,2024-03-26_18-54-01,1.0779509544372559,9.650094509124756,5327,Nicolass-Air.technicolor.net,127.0.0.1,9.650094509124756,9
50.0,1711475642,,False,10,b702b7a4,2024-03-26_18-54-02,1.1076841354370117,10.757778644561768,5327,Nicolass-Air.technicolor.net,127.0.0.1,10.757778644561768,10
50.0,1711475643,,False,11,b702b7a4,2024-03-26_18-54-03,1.2177472114562988,11.975525856018066,5327,Nicolass-Air.technicolor.net,127.0.0.1,11.975525856018066,11
50.0,1711475644,,False,12,b702b7a4,2024-03-26_18-54-04,1.0891730785369873,13.064698934555054,5327,Nicolass-Air.technicolor.net,127.0.0.1,13.064698934555054,12
50.0,1711475646,,False,13,b702b7a4,2024-03-26_18-54-06,1.084845781326294,14.149544715881348,5327,Nicolass-Air.technicolor.net,127.0.0.1,14.149544715881348,13
50.0,1711475647,,False,14,b702b7a4,2024-03-26_18-54-07,1.3557279109954834,15.505272626876831,5327,Nicolass-Air.technicolor.net,127.0.0.1,15.505272626876831,14
50.0,1711475648,,False,15,b702b7a4,2024-03-26_18-54-08,1.0881731510162354,16.593445777893066,5327,Nicolass-Air.technicolor.net,127.0.0.1,16.593445777893066,15
50.0,1711475649,,False,16,b702b7a4,2024-03-26_18-54-09,1.3129479885101318,17.9063937664032,5327,Nicolass-Air.technicolor.net,127.0.0.1,17.9063937664032,16
50.0,1711475651,,False,17,b702b7a4,2024-03-26_18-54-11,1.2327549457550049,19.139148712158203,5327,Nicolass-Air.technicolor.net,127.0.0.1,19.139148712158203,17
51.0,1711475652,,False,18,b702b7a4,2024-03-26_18-54-12,1.1136491298675537,20.252797842025757,5327,Nicolass-Air.technicolor.net,127.0.0.1,20.252797842025757,18
51.0,1711475653,,False,19,b702b7a4,2024-03-26_18-54-13,1.093562126159668,21.346359968185425,5327,Nicolass-Air.technicolor.net,127.0.0.1,21.346359968185425,19
51.0,1711475654,,False,20,b702b7a4,2024-03-26_18-54-14,1.174304723739624,22.52066469192505,5327,Nicolass-Air.technicolor.net,127.0.0.1,22.52066469192505,20
472.0,1711475660,,False,21,b702b7a4,2024-03-26_18-54-20,6.128544807434082,28.64920949935913,5327,Nicolass-Air.technicolor.net,127.0.0.1,28.64920949935913,21
