reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711475314,,False,1,b9720037,2024-03-26_18-48-34,1.2703852653503418,1.2703852653503418,5371,Nicolass-Air.technicolor.net,127.0.0.1,1.2703852653503418,1
14.0,1711475315,,False,2,b9720037,2024-03-26_18-48-35,1.64707612991333,2.917461395263672,5371,Nicolass-Air.technicolor.net,127.0.0.1,2.917461395263672,2
14.0,1711475317,,False,3,b9720037,2024-03-26_18-48-37,1.9285759925842285,4.8460373878479,5371,Nicolass-Air.technicolor.net,127.0.0.1,4.8460373878479,3
14.0,1711475319,,False,4,b9720037,2024-03-26_18-48-39,1.6171011924743652,6.463138580322266,5371,Nicolass-Air.technicolor.net,127.0.0.1,6.463138580322266,4
14.0,1711475321,,False,5,b9720037,2024-03-26_18-48-41,1.8722739219665527,8.335412502288818,5371,Nicolass-Air.technicolor.net,127.0.0.1,8.335412502288818,5
14.0,1711475323,,False,6,b9720037,2024-03-26_18-48-43,2.0623319149017334,10.397744417190552,5371,Nicolass-Air.technicolor.net,127.0.0.1,10.397744417190552,6
14.0,1711475325,,False,7,b9720037,2024-03-26_18-48-45,2.203610897064209,12.60135531425476,5371,Nicolass-Air.technicolor.net,127.0.0.1,12.60135531425476,7
14.0,1711475327,,False,8,b9720037,2024-03-26_18-48-47,1.9392330646514893,14.54058837890625,5371,Nicolass-Air.technicolor.net,127.0.0.1,14.54058837890625,8
14.0,1711475328,,False,9,b9720037,2024-03-26_18-48-48,1.6179718971252441,16.158560276031494,5371,Nicolass-Air.technicolor.net,127.0.0.1,16.158560276031494,9
14.0,1711475330,,False,10,b9720037,2024-03-26_18-48-50,1.6846399307250977,17.843200206756592,5371,Nicolass-Air.technicolor.net,127.0.0.1,17.843200206756592,10
14.0,1711475332,,False,11,b9720037,2024-03-26_18-48-52,2.048654079437256,19.891854286193848,5371,Nicolass-Air.technicolor.net,127.0.0.1,19.891854286193848,11
14.0,1711475334,,False,12,b9720037,2024-03-26_18-48-54,1.7254140377044678,21.617268323898315,5371,Nicolass-Air.technicolor.net,127.0.0.1,21.617268323898315,12
14.0,1711475336,,False,13,b9720037,2024-03-26_18-48-56,1.6843950748443604,23.301663398742676,5371,Nicolass-Air.technicolor.net,127.0.0.1,23.301663398742676,13
14.0,1711475337,,False,14,b9720037,2024-03-26_18-48-57,1.703272819519043,25.00493621826172,5371,Nicolass-Air.technicolor.net,127.0.0.1,25.00493621826172,14
14.0,1711475339,,False,15,b9720037,2024-03-26_18-48-59,1.8606219291687012,26.86555814743042,5371,Nicolass-Air.technicolor.net,127.0.0.1,26.86555814743042,15
13.0,1711475345,,False,16,b9720037,2024-03-26_18-49-05,5.648920059204102,32.51447820663452,5371,Nicolass-Air.technicolor.net,127.0.0.1,32.51447820663452,16
13.0,1711475347,,False,17,b9720037,2024-03-26_18-49-07,1.695624828338623,34.210103034973145,5371,Nicolass-Air.technicolor.net,127.0.0.1,34.210103034973145,17
13.0,1711475349,,False,18,b9720037,2024-03-26_18-49-09,1.957388162612915,36.16749119758606,5371,Nicolass-Air.technicolor.net,127.0.0.1,36.16749119758606,18
13.0,1711475351,,False,19,b9720037,2024-03-26_18-49-11,2.1999120712280273,38.36740326881409,5371,Nicolass-Air.technicolor.net,127.0.0.1,38.36740326881409,19
13.0,1711475353,,False,20,b9720037,2024-03-26_18-49-13,1.896806001663208,40.264209270477295,5371,Nicolass-Air.technicolor.net,127.0.0.1,40.264209270477295,20
0.0,1711475354,,False,21,b9720037,2024-03-26_18-49-14,1.4500069618225098,41.714216232299805,5371,Nicolass-Air.technicolor.net,127.0.0.1,41.714216232299805,21
