reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
15.5,1711472152,,False,1,bb3654f8,2024-03-26_17-55-52,2.699679136276245,2.699679136276245,5311,Nicolass-Air.technicolor.net,127.0.0.1,2.699679136276245,1
16.875,1711472156,,False,2,bb3654f8,2024-03-26_17-55-56,3.6871190071105957,6.386798143386841,5311,Nicolass-Air.technicolor.net,127.0.0.1,6.386798143386841,2
15.875,1711472159,,False,3,bb3654f8,2024-03-26_17-55-59,3.7410728931427,10.127871036529541,5311,Nicolass-Air.technicolor.net,127.0.0.1,10.127871036529541,3
15.875,1711472163,,False,4,bb3654f8,2024-03-26_17-56-03,3.844592809677124,13.972463846206665,5311,Nicolass-Air.technicolor.net,127.0.0.1,13.972463846206665,4
17.375,1711472167,,False,5,bb3654f8,2024-03-26_17-56-07,4.084964752197266,18.05742859840393,5311,Nicolass-Air.technicolor.net,127.0.0.1,18.05742859840393,5
16.875,1711472171,,False,6,bb3654f8,2024-03-26_17-56-11,3.881800889968872,21.939229488372803,5311,Nicolass-Air.technicolor.net,127.0.0.1,21.939229488372803,6
17.0,1711472175,,False,7,bb3654f8,2024-03-26_17-56-15,3.838482141494751,25.777711629867554,5311,Nicolass-Air.technicolor.net,127.0.0.1,25.777711629867554,7
17.0,1711472179,,False,8,bb3654f8,2024-03-26_17-56-19,3.5380849838256836,29.315796613693237,5311,Nicolass-Air.technicolor.net,127.0.0.1,29.315796613693237,8
17.0,1711472182,,False,9,bb3654f8,2024-03-26_17-56-22,3.4117987155914307,32.72759532928467,5311,Nicolass-Air.technicolor.net,127.0.0.1,32.72759532928467,9
17.0,1711472186,,False,10,bb3654f8,2024-03-26_17-56-26,3.713336944580078,36.440932273864746,5311,Nicolass-Air.technicolor.net,127.0.0.1,36.440932273864746,10
17.0,1711472189,,False,11,bb3654f8,2024-03-26_17-56-29,3.457880973815918,39.898813247680664,5311,Nicolass-Air.technicolor.net,127.0.0.1,39.898813247680664,11
17.0,1711472193,,False,12,bb3654f8,2024-03-26_17-56-33,3.500579833984375,43.39939308166504,5311,Nicolass-Air.technicolor.net,127.0.0.1,43.39939308166504,12
17.0,1711472196,,False,13,bb3654f8,2024-03-26_17-56-36,3.647472858428955,47.046865940093994,5311,Nicolass-Air.technicolor.net,127.0.0.1,47.046865940093994,13
17.0,1711472200,,False,14,bb3654f8,2024-03-26_17-56-40,3.5939128398895264,50.64077877998352,5311,Nicolass-Air.technicolor.net,127.0.0.1,50.64077877998352,14
17.0,1711472204,,False,15,bb3654f8,2024-03-26_17-56-44,3.5456039905548096,54.18638277053833,5311,Nicolass-Air.technicolor.net,127.0.0.1,54.18638277053833,15
17.0,1711472207,,False,16,bb3654f8,2024-03-26_17-56-47,3.5967578887939453,57.783140659332275,5311,Nicolass-Air.technicolor.net,127.0.0.1,57.783140659332275,16
17.0,1711472211,,False,17,bb3654f8,2024-03-26_17-56-51,3.578778028488159,61.361918687820435,5311,Nicolass-Air.technicolor.net,127.0.0.1,61.361918687820435,17
17.0,1711472215,,False,18,bb3654f8,2024-03-26_17-56-55,3.880124807357788,65.24204349517822,5311,Nicolass-Air.technicolor.net,127.0.0.1,65.24204349517822,18
17.0,1711472218,,False,19,bb3654f8,2024-03-26_17-56-58,3.6167421340942383,68.85878562927246,5311,Nicolass-Air.technicolor.net,127.0.0.1,68.85878562927246,19
17.0,1711472222,,False,20,bb3654f8,2024-03-26_17-57-02,3.551547050476074,72.41033267974854,5311,Nicolass-Air.technicolor.net,127.0.0.1,72.41033267974854,20
17.0,1711472226,,False,21,bb3654f8,2024-03-26_17-57-06,3.709139823913574,76.11947250366211,5311,Nicolass-Air.technicolor.net,127.0.0.1,76.11947250366211,21
