reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711475449,,False,1,c1a8b619,2024-03-26_18-50-49,0.3411109447479248,0.3411109447479248,5297,Nicolass-Air.technicolor.net,127.0.0.1,0.3411109447479248,1
16.0,1711475450,,False,2,c1a8b619,2024-03-26_18-50-50,0.36147189140319824,0.702582836151123,5297,Nicolass-Air.technicolor.net,127.0.0.1,0.702582836151123,2
16.0,1711475450,,False,3,c1a8b619,2024-03-26_18-50-50,0.38018202781677246,1.0827648639678955,5297,Nicolass-Air.technicolor.net,127.0.0.1,1.0827648639678955,3
16.0,1711475451,,False,4,c1a8b619,2024-03-26_18-50-51,0.3544180393218994,1.437182903289795,5297,Nicolass-Air.technicolor.net,127.0.0.1,1.437182903289795,4
16.0,1711475451,,False,5,c1a8b619,2024-03-26_18-50-51,0.3517751693725586,1.7889580726623535,5297,Nicolass-Air.technicolor.net,127.0.0.1,1.7889580726623535,5
16.0,1711475451,,False,6,c1a8b619,2024-03-26_18-50-51,0.47703099250793457,2.265989065170288,5297,Nicolass-Air.technicolor.net,127.0.0.1,2.265989065170288,6
16.0,1711475452,,False,7,c1a8b619,2024-03-26_18-50-52,0.5557150840759277,2.821704149246216,5297,Nicolass-Air.technicolor.net,127.0.0.1,2.821704149246216,7
16.0,1711475452,,False,8,c1a8b619,2024-03-26_18-50-52,0.4449470043182373,3.266651153564453,5297,Nicolass-Air.technicolor.net,127.0.0.1,3.266651153564453,8
16.0,1711475453,,False,9,c1a8b619,2024-03-26_18-50-53,0.48210787773132324,3.7487590312957764,5297,Nicolass-Air.technicolor.net,127.0.0.1,3.7487590312957764,9
16.0,1711475453,,False,10,c1a8b619,2024-03-26_18-50-53,0.4699549674987793,4.218713998794556,5297,Nicolass-Air.technicolor.net,127.0.0.1,4.218713998794556,10
16.0,1711475454,,False,11,c1a8b619,2024-03-26_18-50-54,0.4839918613433838,4.7027058601379395,5297,Nicolass-Air.technicolor.net,127.0.0.1,4.7027058601379395,11
16.0,1711475454,,False,12,c1a8b619,2024-03-26_18-50-54,0.5733990669250488,5.276104927062988,5297,Nicolass-Air.technicolor.net,127.0.0.1,5.276104927062988,12
16.0,1711475455,,False,13,c1a8b619,2024-03-26_18-50-55,0.41629481315612793,5.692399740219116,5297,Nicolass-Air.technicolor.net,127.0.0.1,5.692399740219116,13
16.0,1711475455,,False,14,c1a8b619,2024-03-26_18-50-55,0.3971140384674072,6.089513778686523,5297,Nicolass-Air.technicolor.net,127.0.0.1,6.089513778686523,14
16.0,1711475456,,False,15,c1a8b619,2024-03-26_18-50-56,0.41163086891174316,6.501144647598267,5297,Nicolass-Air.technicolor.net,127.0.0.1,6.501144647598267,15
16.0,1711475456,,False,16,c1a8b619,2024-03-26_18-50-56,0.39977431297302246,6.900918960571289,5297,Nicolass-Air.technicolor.net,127.0.0.1,6.900918960571289,16
16.0,1711475456,,False,17,c1a8b619,2024-03-26_18-50-56,0.3461949825286865,7.247113943099976,5297,Nicolass-Air.technicolor.net,127.0.0.1,7.247113943099976,17
16.0,1711475457,,False,18,c1a8b619,2024-03-26_18-50-57,0.3541698455810547,7.60128378868103,5297,Nicolass-Air.technicolor.net,127.0.0.1,7.60128378868103,18
16.0,1711475457,,False,19,c1a8b619,2024-03-26_18-50-57,0.4441261291503906,8.045409917831421,5297,Nicolass-Air.technicolor.net,127.0.0.1,8.045409917831421,19
16.0,1711475458,,False,20,c1a8b619,2024-03-26_18-50-58,0.596735954284668,8.642145872116089,5297,Nicolass-Air.technicolor.net,127.0.0.1,8.642145872116089,20
16.0,1711475458,,False,21,c1a8b619,2024-03-26_18-50-58,0.3976569175720215,9.03980278968811,5297,Nicolass-Air.technicolor.net,127.0.0.1,9.03980278968811,21
16.0,1711475459,,False,22,c1a8b619,2024-03-26_18-50-59,0.3872528076171875,9.427055597305298,5297,Nicolass-Air.technicolor.net,127.0.0.1,9.427055597305298,22
