reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
24.0,1711472686,,False,1,c690fe4b,2024-03-26_18-04-46,1.9624371528625488,1.9624371528625488,5348,Nicolass-Air.technicolor.net,127.0.0.1,1.9624371528625488,1
26.5,1711472688,,False,2,c690fe4b,2024-03-26_18-04-48,2.040893793106079,4.003330945968628,5348,Nicolass-Air.technicolor.net,127.0.0.1,4.003330945968628,2
23.5,1711472690,,False,3,c690fe4b,2024-03-26_18-04-50,2.0182361602783203,6.021567106246948,5348,Nicolass-Air.technicolor.net,127.0.0.1,6.021567106246948,3
21.5,1711472692,,False,4,c690fe4b,2024-03-26_18-04-52,1.8854107856750488,7.906977891921997,5348,Nicolass-Air.technicolor.net,127.0.0.1,7.906977891921997,4
20.5,1711472694,,False,5,c690fe4b,2024-03-26_18-04-54,1.899608850479126,9.806586742401123,5348,Nicolass-Air.technicolor.net,127.0.0.1,9.806586742401123,5
8.0,1711472695,,False,6,c690fe4b,2024-03-26_18-04-55,1.358659029006958,11.165245771408081,5348,Nicolass-Air.technicolor.net,127.0.0.1,11.165245771408081,6
8.0,1711472696,,False,7,c690fe4b,2024-03-26_18-04-56,1.4604530334472656,12.625698804855347,5348,Nicolass-Air.technicolor.net,127.0.0.1,12.625698804855347,7
8.0,1711472698,,False,8,c690fe4b,2024-03-26_18-04-58,1.386265754699707,14.011964559555054,5348,Nicolass-Air.technicolor.net,127.0.0.1,14.011964559555054,8
8.0,1711472699,,False,9,c690fe4b,2024-03-26_18-04-59,1.4403562545776367,15.45232081413269,5348,Nicolass-Air.technicolor.net,127.0.0.1,15.45232081413269,9
8.0,1711472701,,False,10,c690fe4b,2024-03-26_18-05-01,1.4228601455688477,16.875180959701538,5348,Nicolass-Air.technicolor.net,127.0.0.1,16.875180959701538,10
8.0,1711472702,,False,11,c690fe4b,2024-03-26_18-05-02,1.5568289756774902,18.43200993537903,5348,Nicolass-Air.technicolor.net,127.0.0.1,18.43200993537903,11
8.0,1711472704,,False,12,c690fe4b,2024-03-26_18-05-04,1.4429268836975098,19.874936819076538,5348,Nicolass-Air.technicolor.net,127.0.0.1,19.874936819076538,12
8.0,1711472705,,False,13,c690fe4b,2024-03-26_18-05-05,1.4653937816619873,21.340330600738525,5348,Nicolass-Air.technicolor.net,127.0.0.1,21.340330600738525,13
0.0,1711472706,,False,14,c690fe4b,2024-03-26_18-05-06,0.70076584815979,22.041096448898315,5348,Nicolass-Air.technicolor.net,127.0.0.1,22.041096448898315,14
