reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
22.0,1711473557,,False,1,cb7c2dc8,2024-03-26_18-19-17,3.1791610717773438,3.1791610717773438,5297,Nicolass-Air.technicolor.net,127.0.0.1,3.1791610717773438,1
13.0,1711473560,,False,2,cb7c2dc8,2024-03-26_18-19-20,2.680630922317505,5.859791994094849,5297,Nicolass-Air.technicolor.net,127.0.0.1,5.859791994094849,2
15.0,1711473563,,False,3,cb7c2dc8,2024-03-26_18-19-23,3.0288848876953125,8.888676881790161,5297,Nicolass-Air.technicolor.net,127.0.0.1,8.888676881790161,3
13.5,1711473565,,False,4,cb7c2dc8,2024-03-26_18-19-25,2.294666051864624,11.183342933654785,5297,Nicolass-Air.technicolor.net,127.0.0.1,11.183342933654785,4
12.5,1711473567,,False,5,cb7c2dc8,2024-03-26_18-19-27,2.4888529777526855,13.67219591140747,5297,Nicolass-Air.technicolor.net,127.0.0.1,13.67219591140747,5
13.0,1711473570,,False,6,cb7c2dc8,2024-03-26_18-19-30,2.6606879234313965,16.332883834838867,5297,Nicolass-Air.technicolor.net,127.0.0.1,16.332883834838867,6
12.5,1711473573,,False,7,cb7c2dc8,2024-03-26_18-19-33,2.4772727489471436,18.81015658378601,5297,Nicolass-Air.technicolor.net,127.0.0.1,18.81015658378601,7
12.0,1711473575,,False,8,cb7c2dc8,2024-03-26_18-19-35,2.408188819885254,21.218345403671265,5297,Nicolass-Air.technicolor.net,127.0.0.1,21.218345403671265,8
13.0,1711473577,,False,9,cb7c2dc8,2024-03-26_18-19-37,2.443944215774536,23.6622896194458,5297,Nicolass-Air.technicolor.net,127.0.0.1,23.6622896194458,9
11.0,1711473580,,False,10,cb7c2dc8,2024-03-26_18-19-40,2.759068012237549,26.42135763168335,5297,Nicolass-Air.technicolor.net,127.0.0.1,26.42135763168335,10
10.5,1711473583,,False,11,cb7c2dc8,2024-03-26_18-19-43,2.301328182220459,28.72268581390381,5297,Nicolass-Air.technicolor.net,127.0.0.1,28.72268581390381,11
12.0,1711473585,,False,12,cb7c2dc8,2024-03-26_18-19-45,2.4757487773895264,31.198434591293335,5297,Nicolass-Air.technicolor.net,127.0.0.1,31.198434591293335,12
0.0,1711473586,,False,13,cb7c2dc8,2024-03-26_18-19-46,1.2645370960235596,32.462971687316895,5297,Nicolass-Air.technicolor.net,127.0.0.1,32.462971687316895,13
