reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711475164,,False,1,ced54669,2024-03-26_18-46-04,4.105900049209595,4.105900049209595,5335,Nicolass-Air.technicolor.net,127.0.0.1,4.105900049209595,1
16.5,1711475170,,False,2,ced54669,2024-03-26_18-46-10,5.811068058013916,9.91696810722351,5335,Nicolass-Air.technicolor.net,127.0.0.1,9.91696810722351,2
16.125,1711475176,,False,3,ced54669,2024-03-26_18-46-16,5.893220901489258,15.810189008712769,5335,Nicolass-Air.technicolor.net,127.0.0.1,15.810189008712769,3
12.875,1711475181,,False,4,ced54669,2024-03-26_18-46-21,5.052298069000244,20.862487077713013,5335,Nicolass-Air.technicolor.net,127.0.0.1,20.862487077713013,4
17.25,1711475189,,False,5,ced54669,2024-03-26_18-46-29,7.6931140422821045,28.555601119995117,5335,Nicolass-Air.technicolor.net,127.0.0.1,28.555601119995117,5
11.875,1711475194,,False,6,ced54669,2024-03-26_18-46-34,5.2338011264801025,33.78940224647522,5335,Nicolass-Air.technicolor.net,127.0.0.1,33.78940224647522,6
12.5,1711475199,,False,7,ced54669,2024-03-26_18-46-39,5.514894008636475,39.304296255111694,5335,Nicolass-Air.technicolor.net,127.0.0.1,39.304296255111694,7
12.625,1711475205,,False,8,ced54669,2024-03-26_18-46-45,5.394953966140747,44.69925022125244,5335,Nicolass-Air.technicolor.net,127.0.0.1,44.69925022125244,8
12.625,1711475210,,False,9,ced54669,2024-03-26_18-46-50,5.476188898086548,50.17543911933899,5335,Nicolass-Air.technicolor.net,127.0.0.1,50.17543911933899,9
12.625,1711475215,,False,10,ced54669,2024-03-26_18-46-55,4.960732936859131,55.13617205619812,5335,Nicolass-Air.technicolor.net,127.0.0.1,55.13617205619812,10
21.25,1711475223,,False,11,ced54669,2024-03-26_18-47-03,7.434296131134033,62.57046818733215,5335,Nicolass-Air.technicolor.net,127.0.0.1,62.57046818733215,11
