reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
12.6,1711474277,,False,1,eb3c2491,2024-03-26_18-31-17,3.7313780784606934,3.7313780784606934,5297,Nicolass-Air.technicolor.net,127.0.0.1,3.7313780784606934,1
12.8,1711474281,,False,2,eb3c2491,2024-03-26_18-31-21,4.367634296417236,8.09901237487793,5297,Nicolass-Air.technicolor.net,127.0.0.1,8.09901237487793,2
12.8,1711474285,,False,3,eb3c2491,2024-03-26_18-31-25,4.348896026611328,12.447908401489258,5297,Nicolass-Air.technicolor.net,127.0.0.1,12.447908401489258,3
12.2,1711474289,,False,4,eb3c2491,2024-03-26_18-31-29,4.1633241176605225,16.61123251914978,5297,Nicolass-Air.technicolor.net,127.0.0.1,16.61123251914978,4
11.8,1711474294,,False,5,eb3c2491,2024-03-26_18-31-34,4.907230854034424,21.518463373184204,5297,Nicolass-Air.technicolor.net,127.0.0.1,21.518463373184204,5
11.2,1711474298,,False,6,eb3c2491,2024-03-26_18-31-38,3.9643449783325195,25.482808351516724,5297,Nicolass-Air.technicolor.net,127.0.0.1,25.482808351516724,6
10.8,1711474303,,False,7,eb3c2491,2024-03-26_18-31-43,4.289949893951416,29.77275824546814,5297,Nicolass-Air.technicolor.net,127.0.0.1,29.77275824546814,7
10.4,1711474306,,False,8,eb3c2491,2024-03-26_18-31-46,3.2459778785705566,33.018736124038696,5297,Nicolass-Air.technicolor.net,127.0.0.1,33.018736124038696,8
11.2,1711474310,,False,9,eb3c2491,2024-03-26_18-31-50,4.2153520584106445,37.23408818244934,5297,Nicolass-Air.technicolor.net,127.0.0.1,37.23408818244934,9
11.2,1711474314,,False,10,eb3c2491,2024-03-26_18-31-54,3.9276039600372314,41.16169214248657,5297,Nicolass-Air.technicolor.net,127.0.0.1,41.16169214248657,10
10.4,1711474317,,False,11,eb3c2491,2024-03-26_18-31-57,2.8521642684936523,44.013856410980225,5297,Nicolass-Air.technicolor.net,127.0.0.1,44.013856410980225,11
9.6,1711474320,,False,12,eb3c2491,2024-03-26_18-32-00,2.7262191772460938,46.74007558822632,5297,Nicolass-Air.technicolor.net,127.0.0.1,46.74007558822632,12
10.0,1711474323,,False,13,eb3c2491,2024-03-26_18-32-03,3.430777072906494,50.17085266113281,5297,Nicolass-Air.technicolor.net,127.0.0.1,50.17085266113281,13
10.0,1711474326,,False,14,eb3c2491,2024-03-26_18-32-06,2.9640860557556152,53.13493871688843,5297,Nicolass-Air.technicolor.net,127.0.0.1,53.13493871688843,14
10.0,1711474329,,False,15,eb3c2491,2024-03-26_18-32-09,2.917043924331665,56.05198264122009,5297,Nicolass-Air.technicolor.net,127.0.0.1,56.05198264122009,15
10.0,1711474334,,False,16,eb3c2491,2024-03-26_18-32-14,3.276047945022583,59.328030586242676,5297,Nicolass-Air.technicolor.net,127.0.0.1,59.328030586242676,16
9.6,1711474337,,False,17,eb3c2491,2024-03-26_18-32-17,2.509363889694214,61.83739447593689,5297,Nicolass-Air.technicolor.net,127.0.0.1,61.83739447593689,17
9.2,1711474339,,False,18,eb3c2491,2024-03-26_18-32-19,2.610680103302002,64.44807457923889,5297,Nicolass-Air.technicolor.net,127.0.0.1,64.44807457923889,18
9.0,1711474342,,False,19,eb3c2491,2024-03-26_18-32-22,2.9537501335144043,67.4018247127533,5297,Nicolass-Air.technicolor.net,127.0.0.1,67.4018247127533,19
9.0,1711474345,,False,20,eb3c2491,2024-03-26_18-32-25,3.0460739135742188,70.44789862632751,5297,Nicolass-Air.technicolor.net,127.0.0.1,70.44789862632751,20
9.4,1711474349,,False,21,eb3c2491,2024-03-26_18-32-29,3.255220890045166,73.70311951637268,5297,Nicolass-Air.technicolor.net,127.0.0.1,73.70311951637268,21
9.8,1711474352,,False,22,eb3c2491,2024-03-26_18-32-32,3.0802223682403564,76.78334188461304,5297,Nicolass-Air.technicolor.net,127.0.0.1,76.78334188461304,22
9.2,1711474355,,False,23,eb3c2491,2024-03-26_18-32-35,3.0876190662384033,79.87096095085144,5297,Nicolass-Air.technicolor.net,127.0.0.1,79.87096095085144,23
9.4,1711474358,,False,24,eb3c2491,2024-03-26_18-32-38,3.272270679473877,83.14323163032532,5297,Nicolass-Air.technicolor.net,127.0.0.1,83.14323163032532,24
9.2,1711474361,,False,25,eb3c2491,2024-03-26_18-32-41,2.8576700687408447,86.00090169906616,5297,Nicolass-Air.technicolor.net,127.0.0.1,86.00090169906616,25
9.6,1711474364,,False,26,eb3c2491,2024-03-26_18-32-44,2.924497127532959,88.92539882659912,5297,Nicolass-Air.technicolor.net,127.0.0.1,88.92539882659912,26
9.6,1711474367,,False,27,eb3c2491,2024-03-26_18-32-47,2.9910800457000732,91.9164788722992,5297,Nicolass-Air.technicolor.net,127.0.0.1,91.9164788722992,27
9.2,1711474370,,False,28,eb3c2491,2024-03-26_18-32-50,3.37678599357605,95.29326486587524,5297,Nicolass-Air.technicolor.net,127.0.0.1,95.29326486587524,28
9.4,1711474373,,False,29,eb3c2491,2024-03-26_18-32-53,3.241978168487549,98.5352430343628,5297,Nicolass-Air.technicolor.net,127.0.0.1,98.5352430343628,29
9.4,1711474377,,False,30,eb3c2491,2024-03-26_18-32-57,3.809312105178833,102.34455513954163,5297,Nicolass-Air.technicolor.net,127.0.0.1,102.34455513954163,30
9.4,1711474381,,False,31,eb3c2491,2024-03-26_18-33-01,3.6339938640594482,105.97854900360107,5297,Nicolass-Air.technicolor.net,127.0.0.1,105.97854900360107,31
9.4,1711474384,,False,32,eb3c2491,2024-03-26_18-33-04,3.305211305618286,109.28376030921936,5297,Nicolass-Air.technicolor.net,127.0.0.1,109.28376030921936,32
9.6,1711474388,,False,33,eb3c2491,2024-03-26_18-33-08,3.3461408615112305,112.62990117073059,5297,Nicolass-Air.technicolor.net,127.0.0.1,112.62990117073059,33
9.2,1711474391,,False,34,eb3c2491,2024-03-26_18-33-11,2.972960948944092,115.60286211967468,5297,Nicolass-Air.technicolor.net,127.0.0.1,115.60286211967468,34
9.2,1711474393,,False,35,eb3c2491,2024-03-26_18-33-13,2.5016679763793945,118.10453009605408,5297,Nicolass-Air.technicolor.net,127.0.0.1,118.10453009605408,35
9.0,1711474396,,False,36,eb3c2491,2024-03-26_18-33-16,2.5042519569396973,120.60878205299377,5297,Nicolass-Air.technicolor.net,127.0.0.1,120.60878205299377,36
9.0,1711474398,,False,37,eb3c2491,2024-03-26_18-33-18,2.5690550804138184,123.17783713340759,5297,Nicolass-Air.technicolor.net,127.0.0.1,123.17783713340759,37
9.0,1711474401,,False,38,eb3c2491,2024-03-26_18-33-21,2.6936898231506348,125.87152695655823,5297,Nicolass-Air.technicolor.net,127.0.0.1,125.87152695655823,38
9.2,1711474403,,False,39,eb3c2491,2024-03-26_18-33-23,2.4237890243530273,128.29531598091125,5297,Nicolass-Air.technicolor.net,127.0.0.1,128.29531598091125,39
9.2,1711474406,,False,40,eb3c2491,2024-03-26_18-33-26,2.357351064682007,130.65266704559326,5297,Nicolass-Air.technicolor.net,127.0.0.1,130.65266704559326,40
9.2,1711474408,,False,41,eb3c2491,2024-03-26_18-33-28,2.5497310161590576,133.20239806175232,5297,Nicolass-Air.technicolor.net,127.0.0.1,133.20239806175232,41
9.0,1711474410,,False,42,eb3c2491,2024-03-26_18-33-30,2.3341708183288574,135.53656888008118,5297,Nicolass-Air.technicolor.net,127.0.0.1,135.53656888008118,42
9.2,1711474413,,False,43,eb3c2491,2024-03-26_18-33-33,2.581907033920288,138.11847591400146,5297,Nicolass-Air.technicolor.net,127.0.0.1,138.11847591400146,43
9.0,1711474415,,False,44,eb3c2491,2024-03-26_18-33-35,2.337268829345703,140.45574474334717,5297,Nicolass-Air.technicolor.net,127.0.0.1,140.45574474334717,44
9.8,1711474418,,False,45,eb3c2491,2024-03-26_18-33-38,2.575809955596924,143.0315546989441,5297,Nicolass-Air.technicolor.net,127.0.0.1,143.0315546989441,45
9.4,1711474421,,False,46,eb3c2491,2024-03-26_18-33-41,2.799138069152832,145.83069276809692,5297,Nicolass-Air.technicolor.net,127.0.0.1,145.83069276809692,46
9.0,1711474423,,False,47,eb3c2491,2024-03-26_18-33-43,2.4688608646392822,148.2995536327362,5297,Nicolass-Air.technicolor.net,127.0.0.1,148.2995536327362,47
9.6,1711474426,,False,48,eb3c2491,2024-03-26_18-33-46,2.505725860595703,150.8052794933319,5297,Nicolass-Air.technicolor.net,127.0.0.1,150.8052794933319,48
9.6,1711474428,,False,49,eb3c2491,2024-03-26_18-33-48,2.6470530033111572,153.45233249664307,5297,Nicolass-Air.technicolor.net,127.0.0.1,153.45233249664307,49
9.2,1711474431,,False,50,eb3c2491,2024-03-26_18-33-51,2.5277209281921387,155.9800534248352,5297,Nicolass-Air.technicolor.net,127.0.0.1,155.9800534248352,50
9.4,1711474434,,False,51,eb3c2491,2024-03-26_18-33-54,2.537781000137329,158.51783442497253,5297,Nicolass-Air.technicolor.net,127.0.0.1,158.51783442497253,51
9.2,1711474436,,False,52,eb3c2491,2024-03-26_18-33-56,2.618259906768799,161.13609433174133,5297,Nicolass-Air.technicolor.net,127.0.0.1,161.13609433174133,52
9.4,1711474438,,False,53,eb3c2491,2024-03-26_18-33-58,2.3133859634399414,163.44948029518127,5297,Nicolass-Air.technicolor.net,127.0.0.1,163.44948029518127,53
9.6,1711474441,,False,54,eb3c2491,2024-03-26_18-34-01,2.4973978996276855,165.94687819480896,5297,Nicolass-Air.technicolor.net,127.0.0.1,165.94687819480896,54
9.0,1711474443,,False,55,eb3c2491,2024-03-26_18-34-03,2.371840000152588,168.31871819496155,5297,Nicolass-Air.technicolor.net,127.0.0.1,168.31871819496155,55
9.4,1711474446,,False,56,eb3c2491,2024-03-26_18-34-06,2.511528968811035,170.83024716377258,5297,Nicolass-Air.technicolor.net,127.0.0.1,170.83024716377258,56
9.2,1711474448,,False,57,eb3c2491,2024-03-26_18-34-08,2.420135974884033,173.25038313865662,5297,Nicolass-Air.technicolor.net,127.0.0.1,173.25038313865662,57
9.0,1711474450,,False,58,eb3c2491,2024-03-26_18-34-10,2.1977479457855225,175.44813108444214,5297,Nicolass-Air.technicolor.net,127.0.0.1,175.44813108444214,58
9.2,1711474453,,False,59,eb3c2491,2024-03-26_18-34-13,2.3205807209014893,177.76871180534363,5297,Nicolass-Air.technicolor.net,127.0.0.1,177.76871180534363,59
9.0,1711474455,,False,60,eb3c2491,2024-03-26_18-34-15,2.2147889137268066,179.98350071907043,5297,Nicolass-Air.technicolor.net,127.0.0.1,179.98350071907043,60
9.0,1711474457,,False,61,eb3c2491,2024-03-26_18-34-17,2.411302089691162,182.3948028087616,5297,Nicolass-Air.technicolor.net,127.0.0.1,182.3948028087616,61
9.0,1711474460,,False,62,eb3c2491,2024-03-26_18-34-20,2.3763489723205566,184.77115178108215,5297,Nicolass-Air.technicolor.net,127.0.0.1,184.77115178108215,62
9.0,1711474462,,False,63,eb3c2491,2024-03-26_18-34-22,2.202073812484741,186.9732255935669,5297,Nicolass-Air.technicolor.net,127.0.0.1,186.9732255935669,63
9.2,1711474464,,False,64,eb3c2491,2024-03-26_18-34-24,2.221785068511963,189.19501066207886,5297,Nicolass-Air.technicolor.net,127.0.0.1,189.19501066207886,64
9.2,1711474466,,False,65,eb3c2491,2024-03-26_18-34-26,2.0568878650665283,191.25189852714539,5297,Nicolass-Air.technicolor.net,127.0.0.1,191.25189852714539,65
9.0,1711474468,,False,66,eb3c2491,2024-03-26_18-34-28,2.1584420204162598,193.41034054756165,5297,Nicolass-Air.technicolor.net,127.0.0.1,193.41034054756165,66
9.0,1711474471,,False,67,eb3c2491,2024-03-26_18-34-31,2.084623098373413,195.49496364593506,5297,Nicolass-Air.technicolor.net,127.0.0.1,195.49496364593506,67
9.0,1711474473,,False,68,eb3c2491,2024-03-26_18-34-33,2.1840341091156006,197.67899775505066,5297,Nicolass-Air.technicolor.net,127.0.0.1,197.67899775505066,68
9.0,1711474475,,False,69,eb3c2491,2024-03-26_18-34-35,2.157064914703369,199.83606266975403,5297,Nicolass-Air.technicolor.net,127.0.0.1,199.83606266975403,69
9.0,1711474477,,False,70,eb3c2491,2024-03-26_18-34-37,2.156956911087036,201.99301958084106,5297,Nicolass-Air.technicolor.net,127.0.0.1,201.99301958084106,70
