reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
35.0,1711472537,,False,1,f21f80a2,2024-03-26_18-02-17,2.0721840858459473,2.0721840858459473,5327,Nicolass-Air.technicolor.net,127.0.0.1,2.0721840858459473,1
62.0,1711472540,,False,2,f21f80a2,2024-03-26_18-02-20,2.632066011428833,4.70425009727478,5327,Nicolass-Air.technicolor.net,127.0.0.1,4.70425009727478,2
89.0,1711472543,,False,3,f21f80a2,2024-03-26_18-02-23,2.873872995376587,7.578123092651367,5327,Nicolass-Air.technicolor.net,127.0.0.1,7.578123092651367,3
50.0,1711472545,,False,4,f21f80a2,2024-03-26_18-02-25,2.2682979106903076,9.846421003341675,5327,Nicolass-Air.technicolor.net,127.0.0.1,9.846421003341675,4
54.0,1711472547,,False,5,f21f80a2,2024-03-26_18-02-27,2.1095938682556152,11.95601487159729,5327,Nicolass-Air.technicolor.net,127.0.0.1,11.95601487159729,5
57.0,1711472550,,False,6,f21f80a2,2024-03-26_18-02-30,2.3018271923065186,14.257842063903809,5327,Nicolass-Air.technicolor.net,127.0.0.1,14.257842063903809,6
65.0,1711472552,,False,7,f21f80a2,2024-03-26_18-02-32,2.3653807640075684,16.623222827911377,5327,Nicolass-Air.technicolor.net,127.0.0.1,16.623222827911377,7
80.0,1711472554,,False,8,f21f80a2,2024-03-26_18-02-34,2.4591360092163086,19.082358837127686,5327,Nicolass-Air.technicolor.net,127.0.0.1,19.082358837127686,8
59.0,1711472557,,False,9,f21f80a2,2024-03-26_18-02-37,2.286421060562134,21.36877989768982,5327,Nicolass-Air.technicolor.net,127.0.0.1,21.36877989768982,9
42.0,1711472559,,False,10,f21f80a2,2024-03-26_18-02-39,2.3017818927764893,23.67056179046631,5327,Nicolass-Air.technicolor.net,127.0.0.1,23.67056179046631,10
37.0,1711472561,,False,11,f21f80a2,2024-03-26_18-02-41,2.1717240810394287,25.842285871505737,5327,Nicolass-Air.technicolor.net,127.0.0.1,25.842285871505737,11
42.0,1711472563,,False,12,f21f80a2,2024-03-26_18-02-43,2.07614803314209,27.918433904647827,5327,Nicolass-Air.technicolor.net,127.0.0.1,27.918433904647827,12
45.0,1711472565,,False,13,f21f80a2,2024-03-26_18-02-45,2.194218873977661,30.11265277862549,5327,Nicolass-Air.technicolor.net,127.0.0.1,30.11265277862549,13
48.0,1711472568,,False,14,f21f80a2,2024-03-26_18-02-48,2.409453868865967,32.522106647491455,5327,Nicolass-Air.technicolor.net,127.0.0.1,32.522106647491455,14
43.0,1711472570,,False,15,f21f80a2,2024-03-26_18-02-50,2.256688117980957,34.77879476547241,5327,Nicolass-Air.technicolor.net,127.0.0.1,34.77879476547241,15
65.0,1711472573,,False,16,f21f80a2,2024-03-26_18-02-53,2.6799240112304688,37.45871877670288,5327,Nicolass-Air.technicolor.net,127.0.0.1,37.45871877670288,16
56.0,1711472575,,False,17,f21f80a2,2024-03-26_18-02-55,2.420691967010498,39.87941074371338,5327,Nicolass-Air.technicolor.net,127.0.0.1,39.87941074371338,17
54.0,1711472578,,False,18,f21f80a2,2024-03-26_18-02-58,2.311285972595215,42.190696716308594,5327,Nicolass-Air.technicolor.net,127.0.0.1,42.190696716308594,18
59.0,1711472580,,False,19,f21f80a2,2024-03-26_18-03-00,2.4131481647491455,44.60384488105774,5327,Nicolass-Air.technicolor.net,127.0.0.1,44.60384488105774,19
60.0,1711472583,,False,20,f21f80a2,2024-03-26_18-03-03,2.6047098636627197,47.20855474472046,5327,Nicolass-Air.technicolor.net,127.0.0.1,47.20855474472046,20
43.0,1711472585,,False,21,f21f80a2,2024-03-26_18-03-05,2.309615135192871,49.51816987991333,5327,Nicolass-Air.technicolor.net,127.0.0.1,49.51816987991333,21
54.0,1711472587,,False,22,f21f80a2,2024-03-26_18-03-07,2.2845218181610107,51.80269169807434,5327,Nicolass-Air.technicolor.net,127.0.0.1,51.80269169807434,22
43.0,1711472589,,False,23,f21f80a2,2024-03-26_18-03-09,2.168879270553589,53.97157096862793,5327,Nicolass-Air.technicolor.net,127.0.0.1,53.97157096862793,23
39.0,1711472591,,False,24,f21f80a2,2024-03-26_18-03-11,2.084731101989746,56.056302070617676,5327,Nicolass-Air.technicolor.net,127.0.0.1,56.056302070617676,24
36.0,1711472594,,False,25,f21f80a2,2024-03-26_18-03-14,2.14326810836792,58.199570178985596,5327,Nicolass-Air.technicolor.net,127.0.0.1,58.199570178985596,25
32.0,1711472596,,False,26,f21f80a2,2024-03-26_18-03-16,1.9164133071899414,60.11598348617554,5327,Nicolass-Air.technicolor.net,127.0.0.1,60.11598348617554,26
27.0,1711472597,,False,27,f21f80a2,2024-03-26_18-03-17,1.8811137676239014,61.99709725379944,5327,Nicolass-Air.technicolor.net,127.0.0.1,61.99709725379944,27
28.0,1711472600,,False,28,f21f80a2,2024-03-26_18-03-20,2.2900328636169434,64.28713011741638,5327,Nicolass-Air.technicolor.net,127.0.0.1,64.28713011741638,28
29.0,1711472602,,False,29,f21f80a2,2024-03-26_18-03-22,1.867034912109375,66.15416502952576,5327,Nicolass-Air.technicolor.net,127.0.0.1,66.15416502952576,29
31.0,1711472603,,False,30,f21f80a2,2024-03-26_18-03-23,1.9095213413238525,68.06368637084961,5327,Nicolass-Air.technicolor.net,127.0.0.1,68.06368637084961,30
55.0,1711472606,,False,31,f21f80a2,2024-03-26_18-03-26,2.3517420291900635,70.41542840003967,5327,Nicolass-Air.technicolor.net,127.0.0.1,70.41542840003967,31
56.0,1711472608,,False,32,f21f80a2,2024-03-26_18-03-28,2.3282737731933594,72.74370217323303,5327,Nicolass-Air.technicolor.net,127.0.0.1,72.74370217323303,32
44.0,1711472610,,False,33,f21f80a2,2024-03-26_18-03-30,2.1333489418029785,74.87705111503601,5327,Nicolass-Air.technicolor.net,127.0.0.1,74.87705111503601,33
53.0,1711472613,,False,34,f21f80a2,2024-03-26_18-03-33,2.347602128982544,77.22465324401855,5327,Nicolass-Air.technicolor.net,127.0.0.1,77.22465324401855,34
39.0,1711472615,,False,35,f21f80a2,2024-03-26_18-03-35,2.3550567626953125,79.57971000671387,5327,Nicolass-Air.technicolor.net,127.0.0.1,79.57971000671387,35
32.0,1711472617,,False,36,f21f80a2,2024-03-26_18-03-37,2.043790102005005,81.62350010871887,5327,Nicolass-Air.technicolor.net,127.0.0.1,81.62350010871887,36
